entity,n_obs,adf_stat,p_value,used_lag,is_stationary_5pct
A‐SLOT+ 異世界かるてっと,48,-7.620438399586307,2.1355630951720905e-11,0.0,1
L麻雀物語,104,-9.000711522496658,6.509136896772075e-15,1.0,1
SHAKE BONUS TRIGGER,216,-15.765066293811676,1.1791536063863626e-28,0.0,1
ToLOVEるダークネス TRANCE ver.8.7,320,-17.39686780559046,4.972697255945658e-30,0.0,1
いざ！番長,320,-17.79535934810542,3.234466107519258e-30,0.0,1
うみねこのなく頃に2,111,-8.962575293950227,8.149188404759799e-15,2.0,1
かぐや様は告らせたい,320,-18.70355329554951,2.0363577873898763e-30,0.0,1
からくりサーカス,320,-13.5063762827054,2.910010968841645e-25,1.0,1
この素晴らしい世界に祝福を！,320,-17.63047515903534,3.800537031417752e-30,0.0,1
とある科学の超電磁砲2,187,-15.355738540056757,3.6689048508354853e-28,0.0,1
とある魔術の禁書目録,83,-9.779968693391497,6.774462952969622e-17,0.0,1
わたしの幸せな結婚,63,-9.596287273739122,1.9743397454710594e-16,0.0,1
アイムジャグラーEX-TP,181,-2.7005138629415297,0.07394939051211848,9.0,0
アクダマドライブ,48,-3.26366945987232,0.016582640607921043,4.0,1
アズールレーン THE ANIMATION,292,-7.557690920213059,3.068362992420421e-11,5.0,1
アレックス ブライト,320,-17.776233909915632,3.291554646774362e-30,0.0,1
ウルトラミラクルジャグラー,320,-17.357933216372246,5.224424313295905e-30,0.0,1
ガールズ&パンツァー 最終章,320,-17.99108083915256,2.7542081982813597e-30,0.0,1
キングハナハナ-30,320,-17.733901399018148,3.425396588206509e-30,0.0,1
クランキークレスト,154,-13.328468476892489,6.252239919476342e-25,0.0,1
クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,244,-9.790843955099596,6.359802719372696e-17,3.0,1
グランベルム,245,-10.051685447705575,1.407111004640379e-17,2.0,1
ゴッドイーター リザレクション,320,-19.454819194344704,0.0,0.0,1
ゴブリンスレイヤーII,77,-6.015617479197713,1.536267302189352e-07,4.0,1
ゴーゴージャグラー3,320,-18.481630711183367,2.1328433098016905e-30,0.0,1
シャーマンキング,320,-7.937828465742049,3.376131315944628e-12,6.0,1
ジャグラーガールズ,320,-18.208112429093013,2.396500481517298e-30,0.0,1
スマスロ サンダーV,83,-8.318544334788967,3.6248598370004426e-13,0.0,1
スマスロ ドルアーガの塔,41,-6.468223510882073,1.3879909434082371e-08,1.0,1
スマスロ ハナビ,111,-11.429056852730964,6.585091479326087e-21,0.0,1
スマスロ北斗の拳,320,-17.20825037018551,6.393782513794753e-30,0.0,1
スマスロ炎炎ノ消防隊,272,-17.236197035796465,6.1481750221698044e-30,0.0,1
スマスロ炎炎ノ消防隊2,111,-10.468482416415247,1.3028476386118883e-18,0.0,1
スマスロ秘宝伝,119,-9.883284711469539,3.720809579209603e-17,0.0,1
スマート沖スロ ニューキングハナハナV,91,-9.24690407748912,1.5287317745569786e-15,0.0,1
スーパーブラックジャック,320,-19.076499957727293,0.0,0.0,1
スーパーリオエース2,13,,,,0
ソードアート・オンライン,320,-8.959507024889374,8.297879439037831e-15,3.0,1
ゾンビランドサガ,320,-9.21865026758201,1.804880300375173e-15,5.0,1
タクトオーパス デスティニー,13,,,,0
ダーリン・イン・ザ・フランキス,181,-5.586084054156843,1.3619877140220129e-06,4.0,1
ディスクアップ ULTRAREMIX,320,-17.1076753104323,7.40255496785983e-30,0.0,1
ディスクアップ2,320,-6.315963931020328,3.1501252645662484e-08,7.0,1
デビル メイ クライ5 スタイリッシュトライブ,167,-14.36692715921344,9.63745051697385e-27,0.0,1
ドッチ,34,-6.6887414291277665,4.161391311144557e-09,0.0,1
ネオアイムジャグラーEX,257,-16.034717207894428,6.003713985364128e-29,0.0,1
ネオプラネット,77,-8.447478495411891,1.697365891200151e-13,0.0,1
ハイパーラッシュ,120,-10.224264744519784,5.226729238377876e-18,0.0,1
ハイビリターン‐30,28,-3.9781745072633177,0.001529208115729532,0.0,1
ハッピージャグラーVIII,320,-5.790232183542225,4.891697932524434e-07,5.0,1
バイオハザード RE:2,92,-10.24106001711575,4.748221452452506e-18,0.0,1
バイオハザード RE:3,13,,,,0
バイオハザード5,154,-10.915804619967432,1.0683224674457642e-19,0.0,1
バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,320,-17.24922028901648,6.0383465791006664e-30,0.0,1
バベル,12,,,,0
バンドリ！,320,-6.29131055258111,3.593600467540825e-08,4.0,1
バーサスリヴァイズ,320,-18.42257418361564,2.1750782506139793e-30,0.0,1
バーニングエクスプレス,55,-7.927139184638411,3.593497997793913e-12,0.0,1
ビッグドリーム THE GOLDEN PUSHER,13,,,,0
ファンキージャグラー2,320,-17.64177282516152,3.755940433830762e-30,0.0,1
プリズムナナ,166,-12.925592543293943,3.793916102743308e-24,0.0,1
マイジャグラーV,320,-11.448692562337781,5.93105319995472e-21,1.0,1
マギアレコード 魔法少女まどか☆マギカ外伝,320,-20.298003172642815,0.0,0.0,1
マジカルハロウィン ボーナストリガー,104,-10.730006175012344,2.9966458438632995e-19,0.0,1
マジカルハロウィン8,320,-15.592115185069954,1.8744629040280991e-28,0.0,1
マタドールIII,35,-6.4322488120371,1.6861264673558094e-08,0.0,1
ミスタージャグラー,320,-17.925567555395034,2.895660583710926e-30,0.0,1
ミリオンゴッド‐神々の軌跡‐,34,-2.1690678253470117,0.21766293445015134,10.0,0
モンキーターンV,320,-17.82993704908571,3.1362875346859733e-30,0.0,1
モンスターハンターライズ,320,-15.41775793782677,3.0632362255449956e-28,1.0,1
ヨルムンガンド,48,-4.9101904100936995,3.331605353343853e-05,0.0,1
ラブ嬢3～Wご指名はいかがですか?～,63,-8.821553849443738,1.8713427066267457e-14,0.0,1
ルパン三世 大航海者の秘宝,15,,,,0
ヱヴァンゲリヲン ～約束の扉～,307,-5.37860709792716,3.755850136972886e-06,5.0,1
七つの魔剣が支配する,320,-18.121706583900036,2.520507193842951e-30,0.0,1
不二子BT,153,-13.1889878374137,1.1544270294718613e-24,0.0,1
主役は銭形5,194,-9.188331131182329,2.1570858304169367e-15,3.0,1
交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE‐ART,320,-18.954789445273448,0.0,0.0,1
