setting,metric,mean,ci_low,ci_high,n_days,avg_entities,random_baseline,lift_vs_random
all,hit_at_1,0.0,0.0,0.0,30,69.36666666666666,0.01442350370099731,0.0
all,hit_at_3,0.0,0.0,0.0,30,69.36666666666666,0.04327051110299194,0.0
all,hit_at_5,0.0,0.0,0.0,30,69.36666666666666,0.07211751850498654,0.0
no_lag,hit_at_1,0.0,0.0,0.0,30,72.1,0.013869863013698632,0.0
no_lag,hit_at_3,0.0,0.0,0.0,30,72.1,0.0416095890410959,0.0
no_lag,hit_at_5,0.0,0.0,0.0,30,72.1,0.06934931506849316,0.0
no_calendar,hit_at_1,0.0,0.0,0.0,30,69.36666666666666,0.01442350370099731,0.0
no_calendar,hit_at_3,0.0,0.0,0.0,30,69.36666666666666,0.04327051110299194,0.0
no_calendar,hit_at_5,0.0,0.0,0.0,30,69.36666666666666,0.07211751850498654,0.0
no_entity,hit_at_1,0.0,0.0,0.0,30,69.36666666666666,0.01442350370099731,0.0
no_entity,hit_at_3,0.0,0.0,0.0,30,69.36666666666666,0.04327051110299194,0.0
no_entity,hit_at_5,0.0,0.0,0.0,30,69.36666666666666,0.07211751850498654,0.0
