weekday,machine_type,observed_top1,expected_top1,residual,chi2,p_value,dof,is_significant_5pct
土,AT系,44.0,42.98125,1.0187499999999972,10.731629219341885,0.5520473573218878,12,0
土,A型,0.0,1.29375,-1.29375,10.731629219341885,0.5520473573218878,12,0
土,BT,2.0,1.725,0.2749999999999999,10.731629219341885,0.5520473573218878,12,0
日,AT系,39.0,41.1125,-2.112499999999997,10.731629219341885,0.5520473573218878,12,0
日,A型,2.0,1.2375,0.7625,10.731629219341885,0.5520473573218878,12,0
日,BT,3.0,1.65,1.35,10.731629219341885,0.5520473573218878,12,0
月,AT系,45.0,42.98125,2.018749999999997,10.731629219341885,0.5520473573218878,12,0
月,A型,1.0,1.29375,-0.29374999999999996,10.731629219341885,0.5520473573218878,12,0
月,BT,0.0,1.725,-1.725,10.731629219341885,0.5520473573218878,12,0
木,AT系,41.0,42.98125,-1.9812500000000028,10.731629219341885,0.5520473573218878,12,0
木,A型,3.0,1.29375,1.70625,10.731629219341885,0.5520473573218878,12,0
木,BT,2.0,1.725,0.2749999999999999,10.731629219341885,0.5520473573218878,12,0
水,AT系,43.0,42.98125,0.018749999999997158,10.731629219341885,0.5520473573218878,12,0
水,A型,2.0,1.29375,0.70625,10.731629219341885,0.5520473573218878,12,0
水,BT,1.0,1.725,-0.7250000000000001,10.731629219341885,0.5520473573218878,12,0
火,AT系,45.0,42.98125,2.018749999999997,10.731629219341885,0.5520473573218878,12,0
火,A型,0.0,1.29375,-1.29375,10.731629219341885,0.5520473573218878,12,0
火,BT,1.0,1.725,-0.7250000000000001,10.731629219341885,0.5520473573218878,12,0
金,AT系,42.0,42.98125,-0.9812500000000028,10.731629219341885,0.5520473573218878,12,0
金,A型,1.0,1.29375,-0.29374999999999996,10.731629219341885,0.5520473573218878,12,0
金,BT,3.0,1.725,1.275,10.731629219341885,0.5520473573218878,12,0
