test_type,group_a,group_b,statistic,p_value,is_significant_5pct
kruskal_overall,ALL,ALL,100.04374511046517,1.887021180278635e-22,1
mannwhitney_pair,AT系,A型,23662394.0,7.088552464765353e-21,1
mannwhitney_pair,AT系,BT,31086446.5,4.8434545605590104e-08,1
mannwhitney_pair,A型,BT,6258099.5,0.00034258555671114004,1
