weekday,entity,observed_top1,expected_top1,residual,chi2,p_value,dof,cramers_v,is_significant_5pct
土,L麻雀物語,0.0,1.15,-1.15,395.6962940441201,0.6597288810095373,408,0.4539733690588534,0
土,ToLOVEるダークネス TRANCE ver.8.7,0.0,1.86875,-1.86875,395.6962940441201,0.6597288810095373,408,0.4539733690588534,0
土,いざ！番長,1.0,0.575,0.42500000000000004,395.6962940441201,0.6597288810095373,408,0.4539733690588534,0
土,かぐや様は告らせたい,1.0,1.00625,-0.006250000000000089,395.6962940441201,0.6597288810095373,408,0.4539733690588534,0
土,からくりサーカス,1.0,1.15,-0.1499999999999999,395.6962940441201,0.6597288810095373,408,0.4539733690588534,0
土,この素晴らしい世界に祝福を！,0.0,0.14375,-0.14375,395.6962940441201,0.6597288810095373,408,0.4539733690588534,0
土,とある科学の超電磁砲2,0.0,0.575,-0.575,395.6962940441201,0.6597288810095373,408,0.4539733690588534,0
土,とある魔術の禁書目録,3.0,0.8625,2.1375,395.6962940441201,0.6597288810095373,408,0.4539733690588534,0
土,わたしの幸せな結婚,0.0,0.14375,-0.14375,395.6962940441201,0.6597288810095373,408,0.4539733690588534,0
土,アクダマドライブ,0.0,0.71875,-0.71875,395.6962940441201,0.6597288810095373,408,0.4539733690588534,0
土,アズールレーン THE ANIMATION,1.0,1.00625,-0.006250000000000089,395.6962940441201,0.6597288810095373,408,0.4539733690588534,0
土,ウルトラミラクルジャグラー,0.0,0.2875,-0.2875,395.6962940441201,0.6597288810095373,408,0.4539733690588534,0
土,ガールズ&パンツァー 最終章,2.0,1.15,0.8500000000000001,395.6962940441201,0.6597288810095373,408,0.4539733690588534,0
土,キングハナハナ-30,0.0,0.14375,-0.14375,395.6962940441201,0.6597288810095373,408,0.4539733690588534,0
土,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,0.0,0.2875,-0.2875,395.6962940441201,0.6597288810095373,408,0.4539733690588534,0
土,グランベルム,0.0,0.2875,-0.2875,395.6962940441201,0.6597288810095373,408,0.4539733690588534,0
