entity,lag,acf_value,significance_threshold,is_significant
A‐SLOT+ 異世界かるてっと,1,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,2,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,3,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,4,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,5,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,6,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,7,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,8,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,9,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,10,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,11,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,12,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,13,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,14,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,15,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,16,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,17,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,18,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,19,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,20,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,21,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,22,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,23,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,24,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,25,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,26,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,27,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,28,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,29,,0.11162911443718952,0
A‐SLOT+ 異世界かるてっと,30,,0.11162911443718952,0
L麻雀物語,1,-0.025638728812715852,0.11162911443718952,0
L麻雀物語,2,-0.025718352194121812,0.11162911443718952,0
L麻雀物語,3,0.102396912603386,0.11162911443718952,0
L麻雀物語,4,-0.02587759895693371,0.11162911443718952,0
L麻雀物語,5,0.2304325540194878,0.11162911443718952,1
L麻雀物語,6,-0.026036845719745606,0.11162911443718952,0
L麻雀物語,7,-0.026116469101151576,0.11162911443718952,0
L麻雀物語,8,-0.026196092482557512,0.11162911443718952,0
L麻雀物語,9,-0.026275715863963434,0.11162911443718952,0
L麻雀物語,10,-0.023160451066455656,0.11162911443718952,0
L麻雀物語,11,0.2331497019099659,0.11162911443718952,1
L麻雀物語,12,-0.023319697829267565,0.11162911443718952,0
L麻雀物語,13,-0.023399321210673524,0.11162911443718952,0
L麻雀物語,14,-0.023478944592079453,0.11162911443718952,0
L麻雀物語,15,-0.023558567973485406,0.11162911443718952,0
L麻雀物語,16,0.36094647318184986,0.11162911443718952,1
L麻雀物語,17,-0.023717814736297308,0.11162911443718952,0
L麻雀物語,18,-0.023797438117703282,0.11162911443718952,0
L麻雀物語,19,-0.02387706149910922,0.11162911443718952,0
L麻雀物語,20,-0.023956684880515153,0.11162911443718952,0
L麻雀物語,21,0.10735346809590637,0.11162911443718952,0
L麻雀物語,22,-0.020921043464413317,0.11162911443718952,0
L麻雀物語,23,0.10719422133309449,0.11162911443718952,0
L麻雀物語,24,-0.021080290227225216,0.11162911443718952,0
L麻雀物語,25,-0.02115991360863115,0.11162911443718952,0
L麻雀物語,26,0.11015023936779036,0.11162911443718952,0
L麻雀物語,27,0.11007061598638442,0.11162911443718952,0
L麻雀物語,28,-0.018203895573935265,0.11162911443718952,0
L麻雀物語,29,-0.018283518955341232,0.11162911443718952,0
L麻雀物語,30,-0.018363142336747174,0.11162911443718952,0
SHAKE BONUS TRIGGER,1,,0.11162911443718952,0
SHAKE BONUS TRIGGER,2,,0.11162911443718952,0
SHAKE BONUS TRIGGER,3,,0.11162911443718952,0
SHAKE BONUS TRIGGER,4,,0.11162911443718952,0
SHAKE BONUS TRIGGER,5,,0.11162911443718952,0
SHAKE BONUS TRIGGER,6,,0.11162911443718952,0
SHAKE BONUS TRIGGER,7,,0.11162911443718952,0
SHAKE BONUS TRIGGER,8,,0.11162911443718952,0
SHAKE BONUS TRIGGER,9,,0.11162911443718952,0
SHAKE BONUS TRIGGER,10,,0.11162911443718952,0
SHAKE BONUS TRIGGER,11,,0.11162911443718952,0
SHAKE BONUS TRIGGER,12,,0.11162911443718952,0
SHAKE BONUS TRIGGER,13,,0.11162911443718952,0
SHAKE BONUS TRIGGER,14,,0.11162911443718952,0
SHAKE BONUS TRIGGER,15,,0.11162911443718952,0
SHAKE BONUS TRIGGER,16,,0.11162911443718952,0
SHAKE BONUS TRIGGER,17,,0.11162911443718952,0
SHAKE BONUS TRIGGER,18,,0.11162911443718952,0
SHAKE BONUS TRIGGER,19,,0.11162911443718952,0
SHAKE BONUS TRIGGER,20,,0.11162911443718952,0
SHAKE BONUS TRIGGER,21,,0.11162911443718952,0
SHAKE BONUS TRIGGER,22,,0.11162911443718952,0
SHAKE BONUS TRIGGER,23,,0.11162911443718952,0
SHAKE BONUS TRIGGER,24,,0.11162911443718952,0
SHAKE BONUS TRIGGER,25,,0.11162911443718952,0
SHAKE BONUS TRIGGER,26,,0.11162911443718952,0
SHAKE BONUS TRIGGER,27,,0.11162911443718952,0
SHAKE BONUS TRIGGER,28,,0.11162911443718952,0
SHAKE BONUS TRIGGER,29,,0.11162911443718952,0
SHAKE BONUS TRIGGER,30,,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,1,0.037830549512792515,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,2,-0.04247076910628314,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,3,-0.04260225755552859,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,4,-0.04273374600477403,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,5,0.037304595715810684,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,6,0.03717310726656521,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,7,0.03704161881731976,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,8,-0.04325969980175589,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,9,-0.04339118825100131,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,10,-0.04352267670024681,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,11,0.03651566502033793,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,12,-0.043785653598737706,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,13,-0.043917142047983165,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,14,0.036121199672601544,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,15,0.03598971122335608,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,16,-0.044311607395719564,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,17,-0.044443095844965017,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,18,-0.04457458429421047,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,19,0.035463757426374254,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,20,0.038579022223882035,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,21,0.03844753377463656,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,22,-0.04185378484443905,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,23,0.11835438704597585,0.11162911443718952,1
ToLOVEるダークネス TRANCE ver.8.7,24,-0.04211676174292997,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,25,-0.0422482501921754,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,26,-0.0423797386414209,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,27,-0.04251122709066634,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,28,0.1978667749695787,0.11162911443718952,1
ToLOVEるダークネス TRANCE ver.8.7,29,0.0373956261806729,0.11162911443718952,0
ToLOVEるダークネス TRANCE ver.8.7,30,0.03726413773142745,0.11162911443718952,0
いざ！番長,1,-0.012657605864952765,0.11162911443718952,0
いざ！番長,2,-0.012696915199937113,0.11162911443718952,0
いざ！番長,3,-0.012736224534921417,0.11162911443718952,0
いざ！番長,4,-0.012775533869905754,0.11162911443718952,0
いざ！番長,5,-0.012814843204890077,0.11162911443718952,0
いざ！番長,6,-0.012854152539874403,0.11162911443718952,0
いざ！番長,7,-0.012893461874858722,0.11162911443718952,0
いざ！番長,8,0.24022180292264908,0.11162911443718952,1
いざ！番長,9,-0.012972080544827387,0.11162911443718952,0
いざ！番長,10,-0.013011389879811729,0.11162911443718952,0
いざ！番長,11,-0.01305069921479604,0.11162911443718952,0
いざ！番長,12,-0.013090008549780355,0.11162911443718952,0
いざ！番長,13,-0.013129317884764694,0.11162911443718952,0
いざ！番長,14,-0.013168627219749013,0.11162911443718952,0
いざ！番長,15,-0.013207936554733348,0.11162911443718952,0
いざ！番長,16,-0.01324724588971764,0.11162911443718952,0
いざ！番長,17,-0.013286555224701983,0.11162911443718952,0
いざ！番長,18,-0.013325864559686323,0.11162911443718952,0
いざ！番長,19,-0.013365173894670648,0.11162911443718952,0
いざ！番長,20,-0.013404483229654958,0.11162911443718952,0
いざ！番長,21,-0.01344379256463929,0.11162911443718952,0
いざ！番長,22,-0.01348310189962361,0.11162911443718952,0
いざ！番長,23,-0.013522411234607935,0.11162911443718952,0
いざ！番長,24,-0.013561720569592272,0.11162911443718952,0
いざ！番長,25,-0.013601029904576591,0.11162911443718952,0
いざ！番長,26,-0.01364033923956092,0.11162911443718952,0
いざ！番長,27,-0.013679648574545197,0.11162911443718952,0
いざ！番長,28,-0.01371895790952957,0.11162911443718952,0
いざ！番長,29,-0.013758267244513898,0.11162911443718952,0
いざ！番長,30,-0.013797576579498216,0.11162911443718952,0
うみねこのなく頃に2,1,,0.11162911443718952,0
うみねこのなく頃に2,2,,0.11162911443718952,0
うみねこのなく頃に2,3,,0.11162911443718952,0
うみねこのなく頃に2,4,,0.11162911443718952,0
うみねこのなく頃に2,5,,0.11162911443718952,0
うみねこのなく頃に2,6,,0.11162911443718952,0
うみねこのなく頃に2,7,,0.11162911443718952,0
うみねこのなく頃に2,8,,0.11162911443718952,0
うみねこのなく頃に2,9,,0.11162911443718952,0
うみねこのなく頃に2,10,,0.11162911443718952,0
うみねこのなく頃に2,11,,0.11162911443718952,0
うみねこのなく頃に2,12,,0.11162911443718952,0
うみねこのなく頃に2,13,,0.11162911443718952,0
うみねこのなく頃に2,14,,0.11162911443718952,0
うみねこのなく頃に2,15,,0.11162911443718952,0
うみねこのなく頃に2,16,,0.11162911443718952,0
うみねこのなく頃に2,17,,0.11162911443718952,0
うみねこのなく頃に2,18,,0.11162911443718952,0
うみねこのなく頃に2,19,,0.11162911443718952,0
うみねこのなく頃に2,20,,0.11162911443718952,0
うみねこのなく頃に2,21,,0.11162911443718952,0
うみねこのなく頃に2,22,,0.11162911443718952,0
うみねこのなく頃に2,23,,0.11162911443718952,0
うみねこのなく頃に2,24,,0.11162911443718952,0
うみねこのなく頃に2,25,,0.11162911443718952,0
うみねこのなく頃に2,26,,0.11162911443718952,0
うみねこのなく頃に2,27,,0.11162911443718952,0
うみねこのなく頃に2,28,,0.11162911443718952,0
うみねこのなく頃に2,29,,0.11162911443718952,0
うみねこのなく頃に2,30,,0.11162911443718952,0
かぐや様は告らせたい,1,-0.02236244220886163,0.11162911443718952,0
かぐや様は告らせたい,2,-0.02243189078715003,0.11162911443718952,0
かぐや様は告らせたい,3,-0.022501339365438418,0.11162911443718952,0
かぐや様は告らせたい,4,-0.022570787943726803,0.11162911443718952,0
かぐや様は告らせたい,5,-0.022640236522015203,0.11162911443718952,0
かぐや様は告らせたい,6,-0.022709685100303603,0.11162911443718952,0
かぐや様は告らせたい,7,-0.022779133678591974,0.11162911443718952,0
かぐや様は告らせたい,8,-0.022848582256880374,0.11162911443718952,0
かぐや様は告らせたい,9,-0.02291803083516876,0.11162911443718952,0
かぐや様は告らせたい,10,-0.02298747941345714,0.11162911443718952,0
かぐや様は告らせたい,11,-0.023056927991745538,0.11162911443718952,0
かぐや様は告らせたい,12,-0.023126376570033937,0.11162911443718952,0
かぐや様は告らせたい,13,-0.023195825148322337,0.11162911443718952,0
かぐや様は告らせたい,14,-0.02326527372661071,0.11162911443718952,0
かぐや様は告らせたい,15,-0.023334722304899115,0.11162911443718952,0
かぐや様は告らせたい,16,-0.023404170883187483,0.11162911443718952,0
かぐや様は告らせたい,17,-0.023473619461475886,0.11162911443718952,0
かぐや様は告らせたい,18,-0.023543068039764286,0.11162911443718952,0
かぐや様は告らせたい,19,-0.023612516618052665,0.11162911443718952,0
かぐや様は告らせたい,20,-0.023681965196341043,0.11162911443718952,0
かぐや様は告らせたい,21,-0.02375141377462946,0.11162911443718952,0
かぐや様は告らせたい,22,-0.023820862352917842,0.11162911443718952,0
かぐや様は告らせたい,23,-0.02389031093120622,0.11162911443718952,0
かぐや様は告らせたい,24,0.12208209672344443,0.11162911443718952,1
かぐや様は告らせたい,25,-0.024029208087782996,0.11162911443718952,0
かぐや様は告らせたい,26,-0.024098656666071375,0.11162911443718952,0
かぐや様は告らせたい,27,-0.02098339186856357,0.11162911443718952,0
かぐや様は告らせたい,28,-0.021052840446851982,0.11162911443718952,0
かぐや様は告らせたい,29,-0.02112228902514037,0.11162911443718952,0
かぐや様は告らせたい,30,-0.02119173760342881,0.11162911443718952,0
からくりサーカス,1,-0.025638728812715856,0.11162911443718952,0
からくりサーカス,2,-0.02571835219412179,0.11162911443718952,0
からくりサーカス,3,-0.025797975575527734,0.11162911443718952,0
からくりサーカス,4,-0.0258775989569337,0.11162911443718952,0
からくりサーカス,5,-0.025957222338339657,0.11162911443718952,0
からくりサーカス,6,-0.026036845719745606,0.11162911443718952,0
からくりサーカス,7,-0.026116469101151563,0.11162911443718952,0
からくりサーカス,8,-0.026196092482557498,0.11162911443718952,0
からくりサーカス,9,-0.02627571586396346,0.11162911443718952,0
からくりサーカス,10,-0.023160451066455656,0.11162911443718952,0
からくりサーカス,11,-0.023240074447861626,0.11162911443718952,0
からくりサーカス,12,-0.023319697829267575,0.11162911443718952,0
からくりサーカス,13,-0.02339932121067351,0.11162911443718952,0
からくりサーカス,14,0.10471594358683424,0.11162911443718952,0
からくりサーカス,15,-0.02355856797348541,0.11162911443718952,0
からくりサーカス,16,0.10455669682402235,0.11162911443718952,0
からくりサーカス,17,-0.023717814736297294,0.11162911443718952,0
からくりサーカス,18,-0.023797438117703247,0.11162911443718952,0
からくりサーカス,19,-0.023877061499109203,0.11162911443718952,0
からくりサーカス,20,0.10423820329839854,0.11162911443718952,0
からくりサーカス,21,-0.02403630826192111,0.11162911443718952,0
からくりサーカス,22,-0.024115931643327045,0.11162911443718952,0
からくりサーカス,23,-0.024195555024733018,0.11162911443718952,0
からくりサーカス,24,0.10391970977277475,0.11162911443718952,0
からくりサーカス,25,-0.024354801787544917,0.11162911443718952,0
からくりサーカス,26,-0.024434425168950877,0.11162911443718952,0
からくりサーカス,27,-0.024514048550356795,0.11162911443718952,0
からくりサーカス,28,-0.024593671931762776,0.11162911443718952,0
からくりサーカス,29,-0.024673295313168704,0.11162911443718952,0
