test_type,group_a,group_b,n_entities,statistic,p_value,cliffs_delta,is_significant_5pct
kruskal_overall,ALL,ALL,94,622.6823792003273,2.448106706380864e-79,,1
mannwhitney_pair,L麻雀物語,SHAKE BONUS TRIGGER,94,10862.5,0.6340557032577517,-0.032897079772079785,0
mannwhitney_pair,L麻雀物語,ToLOVEるダークネス TRANCE ver.8.7,94,17362.0,0.5062890787328166,0.04338942307692317,0
mannwhitney_pair,L麻雀物語,いざ！番長,94,16415.5,0.8365315214257083,-0.013491586538461497,0
mannwhitney_pair,L麻雀物語,うみねこのなく頃に2,94,6047.0,0.5470284000089553,0.04764379764379756,0
mannwhitney_pair,L麻雀物語,かぐや様は告らせたい,94,16093.5,0.6150085813203849,-0.032842548076923106,0
mannwhitney_pair,L麻雀物語,からくりサーカス,94,16413.5,0.8350906690682284,-0.013611778846153832,0
mannwhitney_pair,L麻雀物語,この素晴らしい世界に祝福を！,94,17293.0,0.5478211145781421,0.0392427884615385,0
mannwhitney_pair,L麻雀物語,とある科学の超電磁砲2,94,9066.5,0.33950362836029924,-0.06761620732208973,0
mannwhitney_pair,L麻雀物語,とある魔術の禁書目録,94,3882.5,0.2388393878280276,-0.10044022242817419,0
mannwhitney_pair,L麻雀物語,わたしの幸せな結婚,94,3420.5,0.6344021122495036,0.044108669108669174,0
mannwhitney_pair,L麻雀物語,アイムジャグラーEX-TP,94,9957.0,0.41623156809244233,0.057904802379940445,0
mannwhitney_pair,L麻雀物語,アズールレーン THE ANIMATION,94,13435.5,0.08114396102479256,-0.11515410958904104,0
mannwhitney_pair,L麻雀物語,アレックス ブライト,94,16681.5,0.9698745281203556,0.0024939903846152855,0
mannwhitney_pair,L麻雀物語,ウルトラミラクルジャグラー,94,17227.0,0.5890362806114462,0.035276442307692335,0
mannwhitney_pair,L麻雀物語,ガールズ&パンツァー 最終章,94,16953.5,0.773105352475436,0.018840144230769296,0
mannwhitney_pair,L麻雀物語,キングハナハナ-30,94,17990.5,0.2136774957349321,0.0811598557692308,0
mannwhitney_pair,L麻雀物語,クランキークレスト,94,8146.5,0.8144208502105728,0.017295204795204855,0
mannwhitney_pair,L麻雀物語,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,94,12216.5,0.5835025169318866,-0.037161097099621676,0
mannwhitney_pair,L麻雀物語,グランベルム,94,12673.5,0.9389707690092055,-0.005219780219780201,0
mannwhitney_pair,L麻雀物語,ゴッドイーター リザレクション,94,16696.5,0.9588615382727814,0.003395432692307798,0
mannwhitney_pair,L麻雀物語,ゴブリンスレイヤーII,94,3553.5,0.19657247817165824,-0.11251248751248755,0
mannwhitney_pair,L麻雀物語,ゴーゴージャグラー3,94,17271.5,0.5610898080136386,0.03795072115384612,0
mannwhitney_pair,L麻雀物語,シャーマンキング,94,14998.5,0.13038653415722062,-0.09864783653846154,0
mannwhitney_pair,L麻雀物語,ジャグラーガールズ,94,17591.0,0.3812932427126504,0.0571514423076922,0
mannwhitney_pair,L麻雀物語,スマスロ サンダーV,94,4545.0,0.5343317547304784,0.05305838739573687,0
mannwhitney_pair,L麻雀物語,スマスロ ハナビ,94,5878.0,0.8169620208791051,0.018364518364518467,0
mannwhitney_pair,L麻雀物語,スマスロ北斗の拳,94,18832.0,0.04352655704024789,0.1317307692307692,1
mannwhitney_pair,L麻雀物語,スマスロ炎炎ノ消防隊,94,13505.0,0.49815322961437636,-0.045178167420814486,0
mannwhitney_pair,L麻雀物語,スマスロ炎炎ノ消防隊2,94,5082.0,0.1303489509907022,-0.11954261954261958,0
mannwhitney_pair,L麻雀物語,スマスロ秘宝伝,94,5685.0,0.2957686743962973,-0.08128636069812545,0
mannwhitney_pair,L麻雀物語,スマート沖スロ ニューキングハナハナV,94,4746.0,0.9726062279588475,0.002958579881656709,0
mannwhitney_pair,L麻雀物語,スーパーブラックジャック,94,17271.0,0.561397467845969,0.03792067307692304,0
mannwhitney_pair,L麻雀物語,ソードアート・オンライン,94,18325.0,0.12075145699299272,0.10126201923076916,0
mannwhitney_pair,L麻雀物語,ゾンビランドサガ,94,16012.0,0.5632404359662587,-0.03774038461538465,0
mannwhitney_pair,L麻雀物語,ダーリン・イン・ザ・フランキス,94,8131.5,0.05597130608765206,-0.13604972375690605,0
mannwhitney_pair,L麻雀物語,ディスクアップ ULTRAREMIX,94,18083.0,0.18394496175918462,0.08671874999999996,0
mannwhitney_pair,L麻雀物語,ディスクアップ2,94,16830.0,0.8614320528343354,0.011418269230769162,0
mannwhitney_pair,L麻雀物語,デビル メイ クライ5 スタイリッシュトライブ,94,8586.0,0.8764964015560625,-0.011285122063565134,0
mannwhitney_pair,L麻雀物語,ネオアイムジャグラーEX,94,13745.5,0.6713329443822396,0.02854684226279547,0
mannwhitney_pair,L麻雀物語,ネオプラネット,94,3749.5,0.4660215624635392,-0.06356143856143859,0
mannwhitney_pair,L麻雀物語,ハイパーラッシュ,94,6395.5,0.748626766812508,0.024919871794871762,0
mannwhitney_pair,L麻雀物語,ハッピージャグラーVIII,94,17771.5,0.297514703234978,0.067998798076923,0
mannwhitney_pair,L麻雀物語,バイオハザード RE:2,94,4837.5,0.8935964806371803,0.01118311036789299,0
mannwhitney_pair,L麻雀物語,バイオハザード5,94,8493.0,0.40988122896728263,0.06056443556443547,0
mannwhitney_pair,L麻雀物語,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,94,16638.0,0.9988974328786657,-0.00012019230769233502,0
mannwhitney_pair,L麻雀物語,バンドリ！,94,16012.5,0.5633739602103828,-0.037710336538461564,0
mannwhitney_pair,L麻雀物語,バーサスリヴァイズ,94,17653.0,0.35101295835956225,0.06087740384615392,0
mannwhitney_pair,L麻雀物語,ファンキージャグラー2,94,17761.5,0.30180358316016465,0.06739783653846154,0
mannwhitney_pair,L麻雀物語,プリズムナナ,94,7565.5,0.08770903578266087,-0.12355189990732163,0
mannwhitney_pair,L麻雀物語,マイジャグラーV,94,17534.0,0.4104953677600528,0.05372596153846154,0
mannwhitney_pair,L麻雀物語,マギアレコード 魔法少女まどか☆マギカ外伝,94,17663.5,0.3460391049184377,0.06150841346153846,0
mannwhitney_pair,L麻雀物語,マジカルハロウィン ボーナストリガー,94,5022.0,0.3743975844275349,-0.07137573964497046,0
mannwhitney_pair,L麻雀物語,マジカルハロウィン8,94,17602.0,0.37580228623620615,0.057812500000000044,0
mannwhitney_pair,L麻雀物語,ミスタージャグラー,94,17516.0,0.41999260465596655,0.05264423076923075,0
mannwhitney_pair,L麻雀物語,モンキーターンV,94,18318.5,0.12219159047338597,0.1008713942307693,0
mannwhitney_pair,L麻雀物語,モンスターハンターライズ,94,17356.5,0.5095558797226625,0.04305889423076925,0
mannwhitney_pair,L麻雀物語,ラブ嬢3～Wご指名はいかがですか?～,94,3231.5,0.8844676119043676,-0.013583638583638535,0
mannwhitney_pair,L麻雀物語,ヱヴァンゲリヲン ～約束の扉～,94,16059.0,0.9280804549342848,0.005950889501378009,0
mannwhitney_pair,L麻雀物語,七つの魔剣が支配する,94,17274.5,0.5592262321077648,0.038131009615384626,0
mannwhitney_pair,L麻雀物語,不二子BT,94,8078.5,0.8347677107933675,0.015397184514831519,0
mannwhitney_pair,L麻雀物語,主役は銭形5,94,9294.5,0.2633087901515472,-0.0786578112609041,0
mannwhitney_pair,L麻雀物語,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE‐ART,94,17883.0,0.2524245851152317,0.07469951923076934,0
mannwhitney_pair,L麻雀物語,化物語,94,7905.0,0.2445945604435329,-0.08422150139017603,0
