entity,machine_type,mean_diff,median_diff,std_diff,n_days
スマスロ ドルアーガの塔,BT,-441.4634146341463,-300.0,979.7896737963964,41
スマスロ ハナビ,BT,35.4954954954955,-20.0,531.4042096845246,111
スマスロ北斗の拳,AT系,460.82587460921934,345.34883720930236,742.7418935399361,320
スマスロ炎炎ノ消防隊,AT系,226.43995098039215,-12.5,1765.1022685728537,272
スマスロ炎炎ノ消防隊2,AT系,-246.3963963963964,-283.3333333333333,1096.023356966994,111
スマスロ秘宝伝,AT系,-115.26610644257703,-266.6666666666667,1195.2719549498775,119
スマート沖スロ ニューキングハナハナV,A型,3.5714285714285716,0.0,398.6665521977857,91
スーパーブラックジャック,AT系,297.9026442307692,46.15384615384615,1203.8169585684946,320
スーパーリオエース2,AT系,-681.7307692307693,-950.0,1614.0062037182588,13
ソードアート・オンライン,AT系,432.4758184523809,283.33333333333337,1100.03357996218,320
ゾンビランドサガ,AT系,278.90625,-158.33333333333331,1922.4535378664257,320
タクトオーパス デスティニー,AT系,-800.0,-750.0,1036.8723000768546,13
ダーリン・イン・ザ・フランキス,AT系,-77.5006577216522,-390.0,1661.4773657201583,181
ディスクアップ ULTRAREMIX,BT,306.2489801864802,278.8888888888889,584.8861364626613,320
ディスクアップ2,BT,188.515625,100.0,1123.5801488333052,320
デビル メイ クライ5 スタイリッシュトライブ,AT系,314.49101796407183,100.0,1486.8672702035778,167
ドッチ,AT系,-422.05882352941177,-525.0,1364.9947927789783,34
ネオアイムジャグラーEX,A型,87.50469000407261,64.70588235294117,304.51218372373864,257
ネオプラネット,AT系,21.038961038961038,-300.0,1753.1772543882062,77
ハイパーラッシュ,BT,441.5277777777777,383.33333333333337,1153.5416090688268,120
ハイビリターン‐30,BT,176.0204081632653,0.0,878.2674965444461,28
ハッピージャグラーVIII,A型,280.3125,150.0,644.7107410732135,320
バイオハザード RE:2,AT系,411.95652173913044,400.0,1611.008993181244,92
バイオハザード RE:3,AT系,-337.5,-481.25,662.0773022590841,13
バイオハザード5,AT系,520.5898268398269,316.6666666666667,1431.1215234152762,154
バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,AT系,445.0520833333333,58.333333333333336,2107.3631502301464,320
