setting,metric,mean,delta_vs_all,lift_vs_random,n_days
all,hit_at_1,0.0,0.0,0.0,30
all,hit_at_3,0.0,0.0,0.0,30
all,hit_at_5,0.0,0.0,0.0,30
no_lag,hit_at_1,0.0,0.0,0.0,30
no_lag,hit_at_3,0.0,0.0,0.0,30
no_lag,hit_at_5,0.0,0.0,0.0,30
no_calendar,hit_at_1,0.0,0.0,0.0,30
no_calendar,hit_at_3,0.0,0.0,0.0,30
no_calendar,hit_at_5,0.0,0.0,0.0,30
no_entity,hit_at_1,0.0,0.0,0.0,30
no_entity,hit_at_3,0.0,0.0,0.0,30
no_entity,hit_at_5,0.0,0.0,0.0,30
