lag,cv_auc,spearman_r,spearman_p_value,direction,n_samples
1,0.6893556425774298,0.28642115487137865,1.5808332947505154e-19,positive,957
2,0.7076183695265218,0.29785792271421024,5.350154678915242e-21,positive,954
3,0.6946005917159763,0.2971400415719222,7.711728574937819e-21,positive,951
5,0.6894415680473372,0.2753461737415957,6.675319450475268e-18,positive,945
7,0.7,0.2935819885129588,4.0212303962021453e-20,positive,939
10,0.7117262591311034,0.31022649798926916,3.393351776386653e-22,positive,930
14,0.694963475586313,0.3050311125865947,3.2101606730171707e-21,positive,918
21,0.6879841732611411,0.2839077578004028,4.313917277135487e-18,positive,897
28,0.6954210069444444,0.2950686700663909,4.657950139208425e-19,positive,876
