machine_type,mean_diff,median_diff,std_diff,n_days
AT系,209.9130229556135,7.142857142857143,1520.3251130978247,320
A型,222.64854803071762,133.33333333333334,568.0769567602283,320
BT,185.67128489663702,100.0,901.4058400695835,320
