machine_type,n_obs,adf_stat,p_value,used_lag,is_stationary_5pct
AT系,320,-4.04500381382479,0.0011923514081315864,10,1
A型,320,-3.1296244540469518,0.024437117783109613,15,1
BT,320,-7.239274645246523,1.9030943218750948e-10,3,1
