hall,machine_name,outcome,window0_range,window0_n,window0_p,window0_effect,window0_top_dd,window1_range,window1_n,window1_p,window1_effect,window1_top_dd,n_common_dd_levels,spearman_rho,spearman_p,recent_significant,consistent_with_prior_window,note
レイトギャップ,アレックス ブライト,plus,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=173 < 200; window1_n=175 < 200
レイトギャップ,ウルトラミラクルジャグラー,hit104,2026-04-02..2026-06-30,354,0.5597635843229296,0.0,31.0,2026-01-02..2026-04-01,356,0.641313258102994,0.0,23.0,31,-0.073757859600412,0.6933387262301905,False,False,
レイトギャップ,ウルトラミラクルジャグラー,plus,2026-04-02..2026-06-30,354,0.7606856295012681,0.0,9.0,2026-01-02..2026-04-01,356,0.7816595632422239,0.0,6.0,31,0.03713808501556566,0.842773594049113,False,False,
レイトギャップ,ガールズ&パンツァー 最終章,hit104,2026-04-03..2026-06-30,,,,,2026-01-19..2026-03-31,,,,,,,,False,False,skip: window0_n=114 < 200; window1_n=60 < 200
レイトギャップ,ガールズ&パンツァー 最終章,plus,2026-04-03..2026-06-30,,,,,2026-01-19..2026-03-31,,,,,,,,False,False,skip: window0_n=114 < 200; window1_n=60 < 200
レイトギャップ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,hit104,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=165 < 200; window1_n=176 < 200
レイトギャップ,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,plus,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=165 < 200; window1_n=176 < 200
レイトギャップ,ゴジラ対エヴァンゲリオン,hit104,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=76 < 200
レイトギャップ,ゴジラ対エヴァンゲリオン,plus,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=76 < 200
レイトギャップ,ゴッドイーター リザレクション,hit104,2026-04-02..2026-06-30,440,0.44162990106425387,0.030362065844647148,18.0,2026-01-02..2026-04-01,524,0.327571124858769,0.07352464734045665,30.0,31,0.11669767758930134,0.5318488066035203,False,False,
レイトギャップ,ゴッドイーター リザレクション,plus,2026-04-02..2026-06-30,440,0.2872087091416394,0.09271049388544865,25.0,2026-01-02..2026-04-01,524,0.37415048350027746,0.058679886750098026,30.0,31,0.2722284373075117,0.13845667796704206,False,False,
レイトギャップ,ゴーゴージャグラー3,hit104,2026-04-02..2026-06-30,1242,5.3352761175754344e-05,0.17878961960162168,19.0,2026-01-02..2026-04-01,1254,0.005335059542398455,0.13663780466820535,22.0,31,-0.02140611008885306,0.9090005558392777,True,False,
レイトギャップ,ゴーゴージャグラー3,plus,2026-04-02..2026-06-30,1242,3.26513530528819e-06,0.19759055635898073,19.0,2026-01-02..2026-04-01,1254,0.00039372548706077484,0.16221204166056252,22.0,31,-0.25227976474299096,0.17094370513071233,True,False,
