hall,machine_name,outcome,window0_range,window0_n,window0_p,window0_effect,window0_top_dd,window1_range,window1_n,window1_p,window1_effect,window1_top_dd,n_common_dd_levels,spearman_rho,spearman_p,recent_significant,consistent_with_prior_window,note
蒲田7,マイジャグラーV,hit104,2026-04-02..2026-06-30,5016.0,3.934219197385541e-08,0.1100847494006123,30.0,2026-01-02..2026-04-01,5126.0,4.437940603135943e-10,0.1200838840536208,1.0,30.0,0.5225497283619611,0.003052747354833,True,True,
ザシティ,マイジャグラーV,plus,2026-04-02..2026-06-30,1318.0,0.0085202838243993,0.1278395263359067,12.0,2026-01-02..2026-04-01,1325.0,0.0197047789255086,0.1166109207501625,28.0,31.0,0.5443230561281349,0.0015475195684952,True,True,
