hall,machine_name,outcome,window0_range,window0_n,window0_p,window0_effect,window0_top_dd,window1_range,window1_n,window1_p,window1_effect,window1_top_dd,n_common_dd_levels,spearman_rho,spearman_p,recent_significant,consistent_with_prior_window,note
ARROW,東京喰種,plus,2026-04-01..2026-06-29,1635,0.05216438642050139,0.09106251060558727,5.0,2026-01-01..2026-03-31,1778,0.37606319642264796,0.031832205123487105,1.0,31,-0.2049081035535463,0.26882134432031557,False,False,
ARROW,機動戦士ガンダムユニコーン 覚醒DRIVE,hit104,2026-05-20..2026-06-07,,,,,empty,,,,,,,,False,False,skip: window0_n=84 < 200; window1_n=0 < 200
ARROW,機動戦士ガンダムユニコーン 覚醒DRIVE,plus,2026-05-20..2026-06-07,,,,,empty,,,,,,,,False,False,skip: window0_n=84 < 200; window1_n=0 < 200
ARROW,沖ドキ!BLACK,hit104,2026-04-01..2026-06-29,803,0.9761363297554989,0.0,21.0,2026-01-01..2026-03-31,890,0.43333816300310174,0.02607846011212898,11.0,31,-0.3116791342563685,0.0878488502468965,False,False,
ARROW,沖ドキ!BLACK,plus,2026-04-01..2026-06-29,803,0.9979246259459632,0.0,20.0,2026-01-01..2026-03-31,890,0.3544747559254873,0.05030224676718047,25.0,31,-0.2229365086705251,0.2280131693533192,False,False,
ARROW,無職転生 ～異世界行ったら本気だす～,hit104,2026-04-01..2026-06-29,,,,,2026-01-21..2026-03-31,,,,,,,,False,False,skip: window0_n=147 < 200; window1_n=140 < 200
ARROW,無職転生 ～異世界行ったら本気だす～,plus,2026-04-01..2026-06-29,,,,,2026-01-21..2026-03-31,,,,,,,,False,False,skip: window0_n=147 < 200; window1_n=140 < 200
ARROW,甲鉄城のカバネリ,hit104,2026-04-01..2026-06-29,,,,,2026-01-01..2026-03-31,,,,,,,,False,False,skip: window0_n=83 < 200; window1_n=90 < 200
ARROW,甲鉄城のカバネリ,plus,2026-04-01..2026-06-29,,,,,2026-01-01..2026-03-31,,,,,,,,False,False,skip: window0_n=83 < 200; window1_n=90 < 200
ARROW,甲鉄城のカバネリ 海門(うなと)決戦,hit104,2026-04-01..2026-06-29,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 200
ARROW,甲鉄城のカバネリ 海門(うなと)決戦,plus,2026-04-01..2026-06-29,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 200
ARROW,真打 吉宗,hit104,2026-05-06..2026-06-29,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 200
ARROW,真打 吉宗,plus,2026-05-06..2026-06-29,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 200
ARROW,範馬刃牙,hit104,2026-03-30..2026-06-27,,,,,2026-03-04..2026-03-29,,,,,,,,False,False,skip: window0_n=84 < 200; window1_n=26 < 200
ARROW,範馬刃牙,plus,2026-03-30..2026-06-27,,,,,2026-03-04..2026-03-29,,,,,,,,False,False,skip: window0_n=84 < 200; window1_n=26 < 200
ARROW,鉄拳6,hit104,2026-03-17..2026-06-14,450,0.4949748834256995,0.0,15.0,2026-02-04..2026-03-16,661,0.15258173311146123,0.10615407179402545,3.0,28,-0.3652341102669817,0.0559861770514504,False,False,
ARROW,鉄拳6,plus,2026-03-17..2026-06-14,450,0.24352464205035512,0.10456121425548756,15.0,2026-02-04..2026-03-16,661,0.08843705706692992,0.12507608642029022,3.0,28,-0.29199286087786025,0.13162742605435598,False,False,
ARROW,革命機ヴァルヴレイヴ2,hit104,2026-04-01..2026-06-29,599,0.7378487767563191,0.0,31.0,2026-01-01..2026-03-31,924,0.5324163572770528,0.0,9.0,31,0.11936371363259148,0.5224514265448387,False,False,
ARROW,革命機ヴァルヴレイヴ2,plus,2026-04-01..2026-06-29,599,0.45395935484033056,0.017304238596593288,31.0,2026-01-01..2026-03-31,924,0.11414497339471726,0.10147681958925477,8.0,31,0.2053175331374976,0.26784506676420017,False,False,
