hall,machine_name,outcome,window0_n,window0_p,window0_effect,window0_top_dd,window1_n,window1_p,window1_effect,window1_top_dd,spearman_rho,consistent_with_prior_window
レイトギャップ,革命機ヴァルヴレイヴ2,hit104,1104.0,0.0091096953084504,0.1387906013611045,6.0,1235.0,0.5497156974049439,0.0,25.0,-0.0201295258701707,False
ヒロキ,北斗の拳 転生の章2,plus,905.0,0.0120842137511655,0.149020545731966,13.0,660.0,0.2531411961307113,0.084180781705817,12.0,-0.1949761550660667,False
みとや,モンキーターンV,plus,762.0,0.0128717376536622,0.1601348188951479,4.0,918.0,0.1026304014709114,0.1048634415963389,7.0,0.2268121716563866,False
レイトギャップ,戦国乙女4 戦乱に閃く炯眼の軍師,plus,306.0,0.0134384413704575,0.253275685241967,5.0,414.0,0.0482975448712908,0.1832385644667519,29.0,0.0229140649889287,False
レイトギャップ,革命機ヴァルヴレイヴ2,plus,1104.0,0.0146767023168283,0.1321559339525901,18.0,1235.0,0.8607147412414641,0.0,25.0,0.0010115361161372,False
蒲田7,新鬼武者3,hit104,626.0,0.0231708782307814,0.1649664299309214,28.0,1328.0,0.0523787576344265,0.1009585469209216,1.0,0.0509532914497788,False
蒲田7,ジャグラーガールズ,plus,783.0,0.0236880016191185,0.1471015185602385,7.0,794.0,0.4868077963430969,0.0,30.0,0.1272443221758881,False
楽園,沖ドキ!BLACK,hit104,748.0,0.0239697927349557,0.1514148000491826,24.0,529.0,0.7618619511853764,0.0,17.0,-0.206882641432249,False
みとや,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,plus,252.0,0.0248784706334518,0.2573882753348244,4.0,320.0,0.0588639907906226,0.2009659783505915,27.0,0.2994800877907822,False
ARROW,スマスロ北斗の拳,hit104,1201.0,0.0264690431827493,0.1179665322362673,24.0,1710.0,0.005265236958034,0.1171425986463581,29.0,0.1776881096960236,False
蒲田7,甲鉄城のカバネリ,hit104,501.0,0.0266343630536187,0.181025206574193,1.0,521.0,0.2813191929821177,0.0869367975591691,1.0,0.1188109415374351,False
みとや,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,hit104,252.0,0.0270946519099984,0.2544570121074251,4.0,320.0,0.0043747210600046,0.2748577919657406,27.0,-0.0636592968827753,False
ヒロキ,北斗の拳 転生の章2,hit104,905.0,0.0277811757256075,0.1349941062518599,13.0,660.0,0.4789775753065906,0.0,12.0,0.1845388949445829,False
蒲田7,革命機ヴァルヴレイヴ,hit104,426.0,0.0280627426096491,0.194894192073661,13.0,477.0,0.9966165999743256,0.0,19.0,-0.0590682587485155,False
ザシティ,ファンキージャグラー2,plus,356.0,0.0285021851377995,0.2143269209348509,8.0,278.0,0.9711679344453172,0.0,20.0,0.1156881771387108,False
レイトギャップ,戦国乙女4 戦乱に閃く炯眼の軍師,hit104,306.0,0.0286242984172016,0.2309934840999242,5.0,414.0,0.1434198692554028,0.1407180488294651,18.0,-0.0404818621896303,False
楽園,東京リベンジャーズ,plus,536.0,0.0313089673657585,0.1724464045230014,31.0,1129.0,0.1159459263000714,0.0914047781835826,4.0,-0.2045202560736612,False
楽園,からくりサーカス,plus,302.0,0.0371029733498759,0.2238660496955347,16.0,338.0,0.42309901961732,0.0473358344907429,11.0,-0.3522485045050066,False
みとや,ゴーゴージャグラー3,hit104,950.0,0.0375218403948557,0.1251682390638266,28.0,985.0,0.6327324055128374,0.0,25.0,0.2859069526031912,False
ARROW,ゴッドイーター リザレクション,plus,409.0,0.0381086088647223,0.1916551512259382,14.0,441.0,0.3316273065200267,0.0786839681285697,24.0,0.2920237610320368,False
楽園,沖ドキ!BLACK,plus,748.0,0.0386805563246696,0.1414703161619482,1.0,529.0,0.7856739354623506,0.0,13.0,-0.0715658153514618,False
蒲田7,甲鉄城のカバネリ,plus,501.0,0.0390194842743755,0.171233814002277,1.0,521.0,0.0427712679780992,0.1667600202824497,1.0,0.0384916660379886,False
蒲田7,この素晴らしい世界に祝福を！,plus,235.0,0.0391513531250006,0.2496083802032264,23.0,210.0,0.3797725454984067,0.0873673238067074,6.0,-0.1472382828453185,False
蒲田7,痛いのは嫌なので防御力に極振りしたいと思います。,plus,685.0,0.0391749955884435,0.1463879376016807,1.0,702.0,0.0730207191724569,0.1300473090250243,23.0,-0.0854204277301839,False
レイトギャップ,ハッピージャグラーVIII,plus,529.0,0.0403767145702275,0.1670421582803608,16.0,531.0,0.1865100873592071,0.1118295876630048,3.0,-0.0664636103972707,False
楽園,ハッピージャグラーVIII,plus,798.0,0.0405483133979097,0.135957348990218,5.0,823.0,0.5805741561956068,0.0,15.0,-0.3737089216517309,False
楽園,沖ドキ!DUO アンコール,hit104,329.0,0.0405736111789802,0.2115234358152806,12.0,213.0,0.7080717834174007,0.0,9.0,0.1522074136296438,False
蒲田7,アズールレーン THE ANIMATION,hit104,597.0,0.0422097193224273,0.1549276881083961,24.0,706.0,0.1323292085726988,0.1108878131375355,11.0,0.081365788393356,False
蒲田7,アズールレーン THE ANIMATION,plus,597.0,0.0434428658047997,0.15419847830503,24.0,706.0,0.1692991566628809,0.1012770091235401,11.0,-0.1877614009841905,False
楽園,東京リベンジャーズ,hit104,536.0,0.0444864358274409,0.1633525807892588,31.0,1129.0,0.5595743219406178,0.0,9.0,-0.2271717913427049,False
蒲田7,ウルトラミラクルジャグラー,hit104,439.0,0.045198358182498,0.1785793364402609,5.0,449.0,0.0699475798621649,0.1640005477541129,14.0,0.2305752982864864,False
蒲田7,いざ！番長,plus,509.0,0.0455578402222532,0.1656528029708207,17.0,839.0,0.1682663179148235,0.0931720050534951,3.0,-0.3573283552159786,False
蒲田7,シャーマンキング,hit104,348.0,0.0475631041051112,0.1987747931274479,30.0,294.0,0.7713175503156238,0.0,12.0,-0.0501028219982332,False
金時,ジャグラーガールズ,hit104,258.0,0.0477391050640546,0.2323861085212323,5.0,257.0,0.1478341294319617,0.1763109844086283,11.0,0.1336664197909381,False
蒲田7,新ハナビ,hit104,654.0,0.0485502765312564,0.1445927294246026,9.0,718.0,0.6889563799499561,0.0,10.0,0.123051470770986,False
楽園,ハッピージャグラーVIII,hit104,798.0,0.0486313905574199,0.1319143226040192,5.0,823.0,0.9336385748885906,0.0,18.0,-0.0315225271101389,False
ヒロキ,マギアレコード 魔法少女まどか☆マギカ外伝,hit104,360.0,0.0490686925474831,0.1959196753812993,29.0,367.0,0.29481600797172,0.0988113674597984,19.0,0.2713650641820121,False
