hall,weekday,category,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual
金時,土,bt,14,10,4,0.7142857142857143,1.465118835266405,1.324828933633313
金時,土,jug,9,4,5,0.4444444444444444,-0.9238942131881688,-0.15317852235780194
金時,土,oki,2,0,2,0.0,-0.7842928039941732,-0.7842928039941732
金時,土,other,50,24,26,0.48,-0.7523944437104845,-0.23220937414679987
金時,日,bt,14,3,11,0.21428571428571427,-2.775477540084463,-2.9923803694813724
金時,日,jug,9,3,6,0.3333333333333333,-1.5071053171355844,-1.1355860104681028
金時,日,oki,2,1,1,0.5,-0.18537563818978953,-0.18537563818978953
金時,日,other,50,23,27,0.46,-1.2957229314244905,-0.3674261453746652
金時,月,bt,14,5,9,0.35714285714285715,-0.29136569004867496,-1.5622214768578928
金時,月,jug,9,4,5,0.4444444444444444,-0.1069730858421028,-0.39031573027887845
金時,月,oki,2,0,2,0.0,-2.3489285164693534,-2.3489285164693534
金時,月,other,50,23,27,0.46,0.15218413340247644,-0.5489584476286602
金時,木,bt,14,11,3,0.7857142857142857,3.772151900520506,4.076072340997712
金時,木,jug,9,5,4,0.5555555555555556,0.5057783317480771,0.41615817898590635
金時,木,oki,2,1,1,0.5,1.267427873003335,1.267427873003335
金時,木,other,50,26,24,0.52,0.19885817486893076,0.1381752719283611
金時,水,bt,14,10,4,0.7142857142857143,3.769775036606969,4.290355946521288
金時,水,jug,9,6,3,0.6666666666666666,0.9575400119267073,1.4258635269292164
金時,水,oki,2,1,1,0.5,-1.3429657623090243,-1.3429657623090243
金時,水,other,50,26,24,0.52,0.5723687726632448,0.2539650762265335
金時,火,bt,14,4,10,0.2857142857142857,-2.833788078048348,-2.785418647337986
金時,火,jug,9,5,4,0.5555555555555556,-0.37164894859577774,0.0941317072857295
金時,火,oki,2,2,0,1.0,7.746150672889502,7.746150672889502
金時,火,other,50,29,21,0.58,1.8228437277364957,0.9784812140570551
金時,金,bt,14,6,8,0.42857142857142855,-2.633600590389105,-2.186374968129094
金時,金,jug,9,7,2,0.7777777777777778,1.6234743517278138,0.5094847475006397
金時,金,oki,2,1,1,0.5,-4.307701068462238,-4.307701068462238
金時,金,other,50,23,27,0.46,0.26444156199921937,-0.27367503366249935
