hall,weekday,category,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual
みとや,土,bt,16,8,8,0.5,-0.5471139996959102,0.14814755443682692
みとや,土,hana,1,0,1,0.0,-14.123376623376625,-14.123376623376625
みとや,土,jug,8,8,0,1.0,1.5069513388721796,1.7729533798042922
みとや,土,oki,3,2,1,0.6666666666666666,1.186873096479399,0.39447731755423376
みとや,土,other,65,45,20,0.6923076923076923,2.403009570601603,1.8540237055520947
みとや,日,bt,16,6,10,0.375,-3.855707181524435,-3.0846831064328892
みとや,日,hana,1,1,0,1.0,7.305194805194802,7.305194805194802
みとや,日,jug,8,3,5,0.375,-0.6079263227744769,-0.4290574807586385
みとや,日,oki,3,2,1,0.6666666666666666,-1.3266489481354178,1.1518660059195156
みとや,日,other,65,32,33,0.49230769230769234,-0.20012076482586927,-0.22504091653027913
みとや,月,bt,16,7,9,0.4375,0.6008364597791402,-1.7087387429938872
みとや,月,hana,1,1,0,1.0,5.047782406272969,5.047782406272969
みとや,月,jug,8,5,3,0.625,0.270566096407618,0.6084124245198907
みとや,月,oki,3,1,2,0.3333333333333333,-1.8485937115450461,-1.1811622366042016
みとや,月,other,65,24,41,0.36923076923076925,-0.8947379103567995,-1.1521874745721306
みとや,木,bt,16,10,6,0.625,-1.2032042770791325,0.9336211915578723
みとや,木,hana,1,0,1,0.0,-3.40909090909091,-3.40909090909091
みとや,木,jug,8,4,4,0.5,-0.5663202532435849,-0.1455863436405025
みとや,木,oki,3,2,1,0.6666666666666666,-0.535674631493233,0.3214775359692368
みとや,木,other,65,28,37,0.4307692307692308,-0.9607134203458405,-1.1154094132817534
みとや,水,bt,16,8,8,0.5,2.198491463582114,0.5417298471162422
みとや,水,hana,1,1,0,1.0,1.5721120984278834,1.5721120984278834
みとや,水,jug,8,4,4,0.5,-0.2983345683287508,0.007535065728585977
みとや,水,oki,3,2,1,0.6666666666666666,-0.8577105891670259,0.21926831991465434
みとや,水,other,65,26,39,0.4,-1.8275799538036293,-0.7713038799545586
みとや,火,bt,16,10,6,0.625,1.8961742740678553,2.5215649695654196
みとや,火,hana,1,0,1,0.0,-1.2987012987012996,-1.2987012987012996
みとや,火,jug,8,4,4,0.5,0.5883036468163576,-0.07307011234089877
みとや,火,oki,3,2,1,0.6666666666666666,1.1894682071354292,3.692264052823173
みとや,火,other,65,32,33,0.49230769230769234,0.8927920210725366,-0.07518796992480858
みとや,金,bt,16,11,5,0.6875,0.7039227307717326,1.8695852731598812
みとや,金,hana,1,1,0,1.0,5.519480519480517,5.519480519480517
みとや,金,jug,8,2,6,0.25,-0.8868658263818769,-1.430648198475108
みとや,金,oki,3,2,1,0.6666666666666666,2.322096033577735,3.77000474371458
みとや,金,other,65,31,34,0.47692307692307695,0.7543761533566242,-0.4975124378109541
