hall,weekday,dominant_category,dominant_category_share_of_majority,n_machines_excl_dominant,n_positive_excl_dominant,agreement_rate_excl_dominant,p_value_excl_dominant,signal_survives_without_dominant_category,note
楽園,日,other,0.712,47,11,0.23404255319148937,0.00034600114031491097,True,
楽園,月,other,0.75,47,27,0.574468085106383,0.38169339766321275,False,
