hall,weekday,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual,p_value,cohens_h,note,q_value,is_significant,weekday_event_coverage_rate,is_known_weekend_day,pooled_n,pooled_hit104_rate,pooled_diff,hall_overall_hit104_rate,hall_overall_diff,pooled_hit104_rate_vs_hall,pooled_diff_vs_hall
みとや,土,93,63,30,0.6774193548387096,1.6014478652796627,1.5416666666666714,0.0008100087738623599,0.3627415452319691,,0.00567006141703652,True,1.0,True,18743,30.11257536146828,53.99797257642853,28.70804663381031,29.74360134282517,1.404528727657972,24.25437123360336
みとや,日,93,44,49,0.4731182795698925,-0.819756206876126,-0.3322259136212651,0.6785320136533244,-0.05378937521344107,,0.9499448191146541,False,1.0,True,18705,28.650093557872225,5.257257417802727,28.70804663381031,29.74360134282517,-0.05795307593808374,-24.486343925022442
みとや,月,93,38,55,0.40860215053763443,-0.5040650620841608,-1.129032258064516,0.09656519729770463,-0.18382931490649979,,0.3379781905419662,False,0.0,False,17679,28.316081226313706,36.203744555687535,28.70804663381031,29.74360134282517,-0.3919654074966026,6.460143212862366
みとや,木,93,44,49,0.4731182795698925,-0.9811216944652158,-0.6363667776229249,0.6785320136533244,-0.05378937521344107,,0.9499448191146541,False,0.0,False,17556,28.178400546821596,23.66911597174755,28.70804663381031,29.74360134282517,-0.5296460869887127,-6.074485371077618
みとや,水,93,41,52,0.44086021505376344,-0.9355325784475839,-0.497512437810947,0.29973169689703,-0.11855711037801808,,0.6993739594264033,False,0.0,False,17892,27.883970489604295,4.9699865861837695,28.70804663381031,29.74360134282517,-0.824076144206014,-24.7736147566414
みとや,火,93,48,45,0.5161290322580645,1.025230131742327,0.3954802259886989,0.8358461346314864,0.03226366166824701,,0.9751538237367342,False,0.0,False,17598,29.162404818729403,49.53949312421866,28.70804663381031,29.74360134282517,0.4543581849190943,19.79589178139349
みとや,金,93,47,46,0.5053763440860215,0.7063231792439464,0.07201241980435213,1.0,0.010752895387668326,,1.0,False,0.0,False,17830,28.581043185642173,34.83241727425687,28.70804663381031,29.74360134282517,-0.1270034481681357,5.0888159314317
蒲田7,土,100,60,40,0.6,-0.16840181731226728,1.0140421097844161,0.05688793364098079,0.20135792079033066,,0.09955388387171639,False,1.0,True,34430,33.83096137089747,229.51205344176591,32.50792660302898,218.47109319661348,1.3230347678684922,11.040960245152434
蒲田7,日,100,64,36,0.64,1.851091886166961,1.0332576167324206,0.006637120515926128,0.2837941092083278,,0.042115415038772176,True,1.0,True,33053,33.28290926693492,199.88805857259553,32.50792660302898,218.47109319661348,0.774982663905945,-18.583034624017955
蒲田7,月,100,52,48,0.52,-0.07852120857039971,0.10937253294297022,0.7643534344026676,0.04001067435398897,,0.7643534344026676,False,0.0,False,34124,32.68374164810691,241.79463134450828,32.50792660302898,218.47109319661348,0.17581504507793255,23.323538147894794
蒲田7,木,100,44,56,0.44,-0.22706974515399947,-0.39722875287463033,0.2712530240738349,-0.12028988239478822,,0.37975423370336886,False,0.0,False,33432,32.106963388370424,220.1184493898062,32.50792660302898,218.47109319661348,-0.4009632146585531,1.6473561931927065
蒲田7,水,100,38,62,0.38,-0.6871291560442567,-0.751270893855807,0.02097873567785172,-0.24236585103896346,,0.048950383248320684,True,0.0,False,34628,32.04343305995148,216.76677832967542,32.50792660302898,218.47109319661348,-0.464493543077495,-1.7043148669380628
蒲田7,火,100,55,45,0.55,0.5297806636561178,0.25834159913554444,0.3682016173266958,0.10016742116155974,,0.4295685535478118,False,0.0,False,34202,32.19402374130168,243.30740892345477,32.50792660302898,218.47109319661348,-0.31390286172729986,24.836315726841292
