hall,weekday,category,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual
蒲田7,土,bt,21,7,14,0.3333333333333333,-2.7183843374167243,-3.871991009925356
蒲田7,土,hana,2,2,0,1.0,3.785814689223038,3.785814689223038
蒲田7,土,jug,9,7,2,0.7777777777777778,-0.45509688273098603,0.40466574915957665
蒲田7,土,oki,2,1,1,0.5,1.594867554849566,1.594867554849566
蒲田7,土,other,66,43,23,0.6515151515151515,0.5087938910751234,1.4838163461109524
蒲田7,日,bt,21,13,8,0.6190476190476191,1.2434499637245309,0.8788661034713954
蒲田7,日,hana,2,0,2,0.0,-3.016906399212335,-3.016906399212335
蒲田7,日,jug,9,5,4,0.5555555555555556,0.9342077910660195,1.261046474664628
蒲田7,日,oki,2,1,1,0.5,1.5863746133190038,1.5863746133190038
蒲田7,日,other,66,45,21,0.6818181818181818,2.324998982282931,1.2053482118291576
蒲田7,月,bt,21,9,12,0.42857142857142855,-0.9266296631513198,-0.690852368158815
蒲田7,月,hana,2,2,0,1.0,2.2216652487132595,2.2216652487132595
蒲田7,月,jug,9,5,4,0.5555555555555556,-0.20341795981015348,0.07216750408659678
蒲田7,月,oki,2,1,1,0.5,-0.17835807804573278,-0.17835807804573278
蒲田7,月,other,66,35,31,0.5303030303030303,0.14168559645597087,0.30091061732788305
蒲田7,木,bt,21,8,13,0.38095238095238093,0.061342257894498264,-0.5844088203706157
蒲田7,木,hana,2,0,2,0.0,-2.212001308592958,-2.212001308592958
蒲田7,木,jug,9,6,3,0.6666666666666666,0.7685288421522287,0.9636627326170384
蒲田7,木,oki,2,2,0,1.0,0.5572563791990088,0.5572563791990088
蒲田7,木,other,66,28,38,0.42424242424242425,-0.41821866139040254,-0.39722875287463033
蒲田7,水,bt,21,9,12,0.42857142857142855,0.0705836592418212,-0.45473508552357345
蒲田7,水,hana,2,1,1,0.5,-0.4091363108794539,-0.4091363108794539
蒲田7,水,jug,9,3,6,0.3333333333333333,-0.21210827423069864,-0.6294043917220868
蒲田7,水,oki,2,1,1,0.5,-1.6390519209310597,-1.6390519209310597
蒲田7,水,other,66,24,42,0.36363636363636365,-0.9725730532849487,-0.8212695202393441
蒲田7,火,bt,21,14,7,0.6666666666666666,2.4773644335604534,3.1179254990738805
蒲田7,火,hana,2,2,0,1.0,3.2388649856468295,3.2388649856468295
蒲田7,火,jug,9,5,4,0.5555555555555556,0.35369471979512845,0.24764346317175523
蒲田7,火,oki,2,0,2,0.0,-1.0035251263302243,-1.0035251263302243
蒲田7,火,other,66,34,32,0.5151515151515151,-0.10152301418101685,0.11308335080953213
蒲田7,金,bt,21,11,10,0.5238095238095238,-0.20848662036535343,0.4732369885289245
蒲田7,金,hana,2,1,1,0.5,-2.9213321561147616,-2.9213321561147616
蒲田7,金,jug,9,2,7,0.2222222222222222,-1.1665463566777197,-0.469627989007833
蒲田7,金,oki,2,1,1,0.5,-0.9044851587026468,-0.9044851587026468
蒲田7,金,other,66,22,44,0.3333333333333333,-1.9575066350873482,-1.7131334988498335
