hall,weekday,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual,p_value,cohens_h,note,q_value,is_significant,weekday_event_coverage_rate,is_known_weekend_day,pooled_n,pooled_hit104_rate,pooled_diff,hall_overall_hit104_rate,hall_overall_diff,pooled_hit104_rate_vs_hall,pooled_diff_vs_hall
ヒロキ,土,113,52,61,0.46017699115044247,-0.6816822435743597,-0.5747126436781542,0.4518532686657418,-0.07973046457611699,,0.7907432201650483,False,1.0,True,19639,27.15515046590967,-23.19792250114568,27.244816271234157,-31.566748480289956,-0.08966580532448631,8.368825979144276
ヒロキ,日,113,48,65,0.4247787610619469,-0.3845509558534076,-1.1694024246325476,0.13192429082426047,-0.15101582934711155,,0.46173501788491167,False,1.0,True,19175,26.889178617992176,-32.44276401564537,27.244816271234157,-31.566748480289956,-0.35563765324198116,-0.8760155353554175
ヒロキ,月,113,58,55,0.5132743362831859,-0.28959319879578554,0.15397644160443846,0.8508699225134506,0.026551792281696907,,0.8508699225134506,False,0.0,False,15573,26.96975534579079,-38.067231747254866,27.244816271234157,-31.566748480289956,-0.27506092544336624,-6.50048326696491
ヒロキ,木,113,59,54,0.5221238938053098,0.16583669819526645,0.19038294168842285,0.7068822614919525,0.04426223889144776,,0.8246959717406114,False,0.0,False,14577,27.721753447211363,-21.664814433696918,27.244816271234157,-31.566748480289956,0.47693717597720564,9.901934046593038
ヒロキ,水,113,62,51,0.5486725663716814,0.17049035183086325,0.4003120762357639,0.34689310509533466,0.0974995336831419,,0.7907432201650483,False,0.0,False,14816,27.591792656587472,-21.606573974082075,27.244816271234157,-31.566748480289956,0.3469763853533152,9.960174506207881
ヒロキ,火,113,65,48,0.5752212389380531,1.2577658652071564,0.7587062102135569,0.13192429082426047,0.15101582934711133,,0.46173501788491167,False,0.0,False,14569,27.43496465097124,-33.322671425629764,27.244816271234157,-31.566748480289956,0.19014837973708154,-1.7559229453398082
ヒロキ,金,113,60,53,0.5309734513274337,0.5742529737150905,0.1335078873349005,0.5726564757939477,0.06198659059540845,,0.8017190661115268,False,0.0,False,15324,27.11433046202036,-51.969655442443226,27.244816271234157,-31.566748480289956,-0.13048580921379838,-20.40290696215327
