hall,machine_name,weekday,n,hit104_rate,baseline_hit104_rate,residual,category
レイトギャップ, サラリーマン金太郎,月,38,26.31578947368421,28.825622775800714,-2.5098333021165047,other
レイトギャップ, サラリーマン金太郎,火,39,28.205128205128204,28.825622775800714,-0.6204945706725091,other
レイトギャップ, サラリーマン金太郎,水,38,31.57894736842105,28.825622775800714,2.753324592620338,other
レイトギャップ, サラリーマン金太郎,木,33,15.151515151515152,28.825622775800714,-13.674107624285561,other
レイトギャップ, サラリーマン金太郎,金,41,31.70731707317073,28.825622775800714,2.881694297370018,other
レイトギャップ, サラリーマン金太郎,土,46,39.130434782608695,28.825622775800714,10.304812006807982,other
レイトギャップ, サラリーマン金太郎,日,46,26.08695652173913,28.825622775800714,-2.7386662540615845,other
レイトギャップ,HEY！エリートサラリーマン鏡,月,91,31.868131868131865,32.69230769230769,-0.8241758241758284,other
レイトギャップ,HEY！エリートサラリーマン鏡,火,83,36.144578313253014,32.69230769230769,3.4522706209453204,other
レイトギャップ,HEY！エリートサラリーマン鏡,水,83,30.120481927710845,32.69230769230769,-2.5718257645968485,other
レイトギャップ,HEY！エリートサラリーマン鏡,木,81,29.629629629629626,32.69230769230769,-3.062678062678067,other
レイトギャップ,HEY！エリートサラリーマン鏡,金,84,34.523809523809526,32.69230769230769,1.831501831501832,other
レイトギャップ,HEY！エリートサラリーマン鏡,土,98,34.69387755102041,32.69230769230769,2.0015698587127133,other
レイトギャップ,HEY！エリートサラリーマン鏡,日,104,31.73076923076923,32.69230769230769,-0.9615384615384635,other
レイトギャップ,Re:ゼロから始める異世界生活 season2,月,19,21.052631578947366,30.102040816326532,-9.049409237379166,other
レイトギャップ,Re:ゼロから始める異世界生活 season2,火,24,29.166666666666668,30.102040816326532,-0.9353741496598644,other
レイトギャップ,Re:ゼロから始める異世界生活 season2,水,21,38.095238095238095,30.102040816326532,7.993197278911563,other
レイトギャップ,Re:ゼロから始める異世界生活 season2,木,29,44.827586206896555,30.102040816326532,14.725545390570023,other
レイトギャップ,Re:ゼロから始める異世界生活 season2,金,35,37.142857142857146,30.102040816326532,7.040816326530614,other
レイトギャップ,Re:ゼロから始める異世界生活 season2,土,39,23.076923076923077,30.102040816326532,-7.025117739403456,other
レイトギャップ,Re:ゼロから始める異世界生活 season2,日,29,17.24137931034483,30.102040816326532,-12.860661505981703,other
レイトギャップ,SHAKE BONUS TRIGGER,月,32,40.625,33.63636363636363,6.988636363636367,bt
レイトギャップ,SHAKE BONUS TRIGGER,火,32,31.25,33.63636363636363,-2.386363636363633,bt
レイトギャップ,SHAKE BONUS TRIGGER,水,31,29.03225806451613,33.63636363636363,-4.6041055718475015,bt
レイトギャップ,SHAKE BONUS TRIGGER,木,30,20.0,33.63636363636363,-13.636363636363633,bt
レイトギャップ,SHAKE BONUS TRIGGER,金,31,29.03225806451613,33.63636363636363,-4.6041055718475015,bt
レイトギャップ,SHAKE BONUS TRIGGER,土,32,53.125,33.63636363636363,19.488636363636367,bt
レイトギャップ,SHAKE BONUS TRIGGER,日,32,31.25,33.63636363636363,-2.386363636363633,bt
レイトギャップ,Sister Quest,月,40,40.0,30.37974683544304,9.62025316455696,other
レイトギャップ,Sister Quest,火,41,39.02439024390244,30.37974683544304,8.644643408459398,other
レイトギャップ,Sister Quest,水,40,22.5,30.37974683544304,-7.87974683544304,other
レイトギャップ,Sister Quest,木,45,22.22222222222222,30.37974683544304,-8.157524613220819,other
レイトギャップ,Sister Quest,金,45,17.77777777777778,30.37974683544304,-12.601969057665261,other
レイトギャップ,Sister Quest,土,51,43.13725490196079,30.37974683544304,12.757508066517747,other
レイトギャップ,Sister Quest,日,54,27.77777777777778,30.37974683544304,-2.6019690576652614,other
