hall,weekday,dominant_category,dominant_category_share_of_majority,n_machines_excl_dominant,n_positive_excl_dominant,agreement_rate_excl_dominant,p_value_excl_dominant,signal_survives_without_dominant_category,note
蒲田7,日,other,0.703125,34,19,0.5588235294117647,0.6075913612730801,False,
蒲田7,水,other,0.6774193548387096,34,14,0.4117647058823529,0.39152830513194203,False,
蒲田7,金,other,0.6984126984126984,34,15,0.4411764705882353,0.6075913612730801,False,
