date,machine_number,machine_name,last_digit,is_zorome,games_normalized,diff_coins_normalized,date_dt,floor,section,section_min,section_max,rank_from_min,rank_from_max,section_size,section_size_group,lr,kakuban_old,kakuban_new,seg,hist_threshold,payout_rate,hit_flag,hist_metric,hist_n,rank_in_section,hist_metric_pct,kakuban
20260625,2047,甲鉄城のカバネリ 海門(うなと)決戦,7,0,4753,200,2026-06-25,2F,2041-2052,2041,2052,7,6,12,medium,L,7,6,N,106.0,101.40262290483204,False,0.47058823529411764,68,1,47.05882352941176,6
20260625,2050,甲鉄城のカバネリ 海門(うなと)決戦,0,0,3789,-900,2026-06-25,2F,2041-2052,2041,2052,10,3,12,medium,L,10,3,N,106.0,92.08234362628662,False,0.43037974683544306,79,2,43.037974683544306,3
20260625,2049,甲鉄城のカバネリ 海門(うなと)決戦,9,0,4297,-1700,2026-06-25,2F,2041-2052,2041,2052,9,4,12,medium,L,9,4,N,106.0,86.8125048483438,False,0.379746835443038,79,3,37.9746835443038,4
20260625,2046,甲鉄城のカバネリ 海門(うなと)決戦,6,0,1658,500,2026-06-25,2F,2041-2052,2041,2052,6,7,12,medium,R,6,7,N,106.0,110.05227181342983,True,0.3582089552238806,67,4,35.82089552238806,7
20260625,2045,甲鉄城のカバネリ 海門(うなと)決戦,5,0,3443,-3500,2026-06-25,2F,2041-2052,2041,2052,5,8,12,medium,R,5,8,N,106.0,66.11482234485429,False,0.3561643835616438,73,5,35.61643835616438,8
20260625,2068,戦国乙女5 業火を穿つ宿焔の双刃,8,0,5287,1100,2026-06-25,2F,2065-2076,2065,2076,4,9,12,medium,R,4,9,N,106.0,106.93524998423807,True,0.43661971830985913,71,1,43.66197183098591,9
20260625,2074,戦国乙女5 業火を穿つ宿焔の双刃,4,0,5651,-900,2026-06-25,2F,2065-2076,2065,2076,10,3,12,medium,L,10,3,N,106.0,94.69120509644311,False,0.4225352112676056,71,2,42.25352112676056,3
20260625,2066,戦国乙女5 業火を穿つ宿焔の双刃,6,1,5461,-4500,2026-06-25,2F,2065-2076,2065,2076,2,11,12,medium,R,2,11,N,106.0,72.53250320454129,False,0.410958904109589,73,3,41.0958904109589,11
20260625,2069,戦国乙女5 業火を穿つ宿焔の双刃,9,0,6136,-300,2026-06-25,2F,2065-2076,2065,2076,5,8,12,medium,R,5,8,N,106.0,98.3702737940026,False,0.3972602739726027,73,4,39.726027397260275,8
20260625,2075,戦国乙女5 業火を穿つ宿焔の双刃,5,0,5587,-200,2026-06-25,2F,2065-2076,2065,2076,11,2,12,medium,L,11,2,N,106.0,98.80675377364119,False,0.3888888888888889,72,5,38.88888888888889,2
20260625,2130,甲鉄城のカバネリ,0,0,5031,500,2026-06-25,2F,2129-2142,2129,2142,2,13,14,medium,L,2,2,N,106.0,103.31279401046842,False,0.5178571428571429,56,1,51.78571428571429,2
20260625,2133,甲鉄城のカバネリ,3,1,5866,2200,2026-06-25,2F,2129-2142,2129,2142,5,10,14,medium,L,5,5,N,106.0,112.5014206159791,True,0.40384615384615385,52,2,40.38461538461539,5
20260625,2132,甲鉄城のカバネリ,2,0,5846,-900,2026-06-25,2F,2129-2142,2129,2142,4,11,14,medium,L,4,4,N,106.0,94.86828600752652,False,0.38181818181818183,55,3,38.18181818181819,4
20260625,2129,甲鉄城のカバネリ,9,0,5553,2700,2026-06-25,2F,2129-2142,2129,2142,1,14,14,medium,L,1,1,N,106.0,116.20745542949757,True,0.375,64,4,37.5,1
20260625,2134,甲鉄城のカバネリ,4,0,4999,4200,2026-06-25,2F,2129-2142,2129,2142,6,9,14,medium,L,6,6,N,106.0,128.00560112022404,True,0.3709677419354839,62,5,37.096774193548384,6
20260625,2161,ディスクアップ ULTRAREMIX,1,0,2964,-1900,2026-06-25,2F,2155-2164,2155,2164,7,4,10,small,R,7,7,N,106.0,78.63247863247864,False,0.38666666666666666,75,1,38.666666666666664,7
20260625,2163,ディスクアップ ULTRAREMIX,3,0,6023,4300,2026-06-25,2F,2155-2164,2155,2164,9,2,10,small,R,9,9,N,106.0,123.79766450827383,True,0.38461538461538464,78,2,38.46153846153847,9
20260625,2155,ディスクアップ ULTRAREMIX,5,1,5067,-300,2026-06-25,2F,2155-2164,2155,2164,1,10,10,small,L,1,1,N,106.0,98.02644562857706,False,0.36046511627906974,86,3,36.04651162790697,1
20260625,2156,ディスクアップ ULTRAREMIX,6,0,2889,1500,2026-06-25,2F,2155-2164,2155,2164,2,9,10,small,L,2,2,N,106.0,117.30702665282105,True,0.35802469135802467,81,4,35.80246913580247,2
