variant,window,event_type,avg_diff,avg_diff_other,avg_diff_vs_other,win_rate,payout_rate,hit@10,hit@20,hit@50,lift@10,lift@20,lift@50,n_test_days
v4_kakuban_fix,90,all,127.41960784313726,123.79281833215214,3.6267895109851183,37.6,99.60543459240967,0.9647058823529412,1.8509803921568628,4.4980392156862745,1.3776000000000002,1.3216,1.2846400000000002,255
v4_kakuban_fix,90,event,184.5151515151515,157.91803577948158,26.597115735669956,40.696969696969695,100.63459763834486,0.9393939393939394,1.9242424242424243,4.53030303030303,1.3414545454545457,1.3739090909090912,1.2938545454545456,66
v4_kakuban_fix,90,non_event,107.48148148148148,111.87607573149742,-4.3945942500159365,36.51851851851852,99.24604432240054,0.9735449735449735,1.8253968253968254,4.4867724867724865,1.3902222222222222,1.3033333333333335,1.2814222222222222,189
v6a_hit_an,90,all,131.47450980392156,123.48747932908103,7.987030474840539,37.66274509803922,99.65137938369705,0.9529411764705882,1.8549019607843138,4.533333333333333,1.3608,1.3244000000000002,1.2947199999999999,255
v6a_hit_an,90,event,185.06060606060606,157.8769623950347,27.183643665571378,40.78787878787879,100.66720612909806,0.9393939393939394,1.9242424242424243,4.545454545454546,1.3414545454545457,1.3739090909090912,1.2981818181818183,66
v6a_hit_an,90,non_event,112.76190476190476,111.47845349652579,1.2834512653789765,36.57142857142857,99.2966462345094,0.9576719576719577,1.8306878306878307,4.529100529100529,1.3675555555555556,1.3071111111111113,1.293511111111111,189
v6b_seg_weights,90,all,114.19607843137256,124.78856602882118,-10.592487597448617,37.64705882352941,99.46439421642062,0.9215686274509803,1.8745098039215686,4.349019607843137,1.316,1.3384,1.24208,255
v6b_seg_weights,90,event,187.0909090909091,157.72407813070464,29.366830960204457,40.78787878787879,100.78672010165526,0.9696969696969697,2.0757575757575757,4.5606060606060606,1.3847272727272728,1.4820909090909093,1.3025090909090908,66
v6b_seg_weights,90,non_event,88.74074074074075,113.28727608848091,-24.546535347740168,36.55026455026455,99.00262962157676,0.9047619047619048,1.8042328042328042,4.275132275132275,1.292,1.2882222222222224,1.2209777777777777,189
v6c_short_window_30,90,all,113.92941176470588,124.8086463501063,-10.879234585400424,37.694117647058825,99.46717658635852,0.9215686274509803,1.8745098039215686,4.345098039215686,1.316,1.3384,1.2409599999999998,255
v6c_short_window_30,90,event,185.66666666666666,157.83132530120483,27.835341365461844,40.81818181818182,100.78002760580398,0.9696969696969697,2.0757575757575757,4.545454545454546,1.3847272727272728,1.4820909090909093,1.2981818181818183,66
v6c_short_window_30,90,non_event,88.87830687830687,113.27691719257983,-24.398610314272965,36.6031746031746,99.00872067480614,0.9047619047619048,1.8042328042328042,4.275132275132275,1.292,1.2882222222222224,1.2209777777777777,189
v6d_short_window_7,90,all,113.05098039215686,124.8747932908103,-11.823812898653438,37.67058823529412,99.46045217745407,0.9176470588235294,1.8705882352941177,4.349019607843137,1.3104000000000002,1.3356000000000001,1.24208,255
v6d_short_window_7,90,event,186.93939393939394,157.7354874041621,29.20390653523184,40.81818181818182,100.78828682017821,0.9696969696969697,2.0757575757575757,4.5606060606060606,1.3847272727272728,1.4820909090909093,1.3025090909090908,66
v6d_short_window_7,90,non_event,87.24867724867725,113.39963026710014,-26.1509530184229,36.57142857142857,98.99676388951866,0.8994708994708994,1.7989417989417988,4.275132275132275,1.2844444444444445,1.2844444444444445,1.2209777777777777,189
