test_date,window,segment,component,lift_topK,hits,topK,seg_size
2026-01-06,90,3F_R_N,c1,1.6406,5,16,84
2026-01-06,90,2F_L_N,c2,0.0,0,20,182
2026-01-06,90,2F_R_N,c2,0.845,2,20,169
2026-01-06,90,3F_L_A,c2,1.2875,5,20,103
2026-01-06,90,3F_L_N,c2,1.6406,5,16,84
2026-01-06,90,3F_R_A,c2,0.8611,3,18,93
2026-01-06,90,3F_R_N,c2,1.3125,4,16,84
2026-01-06,90,2F_L_N,c3,1.82,4,20,182
2026-01-06,90,2F_R_N,c3,0.4225,1,20,169
2026-01-06,90,3F_L_A,c3,2.06,8,20,103
2026-01-06,90,3F_L_N,c3,0.6562,2,16,84
2026-01-06,90,3F_R_A,c3,0.8611,3,18,93
2026-01-06,90,3F_R_N,c3,0.6562,2,16,84
2026-01-06,90,2F_L_N,c4,1.82,4,20,182
2026-01-06,90,2F_R_N,c4,0.4225,1,20,169
2026-01-06,90,3F_L_A,c4,1.8025,7,20,103
2026-01-06,90,3F_L_N,c4,0.6562,2,16,84
2026-01-06,90,3F_R_A,c4,0.5741,2,18,93
2026-01-06,90,3F_R_N,c4,1.6406,5,16,84
2026-01-06,90,2F_L_N,c5,2.73,6,20,182
2026-01-06,90,2F_R_N,c5,0.4225,1,20,169
2026-01-06,90,3F_L_A,c5,2.3175,9,20,103
2026-01-06,90,3F_L_N,c5,0.6562,2,16,84
2026-01-06,90,3F_R_A,c5,0.8611,3,18,93
2026-01-06,90,3F_R_N,c5,0.9844,3,16,84
2026-01-06,90,2F_L_N,c6,1.365,3,20,182
2026-01-06,90,2F_R_N,c6,0.845,2,20,169
2026-01-06,90,3F_L_A,c6,0.7725,3,20,103
2026-01-06,90,3F_L_N,c6,0.9844,3,16,84
2026-01-06,90,3F_R_A,c6,0.287,1,18,93
2026-01-06,90,3F_R_N,c6,0.9844,3,16,84
2026-01-06,90,2F_L_N,hist_diff,2.275,5,20,182
2026-01-06,90,2F_R_N,hist_diff,0.0,0,20,169
2026-01-06,90,3F_L_A,hist_diff,1.2875,5,20,103
2026-01-06,90,3F_L_N,hist_diff,0.3281,1,16,84
2026-01-06,90,3F_R_A,hist_diff,1.1481,4,18,93
2026-01-06,90,3F_R_N,hist_diff,1.3125,4,16,84
2026-01-06,90,2F_L_N,hist_payout,1.82,4,20,182
2026-01-06,90,2F_R_N,hist_payout,0.4225,1,20,169
2026-01-06,90,3F_L_A,hist_payout,1.545,6,20,103
2026-01-06,90,3F_L_N,hist_payout,0.6562,2,16,84
2026-01-06,90,3F_R_A,hist_payout,0.5741,2,18,93
2026-01-06,90,3F_R_N,hist_payout,0.9844,3,16,84
2026-01-06,90,2F_L_N,hist_winrate,1.365,3,20,182
2026-01-06,90,2F_R_N,hist_winrate,0.4225,1,20,169
2026-01-06,90,3F_L_A,hist_winrate,0.7725,3,20,103
2026-01-06,90,3F_L_N,hist_winrate,1.3125,4,16,84
2026-01-06,90,3F_R_A,hist_winrate,0.5741,2,18,93
2026-01-06,90,3F_R_N,hist_winrate,0.6562,2,16,84
2026-01-06,90,2F_L_N,hist_hit104,0.91,2,20,182
2026-01-06,90,2F_R_N,hist_hit104,1.2675,3,20,169
2026-01-06,90,3F_L_A,hist_hit104,0.7725,3,20,103
2026-01-06,90,3F_L_N,hist_hit104,1.6406,5,16,84
2026-01-06,90,3F_R_A,hist_hit104,0.5741,2,18,93
2026-01-06,90,3F_R_N,hist_hit104,0.9844,3,16,84
2026-01-07,90,2F_L_N,c1,1.82,4,20,182
2026-01-07,90,2F_R_N,c1,0.845,2,20,169
2026-01-07,90,3F_L_A,c1,1.03,4,20,103
2026-01-07,90,3F_L_N,c1,0.9844,3,16,84
2026-01-07,90,3F_R_A,c1,1.1481,4,18,93
2026-01-07,90,3F_R_N,c1,1.3125,4,16,84
2026-01-07,90,2F_L_N,c2,1.365,3,20,182
2026-01-07,90,2F_R_N,c2,1.69,4,20,169
2026-01-07,90,3F_L_A,c2,0.7725,3,20,103
2026-01-07,90,3F_L_N,c2,0.6562,2,16,84
2026-01-07,90,3F_R_A,c2,1.1481,4,18,93
2026-01-07,90,3F_R_N,c2,0.6562,2,16,84
2026-01-07,90,2F_L_N,c3,1.82,4,20,182
2026-01-07,90,2F_R_N,c3,0.4225,1,20,169
2026-01-07,90,3F_L_A,c3,1.2875,5,20,103
2026-01-07,90,3F_L_N,c3,1.3125,4,16,84
2026-01-07,90,3F_R_A,c3,1.1481,4,18,93
2026-01-07,90,3F_R_N,c3,0.3281,1,16,84
2026-01-07,90,2F_L_N,c4,1.82,4,20,182
2026-01-07,90,2F_R_N,c4,0.4225,1,20,169
2026-01-07,90,3F_L_A,c4,1.2875,5,20,103
2026-01-07,90,3F_L_N,c4,0.9844,3,16,84
2026-01-07,90,3F_R_A,c4,1.1481,4,18,93
2026-01-07,90,3F_R_N,c4,1.3125,4,16,84
2026-01-07,90,2F_L_N,c5,1.365,3,20,182
2026-01-07,90,2F_R_N,c5,0.4225,1,20,169
2026-01-07,90,3F_L_A,c5,1.03,4,20,103
2026-01-07,90,3F_L_N,c5,0.3281,1,16,84
2026-01-07,90,3F_R_A,c5,1.1481,4,18,93
2026-01-07,90,3F_R_N,c5,1.6406,5,16,84
2026-01-07,90,2F_L_N,c6,0.91,2,20,182
2026-01-07,90,2F_R_N,c6,0.845,2,20,169
2026-01-07,90,3F_L_A,c6,0.7725,3,20,103
2026-01-07,90,3F_L_N,c6,0.9844,3,16,84
2026-01-07,90,3F_R_A,c6,1.1481,4,18,93
2026-01-07,90,3F_R_N,c6,0.6562,2,16,84
2026-01-07,90,2F_L_N,hist_diff,1.365,3,20,182
2026-01-07,90,2F_R_N,hist_diff,0.4225,1,20,169
2026-01-07,90,3F_L_A,hist_diff,0.7725,3,20,103
2026-01-07,90,3F_L_N,hist_diff,0.9844,3,16,84
2026-01-07,90,3F_R_A,hist_diff,1.4352,5,18,93
2026-01-07,90,3F_R_N,hist_diff,0.9844,3,16,84
2026-01-07,90,2F_L_N,hist_payout,0.455,1,20,182
2026-01-07,90,2F_R_N,hist_payout,1.2675,3,20,169
2026-01-07,90,3F_L_A,hist_payout,0.515,2,20,103
2026-01-07,90,3F_L_N,hist_payout,1.3125,4,16,84
2026-01-07,90,3F_R_A,hist_payout,1.1481,4,18,93
2026-01-07,90,3F_R_N,hist_payout,1.3125,4,16,84
2026-01-07,90,2F_L_N,hist_winrate,0.455,1,20,182
2026-01-07,90,2F_R_N,hist_winrate,1.2675,3,20,169
2026-01-07,90,3F_L_A,hist_winrate,1.03,4,20,103
2026-01-07,90,3F_L_N,hist_winrate,0.9844,3,16,84
2026-01-07,90,3F_R_A,hist_winrate,1.7222,6,18,93
2026-01-07,90,3F_R_N,hist_winrate,0.6562,2,16,84
2026-01-07,90,2F_L_N,hist_hit104,0.455,1,20,182
2026-01-07,90,2F_R_N,hist_hit104,0.845,2,20,169
2026-01-07,90,3F_L_A,hist_hit104,1.03,4,20,103
2026-01-07,90,3F_L_N,hist_hit104,1.6406,5,16,84
2026-01-07,90,3F_R_A,hist_hit104,1.1481,4,18,93
2026-01-07,90,3F_R_N,hist_hit104,1.3125,4,16,84
2026-01-08,90,2F_L_N,c1,1.365,3,20,182
2026-01-08,90,2F_R_N,c1,1.69,4,20,169
2026-01-08,90,3F_L_A,c1,2.06,8,20,103
2026-01-08,90,3F_L_N,c1,0.9844,3,16,84
2026-01-08,90,3F_R_A,c1,1.1481,4,18,93
2026-01-08,90,3F_R_N,c1,1.3125,4,16,84
2026-01-08,90,2F_L_N,c2,0.91,2,20,182
2026-01-08,90,2F_R_N,c2,0.845,2,20,169
2026-01-08,90,3F_L_A,c2,1.03,4,20,103
2026-01-08,90,3F_L_N,c2,1.6406,5,16,84
2026-01-08,90,3F_R_A,c2,1.1481,4,18,93
2026-01-08,90,3F_R_N,c2,1.3125,4,16,84
2026-01-08,90,2F_L_N,c3,1.82,4,20,182
2026-01-08,90,2F_R_N,c3,0.4225,1,20,169
2026-01-08,90,3F_L_A,c3,1.545,6,20,103
2026-01-08,90,3F_L_N,c3,1.3125,4,16,84
2026-01-08,90,3F_R_A,c3,1.7222,6,18,93
2026-01-08,90,3F_R_N,c3,1.3125,4,16,84
2026-01-08,90,2F_L_N,c4,0.91,2,20,182
2026-01-08,90,2F_R_N,c4,1.69,4,20,169
2026-01-08,90,3F_L_A,c4,1.03,4,20,103
2026-01-08,90,3F_L_N,c4,1.3125,4,16,84
2026-01-08,90,3F_R_A,c4,0.8611,3,18,93
2026-01-08,90,3F_R_N,c4,0.6562,2,16,84
2026-01-08,90,2F_L_N,c5,0.91,2,20,182
2026-01-08,90,2F_R_N,c5,1.69,4,20,169
2026-01-08,90,3F_L_A,c5,2.06,8,20,103
2026-01-08,90,3F_L_N,c5,0.6562,2,16,84
2026-01-08,90,3F_R_A,c5,1.1481,4,18,93
2026-01-08,90,3F_R_N,c5,1.6406,5,16,84
2026-01-08,90,2F_L_N,c6,1.365,3,20,182
2026-01-08,90,2F_R_N,c6,0.845,2,20,169
2026-01-08,90,3F_L_A,c6,1.8025,7,20,103
2026-01-08,90,3F_L_N,c6,0.3281,1,16,84
2026-01-08,90,3F_R_A,c6,0.8611,3,18,93
2026-01-08,90,3F_R_N,c6,1.3125,4,16,84
2026-01-08,90,2F_L_N,hist_diff,0.91,2,20,182
2026-01-08,90,2F_R_N,hist_diff,0.845,2,20,169
2026-01-08,90,3F_L_A,hist_diff,1.2875,5,20,103
2026-01-08,90,3F_L_N,hist_diff,0.9844,3,16,84
2026-01-08,90,3F_R_A,hist_diff,0.5741,2,18,93
2026-01-08,90,3F_R_N,hist_diff,1.3125,4,16,84
2026-01-08,90,2F_L_N,hist_payout,0.91,2,20,182
2026-01-08,90,2F_R_N,hist_payout,0.845,2,20,169
2026-01-08,90,3F_L_A,hist_payout,1.2875,5,20,103
2026-01-08,90,3F_L_N,hist_payout,1.3125,4,16,84
2026-01-08,90,3F_R_A,hist_payout,0.8611,3,18,93
2026-01-08,90,3F_R_N,hist_payout,0.6562,2,16,84
2026-01-08,90,2F_L_N,hist_winrate,0.455,1,20,182
2026-01-08,90,2F_R_N,hist_winrate,0.4225,1,20,169
2026-01-08,90,3F_L_A,hist_winrate,0.515,2,20,103
2026-01-08,90,3F_L_N,hist_winrate,0.6562,2,16,84
2026-01-08,90,3F_R_A,hist_winrate,1.7222,6,18,93
2026-01-08,90,3F_R_N,hist_winrate,0.6562,2,16,84
2026-01-08,90,2F_L_N,hist_hit104,0.91,2,20,182
2026-01-08,90,2F_R_N,hist_hit104,0.845,2,20,169
2026-01-08,90,3F_L_A,hist_hit104,1.2875,5,20,103
2026-01-08,90,3F_L_N,hist_hit104,1.3125,4,16,84
2026-01-08,90,3F_R_A,hist_hit104,0.5741,2,18,93
2026-01-08,90,3F_R_N,hist_hit104,0.9844,3,16,84
2026-01-09,90,2F_L_N,c1,2.275,5,20,182
2026-01-09,90,2F_R_N,c1,1.2675,3,20,169
2026-01-09,90,3F_L_A,c1,0.515,2,20,103
2026-01-09,90,3F_L_N,c1,0.9844,3,16,84
2026-01-09,90,3F_R_A,c1,2.0093,7,18,93
2026-01-09,90,3F_R_N,c1,1.3125,4,16,84
2026-01-09,90,2F_L_N,c2,0.455,1,20,182
2026-01-09,90,2F_R_N,c2,0.4225,1,20,169
2026-01-09,90,3F_L_A,c2,1.2875,5,20,103
2026-01-09,90,3F_L_N,c2,0.9844,3,16,84
2026-01-09,90,3F_R_A,c2,1.1481,4,18,93
2026-01-09,90,3F_R_N,c2,0.6562,2,16,84
2026-01-09,90,2F_L_N,c3,0.91,2,20,182
2026-01-09,90,2F_R_N,c3,0.845,2,20,169
2026-01-09,90,3F_L_A,c3,1.03,4,20,103
2026-01-09,90,3F_L_N,c3,0.9844,3,16,84
2026-01-09,90,3F_R_A,c3,1.1481,4,18,93
2026-01-09,90,3F_R_N,c3,1.6406,5,16,84
2026-01-09,90,2F_L_N,c4,0.0,0,20,182
2026-01-09,90,2F_R_N,c4,1.2675,3,20,169
2026-01-09,90,3F_L_A,c4,1.03,4,20,103
2026-01-09,90,3F_L_N,c4,0.3281,1,16,84
2026-01-09,90,3F_R_A,c4,1.4352,5,18,93
2026-01-09,90,3F_R_N,c4,0.9844,3,16,84
2026-01-09,90,2F_L_N,c5,1.82,4,20,182
2026-01-09,90,2F_R_N,c5,0.4225,1,20,169
2026-01-09,90,3F_L_A,c5,1.03,4,20,103
2026-01-09,90,3F_L_N,c5,0.9844,3,16,84
2026-01-09,90,3F_R_A,c5,1.4352,5,18,93
2026-01-09,90,3F_R_N,c5,1.3125,4,16,84
2026-01-09,90,2F_L_N,c6,0.91,2,20,182
2026-01-09,90,2F_R_N,c6,0.845,2,20,169
2026-01-09,90,3F_L_A,c6,1.03,4,20,103
2026-01-09,90,3F_L_N,c6,1.3125,4,16,84
2026-01-09,90,3F_R_A,c6,0.8611,3,18,93
2026-01-09,90,3F_R_N,c6,0.9844,3,16,84
2026-01-09,90,2F_L_N,hist_diff,1.365,3,20,182
2026-01-09,90,2F_R_N,hist_diff,0.845,2,20,169
2026-01-09,90,3F_L_A,hist_diff,0.515,2,20,103
2026-01-09,90,3F_L_N,hist_diff,0.6562,2,16,84
2026-01-09,90,3F_R_A,hist_diff,0.8611,3,18,93
2026-01-09,90,3F_R_N,hist_diff,0.6562,2,16,84
2026-01-09,90,2F_L_N,hist_payout,1.365,3,20,182
2026-01-09,90,2F_R_N,hist_payout,1.2675,3,20,169
2026-01-09,90,3F_L_A,hist_payout,1.2875,5,20,103
2026-01-09,90,3F_L_N,hist_payout,1.3125,4,16,84
2026-01-09,90,3F_R_A,hist_payout,1.1481,4,18,93
2026-01-09,90,3F_R_N,hist_payout,0.6562,2,16,84
2026-01-09,90,2F_L_N,hist_winrate,0.455,1,20,182
2026-01-09,90,2F_R_N,hist_winrate,1.2675,3,20,169
2026-01-09,90,3F_L_A,hist_winrate,0.7725,3,20,103
2026-01-09,90,3F_L_N,hist_winrate,0.9844,3,16,84
2026-01-09,90,3F_R_A,hist_winrate,1.1481,4,18,93
2026-01-09,90,3F_R_N,hist_winrate,0.0,0,16,84
2026-01-09,90,2F_L_N,hist_hit104,0.455,1,20,182
2026-01-09,90,2F_R_N,hist_hit104,1.2675,3,20,169
2026-01-09,90,3F_L_A,hist_hit104,1.03,4,20,103
2026-01-09,90,3F_L_N,hist_hit104,0.6562,2,16,84
2026-01-09,90,3F_R_A,hist_hit104,1.1481,4,18,93
2026-01-09,90,3F_R_N,hist_hit104,0.3281,1,16,84
2026-01-10,90,2F_L_N,c1,1.365,3,20,182
2026-01-10,90,2F_R_N,c1,1.2675,3,20,169
2026-01-10,90,3F_L_A,c1,0.515,2,20,103
2026-01-10,90,3F_L_N,c1,0.9844,3,16,84
2026-01-10,90,3F_R_A,c1,2.0093,7,18,93
2026-01-10,90,3F_R_N,c1,0.6562,2,16,84
2026-01-10,90,2F_L_N,c2,0.455,1,20,182
2026-01-10,90,2F_R_N,c2,1.2675,3,20,169
2026-01-10,90,3F_L_A,c2,0.7725,3,20,103
2026-01-10,90,3F_L_N,c2,1.6406,5,16,84
2026-01-10,90,3F_R_A,c2,1.4352,5,18,93
2026-01-10,90,3F_R_N,c2,0.9844,3,16,84
2026-01-10,90,2F_L_N,c3,0.455,1,20,182
2026-01-10,90,2F_R_N,c3,0.0,0,20,169
2026-01-10,90,3F_L_A,c3,0.515,2,20,103
2026-01-10,90,3F_L_N,c3,1.3125,4,16,84
2026-01-10,90,3F_R_A,c3,0.5741,2,18,93
2026-01-10,90,3F_R_N,c3,1.3125,4,16,84
2026-01-10,90,2F_L_N,c4,0.91,2,20,182
2026-01-10,90,2F_R_N,c4,1.2675,3,20,169
2026-01-10,90,3F_L_A,c4,0.7725,3,20,103
2026-01-10,90,3F_L_N,c4,1.3125,4,16,84
2026-01-10,90,3F_R_A,c4,2.0093,7,18,93
2026-01-10,90,3F_R_N,c4,0.9844,3,16,84
2026-01-10,90,2F_L_N,c5,1.82,4,20,182
2026-01-10,90,2F_R_N,c5,0.4225,1,20,169
2026-01-10,90,3F_L_A,c5,0.515,2,20,103
2026-01-10,90,3F_L_N,c5,0.6562,2,16,84
2026-01-10,90,3F_R_A,c5,1.1481,4,18,93
2026-01-10,90,3F_R_N,c5,0.3281,1,16,84
2026-01-10,90,2F_L_N,c6,1.365,3,20,182
2026-01-10,90,2F_R_N,c6,2.1125,5,20,169
2026-01-10,90,3F_L_A,c6,0.7725,3,20,103
2026-01-10,90,3F_L_N,c6,0.9844,3,16,84
2026-01-10,90,3F_R_A,c6,0.5741,2,18,93
2026-01-10,90,3F_R_N,c6,0.6562,2,16,84
2026-01-10,90,2F_L_N,hist_diff,2.275,5,20,182
2026-01-10,90,2F_R_N,hist_diff,1.2675,3,20,169
2026-01-10,90,3F_L_A,hist_diff,1.03,4,20,103
2026-01-10,90,3F_L_N,hist_diff,1.3125,4,16,84
2026-01-10,90,3F_R_A,hist_diff,1.4352,5,18,93
2026-01-10,90,3F_R_N,hist_diff,0.9844,3,16,84
2026-01-10,90,2F_L_N,hist_payout,1.365,3,20,182
2026-01-10,90,2F_R_N,hist_payout,0.845,2,20,169
2026-01-10,90,3F_L_A,hist_payout,0.7725,3,20,103
2026-01-10,90,3F_L_N,hist_payout,1.3125,4,16,84
2026-01-10,90,3F_R_A,hist_payout,1.1481,4,18,93
2026-01-10,90,3F_R_N,hist_payout,1.6406,5,16,84
2026-01-10,90,2F_L_N,hist_winrate,0.91,2,20,182
2026-01-10,90,2F_R_N,hist_winrate,1.2675,3,20,169
2026-01-10,90,3F_L_A,hist_winrate,1.8025,7,20,103
2026-01-10,90,3F_L_N,hist_winrate,0.9844,3,16,84
2026-01-10,90,3F_R_A,hist_winrate,1.1481,4,18,93
2026-01-10,90,3F_R_N,hist_winrate,0.6562,2,16,84
2026-01-10,90,2F_L_N,hist_hit104,1.365,3,20,182
2026-01-10,90,2F_R_N,hist_hit104,1.69,4,20,169
2026-01-10,90,3F_L_A,hist_hit104,1.03,4,20,103
2026-01-10,90,3F_L_N,hist_hit104,1.3125,4,16,84
2026-01-10,90,3F_R_A,hist_hit104,0.5741,2,18,93
2026-01-10,90,3F_R_N,hist_hit104,0.9844,3,16,84
2026-01-11,90,2F_L_N,c1,1.82,4,20,182
2026-01-11,90,2F_R_N,c1,1.2675,3,20,169
2026-01-11,90,3F_L_A,c1,1.2875,5,20,103
2026-01-11,90,3F_L_N,c1,0.9844,3,16,84
2026-01-11,90,3F_R_A,c1,1.1481,4,18,93
2026-01-11,90,3F_R_N,c1,0.6562,2,16,84
2026-01-11,90,2F_L_N,c2,1.365,3,20,182
2026-01-11,90,2F_R_N,c2,1.69,4,20,169
2026-01-11,90,3F_L_A,c2,1.8025,7,20,103
2026-01-11,90,3F_L_N,c2,0.9844,3,16,84
2026-01-11,90,3F_R_A,c2,1.4352,5,18,93
2026-01-11,90,3F_R_N,c2,0.9844,3,16,84
2026-01-11,90,2F_L_N,c3,0.91,2,20,182
2026-01-11,90,2F_R_N,c3,0.845,2,20,169
2026-01-11,90,3F_L_A,c3,1.8025,7,20,103
2026-01-11,90,3F_L_N,c3,1.6406,5,16,84
2026-01-11,90,3F_R_A,c3,1.1481,4,18,93
2026-01-11,90,3F_R_N,c3,0.9844,3,16,84
2026-01-11,90,2F_L_N,c4,1.365,3,20,182
2026-01-11,90,2F_R_N,c4,1.2675,3,20,169
2026-01-11,90,3F_L_A,c4,1.8025,7,20,103
2026-01-11,90,3F_L_N,c4,1.3125,4,16,84
2026-01-11,90,3F_R_A,c4,0.5741,2,18,93
2026-01-11,90,3F_R_N,c4,1.3125,4,16,84
2026-01-11,90,2F_L_N,c5,0.91,2,20,182
2026-01-11,90,2F_R_N,c5,0.845,2,20,169
2026-01-11,90,3F_L_A,c5,1.545,6,20,103
2026-01-11,90,3F_L_N,c5,1.6406,5,16,84
2026-01-11,90,3F_R_A,c5,1.1481,4,18,93
