date,machine_number,machine_name,last_digit,is_zorome,games_normalized,diff_coins_normalized,date_dt,dd,dow,mmdd,is_event,is_month_end,is_0707,floor,section,section_min,section_max,rank_from_min,rank_from_max,section_size,section_size_group,lr,kakuban_old,kakuban_new,seg,segment,hist_payout_row,kakuban,dd_key,dow_key,c1,c2,c3,c4,c5,c6,hist_diff,hist_payout,hist_winrate,hist_hit_an,a_seg_hist_coverage,a_seg_fallback_count,hist_metric,composite,variant,test_date,dow_name,rank
20260621,3021,沖ドキ!DUO アンコール,1,0,1230,-300,2026-06-21,21,6,0621,True,False,False,3F,3017-3030,3017,3030,5,10,14,medium,L,5,10,N,3F_L_N,91.869918699187,10,21,6,225.87646076794658,0.0,-20.634920634920636,-166.17100371747213,74.75116124751162,0.0,88.98550724637681,101.22591258122635,0.4289855072463768,34.492753623188406,0.0,0.0,34.492753623188406,-2.6609572836669226,v7_lift_weights,2026-06-21,Sunday,472
20260621,3107,からくりサーカス,7,0,3814,1600,2026-06-21,21,6,0621,True,False,False,3F,3103-3116,3103,3116,5,10,14,medium,L,5,10,N,3F_L_N,113.98356930606536,10,21,6,225.87646076794658,0.0,-20.634920634920636,-166.17100371747213,99.05335628227195,0.0,333.6231884057971,107.7193876759289,0.37681159420289856,32.17391304347826,0.0,0.0,32.17391304347826,-3.124725399608952,v7_lift_weights,2026-06-21,Sunday,473
20260621,3044,ビッグドリーム THE GOLDEN PUSHER,4,1,1968,-1200,2026-06-21,21,6,0621,True,False,False,3F,3043-3057,3043,3057,2,14,15,large,L,2,14,N,3F_L_N,79.67479674796748,14,21,6,-98.18840579710145,50.0,-185.71428571428572,-274.34944237918216,-6.608695652173913,483.909817901532,-104.6376811594203,97.93963262181671,0.3565217391304348,28.115942028985508,0.0,0.0,28.115942028985508,-4.223691679445523,v7_lift_weights,2026-06-21,Sunday,474
20260621,3227,東京喰種,7,0,4598,1800,2026-06-21,21,6,0621,True,False,False,3F,3218-3233,3218,3233,10,7,16,large,R,10,7,N,3F_R_N,113.04915180513267,7,21,6,75.14492753623189,0.0,2.3529411764705883,-144.62809917355372,0.0,0.0,-73.6231884057971,100.41514928477919,0.42318840579710143,36.231884057971016,0.0,0.0,36.231884057971016,-5.681594233093895,v7_lift_weights,2026-06-21,Sunday,475
20260621,3258,真打 吉宗,8,0,3141,-1300,2026-06-21,21,6,0621,True,False,False,3F,3250-3264,3250,3264,9,7,15,large,R,9,7,N,3F_R_N,86.20396901199193,7,21,6,75.14492753623189,0.0,2.3529411764705883,-144.62809917355372,0.0,0.0,242.6086956521739,101.1036637079552,0.4057971014492754,34.492753623188406,0.0,0.0,34.492753623188406,-6.116376841789547,v7_lift_weights,2026-06-21,Sunday,476
20260621,3230,東京喰種,0,0,3963,-3200,2026-06-21,21,6,0621,True,False,False,3F,3218-3233,3218,3233,13,4,16,large,R,13,4,N,3F_R_N,73.08436369753554,4,21,6,21.159420289855074,0.0,-137.87878787878788,260.9929078014184,0.0,0.0,73.91304347826087,101.56788505770673,0.4057971014492754,35.36231884057971,0.0,0.0,35.36231884057971,-7.5140762721706,v7_lift_weights,2026-06-21,Sunday,477
20260621,3051,シャーマンキング,1,0,5271,-4400,2026-06-21,21,6,0621,True,False,False,3F,3043-3057,3043,3057,9,7,15,large,R,9,7,N,3F_R_N,72.17479289192437,7,21,6,75.14492753623189,0.0,2.3529411764705883,-144.62809917355372,0.0,0.0,199.42028985507247,96.96702765097751,0.35942028985507246,28.695652173913043,0.0,0.0,28.695652173913043,-7.565652204108388,v7_lift_weights,2026-06-21,Sunday,478
20260621,3081,ミリオンゴッド‐神々の軌跡‐,1,0,5243,-2000,2026-06-21,21,6,0621,True,False,False,3F,3073-3087,3073,3087,9,7,15,large,R,9,7,N,3F_R_N,87.28463347956004,7,21,6,75.14492753623189,0.0,2.3529411764705883,-144.62809917355372,0.0,0.0,-67.82608695652173,96.23949034762563,0.34492753623188405,27.536231884057973,0.0,0.0,27.536231884057973,-7.855507276572156,v7_lift_weights,2026-06-21,Sunday,479
20260621,3252,真打 吉宗,2,0,3037,-1800,2026-06-21,21,6,0621,True,False,False,3F,3250-3264,3250,3264,3,13,15,large,L,3,13,N,3F_L_N,80.24366150806718,13,21,6,-218.9855072463768,100.0,-77.77777777777777,-242.37918215613382,140.95166729112026,0.0,48.69565217391305,100.60012752393656,0.4,34.492753623188406,0.0,0.0,34.492753623188406,-8.434356282340493,v7_lift_weights,2026-06-21,Sunday,480
20260621,3221,東京喰種,1,0,4599,2000,2026-06-21,21,6,0621,True,False,False,3F,3218-3233,3218,3233,4,13,16,large,L,4,13,N,3F_L_N,114.49590490686381,13,21,6,-218.9855072463768,100.0,-77.77777777777777,-242.37918215613382,74.75116124751162,0.0,-299.71014492753625,98.53221725034221,0.4,33.6231884057971,0.0,0.0,33.6231884057971,-8.608269325818753,v7_lift_weights,2026-06-21,Sunday,481
20260621,3054,革命機ヴァルヴレイヴ,4,0,7140,-4800,2026-06-21,21,6,0621,True,False,False,3F,3043-3057,3043,3057,12,4,15,large,R,12,4,N,3F_R_N,77.59103641456583,4,21,6,21.159420289855074,0.0,-137.87878787878788,260.9929078014184,0.0,0.0,176.81159420289856,98.53390887021925,0.37681159420289856,29.275362318840582,0.0,0.0,29.275362318840582,-9.035815402605383,v7_lift_weights,2026-06-21,Sunday,482
20260621,3261,真打 吉宗,1,0,4156,-2400,2026-06-21,21,6,0621,True,False,False,3F,3250-3264,3250,3264,12,4,15,large,R,12,4,N,3F_R_N,80.7507218479307,4,21,6,21.159420289855074,0.0,-137.87878787878788,260.9929078014184,0.0,0.0,-102.31884057971014,97.72349229513303,0.34202898550724636,28.115942028985508,0.0,0.0,28.115942028985508,-9.32567047506915,v7_lift_weights,2026-06-21,Sunday,483
