component,c1,c2,c3,c4,c5,c6,hist_diff,hist_payout,hist_winrate,hist_hit_an
c1,1.0,0.2197,0.1594,0.3487,0.0734,0.0022,0.5637,0.3233,0.3421,0.2468
c2,0.2197,1.0,0.0382,0.0767,0.0002,-0.0009,0.1299,0.0628,0.0865,0.0759
c3,0.1594,0.0382,1.0,0.0603,0.0115,0.0071,0.0929,0.0426,0.0675,0.0295
c4,0.3487,0.0767,0.0603,1.0,0.0267,0.0121,0.1994,0.1106,0.1382,0.0799
c5,0.0734,0.0002,0.0115,0.0267,1.0,-0.0058,0.0979,0.093,0.071,0.0865
c6,0.0022,-0.0009,0.0071,0.0121,-0.0058,1.0,0.0064,0.0062,-0.0033,0.0169
hist_diff,0.5637,0.1299,0.0929,0.1994,0.0979,0.0064,1.0,0.6201,0.5878,0.5074
hist_payout,0.3233,0.0628,0.0426,0.1106,0.093,0.0062,0.6201,1.0,0.468,0.6616
hist_winrate,0.3421,0.0865,0.0675,0.1382,0.071,-0.0033,0.5878,0.468,1.0,0.4913
hist_hit_an,0.2468,0.0759,0.0295,0.0799,0.0865,0.0169,0.5074,0.6616,0.4913,1.0
