segment,target,feature,importance_mean,importance_std,n_models
2F_A,target_is_top3,prior_top1_rate,30.913433634715627,1.5306103041869696,60
2F_A,target_is_top3,weekday_prior_top1_rate,23.185845702839014,1.9111163183801114,60
2F_A,target_is_top3,day_of_month,17.67110340438419,1.2057863694187103,60
2F_A,target_is_top3,lag1_rank_pct,16.26035527940398,1.1616518161467382,60
2F_A,target_is_top3,day_of_week_num,7.611730078882403,0.745102677257583,60
2F_A,target_is_top3,is_weekend,4.357531899774779,0.6176266712740464,60
2F_A,target_is_top5,prior_top1_rate,36.04752564219046,1.1382893598073207,60
2F_A,target_is_top5,day_of_month,21.09106636824596,2.3424674404123236,60
2F_A,target_is_top5,lag1_rank_pct,17.319928396746267,1.6562920867029993,60
2F_A,target_is_top5,weekday_prior_top1_rate,16.290766484486937,1.7388207052936944,60
2F_A,target_is_top5,day_of_week_num,4.886542416041983,0.7796115799465062,60
2F_A,target_is_top5,is_weekend,4.364170692288384,0.5695699357614523,60
2F_N,target_is_top5,prior_top1_rate,32.19704265678273,1.1996399539465625,60
2F_N,target_is_top5,weekday_prior_top1_rate,20.801848432947985,1.2721621443854998,60
2F_N,target_is_top5,lag1_rank_pct,19.4312890898296,1.8635494943764905,60
2F_N,target_is_top5,day_of_month,12.25627337936387,1.1319445110536817,60
2F_N,target_is_top5,day_of_week_num,8.03010667892263,0.9071853062011428,60
2F_N,target_is_top5,is_weekend,7.283439762153187,0.6968819504156302,60
3F_A,target_is_top3,prior_top1_rate,26.729849978665538,1.9648162314987172,60
3F_A,target_is_top3,weekday_prior_top1_rate,25.64858281155522,1.7463545442204065,60
3F_A,target_is_top3,lag1_rank_pct,22.85311725516274,1.1681019481086747,60
3F_A,target_is_top3,day_of_month,13.804001505543544,1.0814415575629044,60
3F_A,target_is_top3,day_of_week_num,6.968564678614796,1.1322818824186973,60
3F_A,target_is_top3,is_weekend,3.9958837704581613,0.6286138224099895,60
3F_A,target_is_top5,weekday_prior_top1_rate,23.779714032797603,1.0588970114111664,60
3F_A,target_is_top5,lag1_rank_pct,23.290465019810824,1.1551894254213035,60
3F_A,target_is_top5,prior_top1_rate,23.124842835687136,1.5996790031086474,60
3F_A,target_is_top5,day_of_month,14.874414622750415,0.864706014842442,60
3F_A,target_is_top5,day_of_week_num,8.3128854771339,0.8303767040363166,60
3F_A,target_is_top5,is_weekend,6.617678011820126,0.7433027902533227,60
3F_N,target_is_top3,prior_top1_rate,44.904529132569635,1.4808799664080703,60
3F_N,target_is_top3,lag1_rank_pct,19.839352759573334,1.1196068976430051,60
3F_N,target_is_top3,weekday_prior_top1_rate,16.296463721029248,0.9413338404195336,60
3F_N,target_is_top3,day_of_month,8.585085696637597,0.7555201419835567,60
3F_N,target_is_top3,day_of_week_num,6.718685193054116,0.8209167514872657,60
3F_N,target_is_top3,is_weekend,3.6558834971360765,0.6176562398416329,60
3F_N,target_is_top5,prior_top1_rate,49.084195799420755,1.8231106964691184,60
3F_N,target_is_top5,lag1_rank_pct,16.113433444166212,1.063745833499504,60
3F_N,target_is_top5,weekday_prior_top1_rate,16.08662218217302,1.3179436692422029,60
3F_N,target_is_top5,day_of_month,9.396555111849894,0.593842197387656,60
3F_N,target_is_top5,day_of_week_num,6.241757293053338,0.8001584016279176,60
3F_N,target_is_top5,is_weekend,3.077436169336779,0.4907987403493952,60
