condition,difficulty,n_pairs,n_miss1,rank2_rescue_rate,rank3_rescue_rate,critical_miss_rate,loss_when_miss1_p50,loss_when_miss1_p75
anomaly_direction,anomaly,57,7,1.0,,0.0,0.0,1650.0
anomaly_direction,normal,375,19,0.6842105263157895,0.0,0.016,200.0,6350.0
difficulty_failure,hit_day,420,21,0.9047619047619048,0.0,0.004761904761904762,0.0,1200.0
difficulty_failure,miss_day,12,5,0.2,0.0,0.3333333333333333,9100.0,17100.0
pred_span_quartile,Q1,108,16,0.625,0.0,0.05555555555555555,2900.0,9325.0
pred_span_quartile,Q2,108,7,1.0,,0.0,0.0,700.0
pred_span_quartile,Q3,108,3,1.0,,0.0,0.0,100.0
pred_span_quartile,Q4,108,0,,,0.0,,
weekday,fri_sat,126,9,1.0,,0.0,0.0,0.0
weekday,mon_thu,183,7,0.7142857142857143,0.0,0.01092896174863388,400.0,2400.0
weekday,sunday,63,5,0.4,0.0,0.047619047619047616,10000.0,17100.0
weekday,wednesday,60,5,0.8,0.0,0.016666666666666666,0.0,0.0
