machine_name,hall,units,days_observed,avg_kaiwari,avg_diff,avg_games
 ULTRAMAN,ARROW,2,8,92.90086387070596,-674.5,4329.25
 サラリーマン金太郎,??1,1,8,89.88314539159082,-1212.5,4482.875
 サラリーマン金太郎,???,1,8,90.99866949595368,-1226.0,4412.0
 サラリーマン金太郎,ARROW,5,8,101.19083116101521,196.375,6576.5
/いざ番長/SB8,??1,4,8,97.77912463738278,-900.0,5920.25
/ギルティクラウン2/XF,??1,3,8,94.4235126859395,-962.5,4938.625
1000ちゃんA,???,1,8,101.99749927686356,405.125,4872.125
A‐SLOT+ 異世界かるてっと,??1,1,8,93.45612904491931,-462.5,4685.875
A‐SLOT+ 異世界かるてっと,??7,3,8,97.5246169062438,-525.0,6758.625
A‐SLOT+ 異世界かるてっと,???,2,8,100.43965057200015,381.75,5543.0
A‐SLOT+ 異世界かるてっと,ARROW,1,8,92.63115166677379,-1416.375,6722.375
GALFY,???,1,8,97.6120354359425,28.625,5602.875
HEY！エリートサラリーマン鏡,??1,3,8,94.13431879283479,-225.0,4759.125
LBニューパルサー,???,3,8,95.06891494759105,-489.0,5600.625
LBニューパルサー,ARROW,5,8,99.73028911464209,398.0,6493.0
LBニューパルサーBTC9,??1,4,8,95.6902828295578,-12.5,4046.5
LB翔べ!ハーレムエースCF,??1,2,8,100.33733028560727,225.0,4042.25
SHAKE BONUS TRIGGER,??1,2,8,109.03774785017669,1087.5,4012.0
SHAKE BONUS TRIGGER,??7,4,8,99.73816041148856,87.5,6640.875
SHAKE BONUS TRIGGER,???,2,8,103.04344042630845,735.625,5879.5
SHAKE BONUS TRIGGER,ARROW,3,8,102.02808490663328,500.75,5961.25
Sister Quest,??1,2,8,88.93176436757072,-1350.0,4235.125
Sister Quest,ARROW,1,8,99.69141395935836,163.125,7410.25
ToLOVEるダークネス TRANCE ver.8.7,??1,6,8,90.49914389662135,-1887.5,6757.125
ToLOVEるダークネス TRANCE ver.8.7,???,3,8,105.30824742187563,847.75,4681.125
ULTRAMAN,??1,2,8,106.90404878517623,1025.0,3224.75
ULTRAMAN,???,1,8,90.683631034209,-616.125,2447.75
ULTRAMAN,ARROW,2,8,96.06009043845559,36.125,2520.875
ありふれた職業で世界最強,??1,4,8,97.16874862044472,37.5,4334.125
ありふれた職業で世界最強,???,4,8,107.92178801308096,1081.25,5684.5
ありふれた職業で世界最強,ARROW,5,8,101.73006396563207,112.5,7626.375
いざ!番長,???,4,8,101.33114999598146,46.375,5616.5
いざ!番長,ARROW,5,8,107.99092591067529,1991.625,8320.125
いざ！番長,??1,4,8,95.02227115437019,-1262.5,6131.625
いざ！番長,???,4,8,97.15757597133153,-607.125,5766.75
いざ！番長,ARROW,5,8,109.92500261584367,1986.75,8009.0
うしおととら 白面決戦,??1,1,8,101.22200430436472,-12.5,5069.125
うしおととら 白面決戦,???,1,8,99.71193080101989,598.0,4137.125
うしおととら 白面決戦,ARROW,2,8,90.14173336329272,-1809.875,6107.25
うみねこのなく頃に2,??1,1,8,97.60507698514921,-300.0,6529.25
うみねこのなく頃に2,??7,4,8,97.40119710070854,-587.5,7854.5
うみねこのなく頃に2,???,2,8,102.33913541343891,426.0,6508.375
うみねこのなく頃に2,ARROW,1,8,103.16375731445281,671.125,7203.875
とある科学の超電磁砲2,??1,3,8,115.13827876130568,937.5,3823.125
とある科学の超電磁砲2,??7,5,8,104.81637187609422,787.5,4809.625
とある科学の超電磁砲2,???,3,8,99.73308955907706,-37.375,4759.75
とある科学の超電磁砲2,ARROW,5,8,94.89798363587994,-1157.75,7546.75
とある魔術の禁書目録,??7,1,8,115.22244882456908,2125.0,3385.375
にゃんこ大戦争 超神速,??1,3,8,109.44750878229203,2025.0,6751.875
にゃんこ大戦争 超神速,???,3,8,114.03848002283799,2427.375,6830.75
にゃんこ大戦争 超神速,ARROW,8,8,118.40073548274114,4404.0,7746.0
ようこそ実力至上主義の教室へ,??1,3,8,103.80436437434048,487.5,4626.0
ようこそ実力至上主義の教室へ,???,2,8,94.83544204890282,-690.5,4321.375
ようこそ実力至上主義の教室へ,ARROW,2,8,102.95032773873798,-65.125,4980.25
わたしの幸せな結婚,??1,5,8,92.64457801187429,-2275.0,5604.25
わたしの幸せな結婚,???,2,8,97.58717389328164,128.625,4244.125
わたしの幸せな結婚,ARROW,1,8,101.49400650452523,160.875,7584.125
アイドルマスター ミリオンライブ！ ネクストプロローグ,??1,3,8,123.18056909979516,1475.0,3354.5
アイドルマスター ミリオンライブ！ ネクストプロローグ,???,5,8,91.60493059696914,-1339.75,5019.625
アイドルマスター ミリオンライブ！ ネクストプロローグ,ARROW,6,8,105.16860095742712,958.0,6855.375
アクダマドライブ,??1,2,8,85.03708858788671,-1425.0,3719.75
アクダマドライブ,??7,2,8,105.0114339004516,487.5,6190.125
アクダマドライブ,ARROW,1,8,88.5223771154678,-2000.5,5781.75
アズールレーン THE ANIMATION,??1,3,8,127.13769919005729,2287.5,2708.625
アズールレーン THE ANIMATION,??7,5,8,99.0705827653056,-787.5,4721.625
アズールレーン THE ANIMATION,???,3,8,98.11090992705701,-626.5,4552.625
アズールレーン THE ANIMATION,ARROW,1,8,105.85227843383568,1504.75,7680.875
アレックス ブライト,??1,1,8,98.95017328376726,-100.0,6648.25
アレックス ブライト,???,4,8,101.7124590749544,514.375,7584.375
アレックス ブライト,ARROW,2,8,100.2796390255201,140.75,6315.625
ガールズ&パンツァー 最終章,??1,3,8,85.04043057897402,-612.5,1782.375
ガールズ&パンツァー 最終章,???,3,8,106.13148390206398,160.25,3360.375
ギルティクラウン2,??1,3,8,114.59264175027451,1287.5,4450.125
ギルティクラウン2,???,4,8,93.6631167039558,-1139.25,5164.875
ギルティクラウン2,ARROW,3,8,92.85500154179873,-1557.875,7245.0
クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,??1,3,8,100.07587450328973,150.0,6937.875
クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,??7,4,8,100.40880522021936,350.0,7499.0
クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,???,3,8,98.1737918326752,-438.125,7403.75
クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,ARROW,5,8,103.16270844996802,776.125,7330.875
ゴジラ,??1,3,8,101.98086420542631,-225.0,5706.5
ゴジラ,???,1,8,133.57712994541677,3163.5,4238.25
ゴジラ,ARROW,1,8,107.17700414053598,1542.5,7743.875
ゴブリンスレイヤーII,??1,5,8,99.33496275835603,600.0,3955.625
ゴブリンスレイヤーII,??7,7,8,109.84060501369895,1300.0,5365.875
ゴブリンスレイヤーII,???,3,8,99.77492522597383,-461.625,5009.875
ゴブリンスレイヤーII,ARROW,8,8,95.67698277692006,-788.5,8307.25
サラリーマン金太郎～MAX～,??1,1,8,103.81773831958965,550.0,4942.625
サラリーマン金太郎～MAX～,???,1,8,107.47446756909731,1144.875,5602.375
サラリーマン金太郎～MAX～,ARROW,5,8,106.81461487078138,2105.875,8319.5
シャーマンキング,??1,4,8,91.37426693480562,-1412.5,4619.625
シャーマンキング,???,4,8,97.29631226131258,-988.625,5058.375
シャーマンキング,ARROW,5,8,104.73201859077193,1055.0,7054.75
シン・エヴァンゲリオン,??1,4,8,102.82648009012688,375.0,6832.625
シン・エヴァンゲリオン,???,4,8,104.9027279889883,868.0,6483.0
シン・エヴァンゲリオン,ARROW,8,8,97.77851182316617,-584.375,8128.25
スマスロ サンダーV,??1,2,8,100.45618642774151,462.5,5176.5
スマスロ サンダーV,??7,4,8,97.06287736299332,-337.5,6832.25
スマスロ サンダーV,???,4,8,95.08050344800466,-677.125,5948.25
スマスロ サンダーV,ARROW,2,8,101.51868676303505,356.625,6906.375
スマスロ ドルアーガの塔,??1,2,8,90.38919505460883,-875.0,3001.875
スマスロ ドルアーガの塔,??7,2,8,92.04119788881793,-1450.0,6705.125
スマスロ ドルアーガの塔,???,3,8,90.27440221626159,-1062.125,4376.375
スマスロ ドルアーガの塔,ARROW,2,8,94.25761962433955,-782.75,5886.375
スマスロ ハナビ,??1,3,8,95.66123337695274,-325.0,4536.125
スマスロ ハナビ,??7,5,8,97.2007297625715,-550.0,7810.75
スマスロ ハナビ,???,4,8,102.38793389269834,545.375,6361.75
スマスロ ハナビ,ARROW,5,8,99.6777332328741,249.375,7196.25
スマスロ炎炎ノ消防隊2,??1,5,8,103.26636466048951,337.5,6347.875
スマスロ炎炎ノ消防隊2,??7,8,8,98.80868106559674,-412.5,7414.25
スマスロ炎炎ノ消防隊2,???,5,8,101.32561027779664,68.375,7036.375
スマスロ炎炎ノ消防隊2,ARROW,5,8,102.40053034483353,579.375,8434.5
スマスロ秘宝伝,??1,3,8,93.9695112765459,-800.0,4869.25
スマスロ秘宝伝,??7,6,8,98.16338332009613,-375.0,6578.0
スマスロ秘宝伝,???,5,8,97.82954426066561,-299.25,5849.5
スマスロ秘宝伝,ARROW,5,8,95.47316764217231,-931.0,6306.875
スマート沖スロ スターハナハナ,ARROW,3,8,101.87343629585564,419.25,6423.875
スマート沖スロ ドラゴンハナハナ～閃光～,??1,4,8,102.90297308158132,762.5,6940.0
スマート沖スロ ニューキングハナハナV,??7,8,8,97.57875874122733,-87.5,6137.25
スマート沖スロ ニューキングハナハナV,???,3,8,93.81447888258471,-558.25,4576.75
スマート沖スロ ニューキングハナハナV,ARROW,5,8,97.5415096063793,120.5,5980.875
スーパーブラックジャック,??1,8,8,92.84625465030513,-1512.5,5811.625
スーパーブラックジャック,???,8,8,114.51570371195969,1996.0,5579.5
スーパーブラックジャック,ARROW,8,8,96.97519921856114,-825.375,8268.375
スーパーリオエース2,??1,3,8,88.23852454596965,-1500.0,5513.125
スーパーリオエース2,??7,8,8,91.82147283229706,-1887.5,7782.0
スーパーリオエース2,???,4,8,97.90323177028864,-428.375,7045.375
スーパーリオエース2,ARROW,2,8,100.89461343785189,210.0,8001.75
ソードアート・オンライン,???,3,8,104.00526621116035,781.625,2427.875
タクトオーパス デスティニー,??1,1,8,101.19536449766457,175.0,3608.375
タクトオーパス デスティニー,??7,4,8,88.17428893905159,-2050.0,5583.125
タクトオーパス デスティニー,???,1,8,108.02745113472822,660.375,3770.5
タクトオーパス デスティニー,ARROW,1,8,97.87370661849884,-222.375,8180.25
ダーリン・イン・ザ・フランキス,??1,4,8,95.86360315709436,-612.5,5282.0
ダーリン・イン・ザ・フランキス,??7,8,8,105.7008395612744,687.5,6155.5
ダーリン・イン・ザ・フランキス,???,8,8,102.34780778348212,184.75,5889.25
ダーリン・イン・ザ・フランキス,ARROW,8,8,107.99228783419822,1865.375,7822.875
チバリヨ2,??1,6,8,120.36742496382044,2125.0,3874.875
チバリヨ2,???,4,8,87.81372896946628,-526.125,3138.25
チバリヨ2プラス,??1,6,8,89.16758788457227,-1650.0,4722.75
チバリヨ2プラス,???,4,8,105.54026141626207,475.75,3139.0
ディスクアップ ULTRAREMIX,??1,1,8,93.8711740847859,-112.5,3309.375
ディスクアップ ULTRAREMIX,???,3,8,104.05282875494554,694.0,6872.125
ディスクアップ ULTRAREMIX,ARROW,1,8,97.83652418074224,-285.5,6223.5
デビル メイ クライ 5,??1,5,8,94.11110891686323,-1125.0,5092.375
デビル メイ クライ 5,???,3,8,96.7917311017044,-983.125,5770.0
デビル メイ クライ 5,ARROW,8,8,92.73493017798263,-1632.375,8000.625
デビル メイ クライ5 スタイリッシュトライブ,??1,5,8,99.73080670845145,-262.5,5219.0
デビル メイ クライ5 スタイリッシュトライブ,???,3,8,116.9270374781862,2463.375,4769.25
デビル メイ クライ5 スタイリッシュトライブ,ARROW,8,8,113.78178320386175,3380.125,7859.375
ドッチ,??1,1,8,88.61578729347805,-1087.5,3056.375
ドッチ,??7,2,8,92.62249559507781,-900.0,5014.75
ドッチ,???,2,8,95.12754391386026,-879.625,4857.875
ドッチ,ARROW,2,8,98.57249269324053,-312.75,5719.25
ナイツ,???,1,8,91.20958777050792,-1091.5,4378.5
ニューパルサーBT,??1,4,8,94.89210268724014,-250.0,4974.5
ニューパルサーBT,???,3,8,95.57712155209457,84.25,3460.0
ニューパルサーBT,ARROW,5,8,103.59435957649812,812.125,6776.375
ネオアイムジャグラーEX,??1,3,8,99.44326863920766,125.0,6811.75
ネオアイムジャグラーEX,??7,4,8,100.34577104562229,162.5,7967.625
ネオアイムジャグラーEX,???,7,8,98.27004933914137,-61.25,7677.375
ネオアイムジャグラーEX,ARROW,8,8,98.40302671647581,-344.0,7575.625
ネオプラネット,??1,2,8,95.66190343435133,-312.5,4698.375
ネオプラネット,??7,5,8,104.69944645592803,950.0,6380.25
ネオプラネット,???,2,8,102.70189375616398,824.0,5766.25
ネオプラネット,ARROW,5,8,99.37593274339665,74.0,6022.375
バイオハザード RE:3,??1,5,8,110.8676819540679,112.5,3694.375
バイオハザード RE:3,??7,8,8,94.0341396895721,-987.5,4325.625
バイオハザード RE:3,???,8,8,103.0840137003629,-198.125,4327.25
バイオハザード RE:3,ARROW,8,8,108.28235437732633,897.75,5572.5
バイオハザード5,??1,6,8,100.94683110369786,-300.0,5282.25
バイオハザード5,???,4,8,94.16773531788202,-1253.0,5512.0
バイオハザード5,ARROW,8,8,101.90151110682368,570.25,8208.25
バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,??1,2,8,89.18302310347485,-637.5,1807.0
バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,???,1,8,87.73330231273148,-1808.5,4395.75
バベル,??1,2,8,83.10658444512127,-537.5,1840.375
バベル,??7,3,8,91.67698219478575,-25.0,2893.125
バベル,???,3,8,93.41834995670598,-315.0,2901.0
バベル,ARROW,1,8,96.03466542169826,-269.125,5240.0
バーニングエクスプレス,??7,2,8,93.58570857675767,-800.0,4408.25
バーニングエクスプレス,???,3,8,92.44953664239216,-1040.125,5189.75
バーニングエクスプレス,ARROW,3,8,119.71298427042544,2666.625,5214.0
パチスロULTRAMAN-KE,??1,2,8,93.37847807964485,12.5,1567.375
ビッグドリーム THE GOLDEN PUSHER,??1,3,8,91.42346517232713,-637.5,4538.375
ビッグドリーム THE GOLDEN PUSHER,??7,7,8,87.94251115024852,-2837.5,6945.625
ビッグドリーム THE GOLDEN PUSHER,???,5,8,98.8251800662808,-382.0,5483.75
