hall,machine_name,hall_count,units,occupancy_pct,days_observed,avg_kaiwari,avg_diff,avg_games,win_rate_pct
ARROW,鉄拳6,9,8,4.878048780487805,8,138.4104789516555,4065.125,4705.625,62.5
ARROW, Sister Quest,1,1,0.6097560975609756,1,129.93880614247777,7779.0,8661.0,100.0
ARROW,バーニングエクスプレス,7,3,1.8292682926829267,8,119.71298427042544,2666.625,5214.0,50.0
ARROW,にゃんこ大戦争 超神速,6,8,4.878048780487805,8,118.40073548274114,4404.0,7746.0,75.0
ARROW,デビル メイ クライ5 スタイリッシュトライブ,8,8,4.878048780487805,8,113.78178320386175,3380.125,7859.375,75.0
ARROW,東京喰種,7,8,4.878048780487805,8,113.2801298943505,3325.125,8240.25,75.0
ARROW,化物語,9,5,3.048780487804878,8,112.31412372487684,3266.375,8727.0,87.5
ARROW,機動戦士ガンダムSEED,8,8,4.878048780487805,8,111.21931344517124,2887.875,8040.5,50.0
ARROW,いざ！番長,8,5,3.048780487804878,8,109.92500261584367,1986.75,8009.0,50.0
ARROW,沖ドキ!DUO アンコール,7,8,4.878048780487805,8,108.82596014170295,1077.125,4776.875,62.5
ARROW,バイオハザード RE:3,9,8,4.878048780487805,8,108.28235437732633,897.75,5572.5,37.5
ARROW,ダーリン・イン・ザ・フランキス,9,8,4.878048780487805,8,107.99228783419822,1865.375,7822.875,62.5
ARROW,いざ!番長,5,5,3.048780487804878,8,107.99092591067529,1991.625,8320.125,62.5
ARROW,ゴジラ,6,1,0.6097560975609756,8,107.17700414053598,1542.5,7743.875,50.0
ARROW,サラリーマン金太郎～MAX～,6,5,3.048780487804878,8,106.81461487078138,2105.875,8319.5,62.5
ARROW,マタドールIII,8,5,3.048780487804878,8,106.52383194297087,1595.75,7033.5,87.5
ARROW,アズールレーン THE ANIMATION,9,1,0.6097560975609756,8,105.85227843383568,1504.75,7680.875,62.5
ARROW,アイドルマスター ミリオンライブ！ ネクストプロローグ,8,6,3.6585365853658534,8,105.16860095742712,958.0,6855.375,50.0
ARROW,マギアレコード 魔法少女まどか☆マギカ外伝,8,5,3.048780487804878,8,105.03122544720213,1266.625,7946.375,62.5
ARROW,シャーマンキング,6,5,3.048780487804878,8,104.73201859077193,1055.0,7054.75,37.5
ARROW,ビッグドリーム THE GOLDEN PUSHER,8,8,4.878048780487805,8,104.45413867970862,1343.375,8043.625,62.5
ARROW,荒野のコトブキ飛行隊,8,2,1.2195121951219512,8,104.00677378363933,1501.125,6863.375,37.5
ARROW,不二子BT,9,2,1.2195121951219512,8,103.77531081041128,750.5,6829.75,62.5
ARROW,ニューパルサーBT,8,5,3.048780487804878,8,103.59435957649812,812.125,6776.375,75.0
ARROW,甲鉄城のカバネリ 海門(うなと)決戦,9,8,4.878048780487805,8,103.28567148182557,734.75,8385.5,50.0
ARROW,うみねこのなく頃に2,8,1,0.6097560975609756,8,103.16375731445281,671.125,7203.875,62.5
ARROW,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,9,5,3.048780487804878,8,103.16270844996802,776.125,7330.875,75.0
ARROW,ようこそ実力至上主義の教室へ,8,2,1.2195121951219512,8,102.95032773873798,-65.125,4980.25,37.5
ARROW,七つの魔剣が支配する,7,2,1.2195121951219512,8,102.77187963298452,775.125,7440.625,37.5
ARROW,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,7,1,0.6097560975609756,8,102.62858876901105,636.375,6339.5,62.5
ARROW,スマスロ炎炎ノ消防隊2,9,5,3.048780487804878,8,102.40053034483353,579.375,8434.5,62.5
ARROW,麻雀物語,8,2,1.2195121951219512,8,102.26609413111835,656.625,7853.25,50.0
ARROW,緑ドン VIVA!情熱南米編 REVIVAL,8,5,3.048780487804878,8,102.03498435466554,629.875,7571.75,50.0
ARROW,SHAKE BONUS TRIGGER,9,3,1.8292682926829267,8,102.02808490663328,500.75,5961.25,50.0
ARROW,バイオハザード5,7,8,4.878048780487805,8,101.90151110682368,570.25,8208.25,62.5
