hall,machine_models,rows,units,occupancy_pct,avg_kaiwari,avg_diff,avg_games,win_rate_pct
ARROW,86,86,387,235.97560975609755,101.68100485669879,403.67587209302326,7025.956395348837,47.383720930232556
???,140,140,1230,836.734693877551,98.55312606379073,-208.51882440476192,5037.633616071429,37.69642857142857
