hall,n_source_rows,n_days,mean_budget_index,median_budget_index,under_budget_days,balanced_days,over_budget_days,top_axis,top_axis_level,top_axis_budget_abs_share,n_offset_pairs,best_offset_days,best_offset_same_regime_rate,best_offset_expected_same_regime_rate,best_offset_same_regime_uplift,model_baseline_accuracy,model_accuracy,model_accuracy_delta,model_roc_auc,model_status,model_metric,note
蒲田7,253313,360,4.059799138655259,3.824087427671143,65,234,61,is_x_day,0,0.6608167916277642,1049,7,0.5628571428571428,0.4838117283950618,0.07904541446208102,0.962962962962963,0.7037037037037037,-0.2592592592592593,0.8509615384615384,trained_below_baseline,0.8509615384615384,
蒲田1,183997,535,1.038455176520519,1.0575933192231644,118,299,118,is_x_day,0,0.7277604255408424,1558,1,0.4323308270676692,0.4096392698052232,0.022691557262445983,0.8385093167701864,0.639751552795031,-0.19875776397515532,0.5478632478632479,trained_below_baseline,0.5478632478632479,
みとや,138418,547,-0.3791644440586566,-0.6042577614209894,126,296,125,is_x_day,0,0.777001340911402,1611,7,0.409683426443203,0.3981063403841463,0.011577086059056718,0.75,0.7926829268292683,0.04268292682926833,0.72655165576046,trained_above_baseline,0.72655165576046,
