hall,debut_phase,games_tier,n,n_machines,avg_diff,plus_rate,avg_games,note
みとや,1-14日,低稼働,165,7,-89.3,36.4,2426.4,
みとや,1-14日,中稼働,453,20,-125.1,35.3,2594.9,
みとや,1-14日,高稼働,4186,90,-236.2,39.0,4913.9,
みとや,15-60日,低稼働,3028,52,-162.0,32.0,1998.2,
みとや,15-60日,中稼働,4195,69,-122.8,34.5,2765.2,
みとや,15-60日,高稼働,8229,70,-23.8,39.0,4172.7,
みとや,61-180日,低稼働,6295,56,-106.7,33.1,2173.4,
みとや,61-180日,中稼働,7651,50,25.3,36.5,2938.7,
みとや,61-180日,高稼働,6291,26,32.6,40.3,3998.3,
みとや,181日+,低稼働,3411,20,-16.0,35.2,2315.1,
みとや,181日+,中稼働,5781,21,104.8,37.7,2931.3,
みとや,181日+,高稼働,2997,10,18.1,41.6,4091.7,
