hall,debut_phase,n,n_machines,avg_diff,plus_rate,avg_games,note
みとや,1-14日,6051,102,-202.0,38.9,4762.9,
みとや,15-60日,15452,89,-77.8,36.4,3364.5,
みとや,61-180日,20237,70,-13.5,36.6,3030.0,
みとや,181日+,12189,26,49.7,38.0,3044.2,
蒲田7,1-14日,7114,57,-367.4,37.0,5733.5,
蒲田7,15-60日,19020,53,-150.8,36.4,4539.6,
蒲田7,61-180日,28536,43,106.6,37.5,4074.5,
蒲田7,181日+,8699,17,110.1,37.6,3908.2,
蒲田1,1-14日,5666,102,-421.8,35.7,4781.7,
蒲田1,15-60日,14482,88,-124.5,36.1,3838.6,
蒲田1,61-180日,23464,71,67.9,37.8,3509.1,
蒲田1,181日+,18794,31,3.7,37.4,3199.7,
楽園,1-14日,8136,154,-212.8,36.0,4948.2,
楽園,15-60日,20192,137,-53.8,35.7,3681.6,
楽園,61-180日,33882,117,46.8,36.6,3310.6,
楽園,181日+,26756,68,61.5,38.3,3148.8,
レイトギャップ,1-14日,3844,82,-288.7,38.3,6351.0,
レイトギャップ,15-60日,10906,72,-182.2,36.5,4828.2,
レイトギャップ,61-180日,22806,64,-54.5,36.9,3806.2,
レイトギャップ,181日+,10993,36,-73.8,36.9,3497.0,
ARROW,1-14日,7303,92,-125.9,40.2,6609.3,
ARROW,15-60日,19641,80,-72.7,36.9,4678.3,
ARROW,61-180日,25613,67,-7.8,37.0,4211.8,
ARROW,181日+,16822,30,31.6,38.4,4225.4,
ヒロキ,1-14日,3700,118,-258.9,35.8,5304.7,
ヒロキ,15-60日,9237,98,-110.6,34.9,3501.6,
ヒロキ,61-180日,16606,88,-59.7,34.5,2973.2,
ヒロキ,181日+,13220,48,-46.8,35.3,2872.0,
ザシティ,1-14日,2857,114,-301.2,35.7,3697.8,
ザシティ,15-60日,5925,95,-205.1,34.0,2709.6,
ザシティ,61-180日,7005,61,-142.5,33.4,2465.7,
ザシティ,181日+,4984,31,-135.2,33.5,2268.4,
金時,1-14日,1966,71,-165.6,38.0,4391.7,
金時,15-60日,5270,63,-163.7,35.6,2942.0,
金時,61-180日,8704,52,-45.6,36.4,2544.4,
金時,181日+,5665,24,-36.5,35.3,2481.3,
