hall,machine_name,median_count,n_days,count_group
楽園,009 RE:CYBORG,1.0,29,XXS
楽園,D4DJ Pachi‐Slot Mix,1.0,89,XXS
楽園,GI優駿倶楽部黄金,1.0,136,XXS
楽園,OVER-SLOT「AINZ OOAL GOWN絶対支配者光臨」,1.0,1,XXS
楽園,Re:ゼロから始める異世界生活,1.0,9,XXS
楽園,あの日見た花の名前を僕達はまだ知らない。,1.0,32,XXS
楽園,えとたま,1.0,20,XXS
楽園,けものフレンズ,1.0,409,XXS
楽園,とある科学の超電磁砲,1.0,58,XXS
楽園,とある魔術の禁書目録,1.0,221,XXS
楽園,なめ猫～液晶ないけどなめんじゃねぇ～,1.0,15,XXS
楽園,アオハル♪操 A‐LIVE,1.0,310,XXS
楽園,アカメが斬る！2,1.0,36,XXS
楽園,アクエリオン ALL STARS,1.0,144,XXS
楽園,アラジンAクラシック,1.0,11,XXS
楽園,ギルティクラウン2,1.0,301,XXS
楽園,ケロット4,1.0,51,XXS
楽園,コードギアス 反逆のルルーシュ/復活のルルーシュ,1.0,51,XXS
楽園,コードギアス反逆のルルーシュ3,1.0,364,XXS
楽園,ゴブリンスレイヤー,1.0,165,XXS
楽園,ゴールデンカムイ,1.0,181,XXS
楽園,シャア専用パチスロ 逆襲の赤い彗星,1.0,410,XXS
楽園,ストライクウィッチーズ2,1.0,175,XXS
楽園,スロドル,1.0,102,XXS
楽園,スーパービンゴネオクラシック,1.0,39,XXS
楽園,スーパー海物語 IN JAPAN祭,1.0,108,XXS
楽園,ゾンビランドサガ,1.0,416,XXS
楽園,デビル メイ クライ 5,1.0,386,XXS
楽園,ドンちゃん2,1.0,27,XXS
楽園,ハードボイルド,1.0,311,XXS
楽園,バイオハザード:ヴェンデッタ,1.0,109,XXS
楽園,パチスロ新鬼武者,1.0,103,XXS
楽園,ファイヤードリフト,1.0,218,XXS
楽園,ファンタシースターオンライン2,1.0,102,XXS
楽園,フレームアームズ・ガール,1.0,69,XXS
楽園,ベルセルク無双,1.0,27,XXS
楽園,マジカルハロウィン8,1.0,397,XXS
楽園,モモキュンソード,1.0,87,XXS
楽園,リング 恐襲ノ連鎖,1.0,54,XXS
楽園,リングにかけろ1 V,1.0,60,XXS
楽園,交響詩篇エウレカセブン3 HI-EVOLUTION ZERO,1.0,3,XXS
楽園,冴えない彼女の育てかた,1.0,64,XXS
楽園,北斗の拳 宿命,1.0,30,XXS
楽園,十字架5,1.0,31,XXS
楽園,幼女戦記,1.0,332,XXS
楽園,戦姫絶唱シンフォギア 勇気の歌,1.0,320,XXS
楽園,政宗 戦極,1.0,83,XXS
楽園,武装神姫,1.0,265,XXS
楽園,物語シリーズ セカンドシーズン,1.0,96,XXS
楽園,犬夜叉,1.0,84,XXS
楽園,真俺の空,1.0,266,XXS
楽園,笑ゥせぇるすまん4,1.0,67,XXS
楽園,緋弾のアリアII,1.0,166,XXS
楽園,織田信奈の野望 全国版,1.0,72,XXS
楽園,蒼穹のファフナー EXODUS,1.0,58,XXS
楽園,蛇喰夢子という女,1.0,356,XXS
楽園,転生したらスライムだった件,1.0,198,XXS
楽園,鉄拳5,1.0,408,XXS
楽園,魔法少女育成計画,1.0,380,XXS
楽園,麻雀格闘倶楽部 覚醒,1.0,66,XXS
楽園,麻雀格闘倶楽部参,1.0,67,XXS
楽園,黄門ちゃま天,1.0,8,XXS
楽園,モンキーターンⅣ,1.5,6,XXS
楽園, ULTRAMAN,2.0,3,XXS
楽園,1000ちゃん,2.0,4,XXS
楽園,1000ちゃんA,2.0,66,XXS
楽園,A‐SLOT+ 異世界かるてっと,2.0,77,XXS
楽園,OVERLORD絶対支配者光臨II,2.0,88,XXS
楽園,SHAKE BONUS TRIGGER,2.0,243,XXS
楽園,SLOTドルアーガの塔,2.0,284,XXS
楽園,ULTRAMAN,2.0,24,XXS
楽園,ひぐらしのなく頃に祭2,2.0,300,XXS
楽園,アイドルマスター ミリオンライブ！,2.0,106,XXS
楽園,アナザーゴッドハーデス‐解き放たれし槍撃ver.‐,2.0,93,XXS
楽園,キン肉マン～7人の悪魔超人編～,2.0,15,XXS
楽園,グランベルム,2.0,431,XXS
楽園,ゲゲゲの鬼太郎 覚醒,2.0,24,XXS
楽園,コードギアス反逆のルルーシュ3 C.C.&Kallen ver.,2.0,523,XXS
楽園,シャーマンキング,2.0,436,XXS
楽園,シン・エヴァンゲリオン,2.0,102,XXS
楽園,ストライク・ザ・ブラッド,2.0,70,XXS
楽園,スマスロニューパルサーBT,2.0,4,XXS
楽園,スーパーリオエース,2.0,202,XXS
楽園,ドッチ,2.0,63,XXS
楽園,ドリフターズ,2.0,313,XXS
楽園,ニューパルサーBT,2.0,182,XXS
楽園,ニューパルサーSP4 with 太鼓の達人,2.0,351,XXS
楽園,ハイパーラッシュ,2.0,512,XXS
楽園,バキ 強くなりたくば喰らえ!!!,2.0,38,XXS
楽園,バジリスク絆2,2.0,303,XXS
楽園,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,2.0,444,XXS
楽園,ピンクパンサーSP,2.0,531,XXS
楽園,マジカルハロウィン ボーナストリガー,2.0,176,XXS
楽園,マッピー,2.0,534,XXS
楽園,メイドインアビス,2.0,67,XXS
楽園,ラブ嬢3～Wご指名はいかがですか?～,2.0,493,XXS
楽園,ワンパンマン,2.0,25,XXS
楽園,ワードオブライツII,2.0,405,XXS
楽園,七つの魔剣が支配する,2.0,472,XXS
楽園,不二子BT,2.0,182,XXS
楽園,主役は銭形4,2.0,243,XXS
楽園,乃木坂46,2.0,21,XXS
楽園,劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,2.0,345,XXS
楽園,戦国†恋姫,2.0,508,XXS
楽園,戦姫絶唱シンフォギア 正義の歌,2.0,139,XXS
楽園,新・必殺仕置人 回胴 CRASH SPEC,2.0,27,XXS
楽園,桃太郎電鉄 ～パチスロも定番!～,2.0,82,XXS
楽園,犬夜叉2,2.0,43,XXS
楽園,翔べ！ハーレムエース,2.0,340,XXS
楽園,花火絶景,2.0,227,XXS
楽園,閃乱カグラ2 SHINOVI MASTER,2.0,96,XXS
楽園,頭文字D,2.0,503,XXS
楽園,Sister Quest,2.5,202,XXS
楽園,A‐SLOT+ この素晴らしい世界に祝福を！,3.0,322,XXS
楽園,GALFY,3.0,28,XXS
楽園,Sister Quest(シスタークエスト),3.0,1,XXS
楽園,ありふれた職業で世界最強,3.0,402,XXS
楽園,いざ!番長,3.0,4,XXS
楽園,アズールレーン THE ANIMATION,3.0,315,XXS
楽園,ガメラ2,3.0,149,XXS
楽園,ガールズ&パンツァー 最終章,3.0,305,XXS
楽園,ゴジラ,3.0,140,XXS
楽園,ゴジラ対エヴァンゲリオン,3.0,248,XXS
楽園,スマスロ ギルティクラウン2,3.0,4,XXS
楽園,スマスロ バイオハザード5,3.0,1,XXS
楽園,スマスロ炎炎ノ消防隊,3.0,334,XXS
楽園,スマスロ真・北斗無双,3.0,24,XXS
楽園,スマスロ秘宝伝,3.0,135,XXS
楽園,ソードアート・オンライン,3.0,481,XXS
楽園,ダンジョンに出会いを求めるのは間違っているだろうか2,3.0,500,XXS
楽園,ニューゲッターマウス,3.0,455,XXS
楽園,バイオハザード7 レジデント イービル,3.0,474,XXS
楽園,バベル,3.0,48,XXS
楽園,バーニングエクスプレス,3.0,146,XXS
楽園,プリズムナナ,3.0,186,XXS
楽園,ペルソナ5,3.0,455,XXS
楽園,マクロスデルタ,3.0,522,XXS
楽園,マクロスフロンティア4,3.0,180,XXS
楽園,マタドールIII,3.0,174,XXS
楽園,モンスターハンターワールド:アイスボーン,3.0,320,XXS
楽園,南国育ち,3.0,31,XXS
楽園,咲‐Saki‐ 頂上決戦,3.0,96,XXS
楽園,回胴黙示録カイジ 狂宴,3.0,268,XXS
楽園,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,3.0,417,XXS
楽園,忍魂参 ～奥義皆伝ノ章～,3.0,26,XXS
楽園,攻殻機動隊,3.0,140,XXS
楽園,炎炎ノ消防隊,3.0,401,XXS
楽園,盾の勇者の成り上がり,3.0,441,XXS
楽園,真・一騎当千,3.0,325,XXS
楽園,範馬刃牙,3.0,107,XXS
