hall,machine_name,median_count,n_days,count_group
ARROW, Sister Quest,1.0,1,XXS
ARROW,A‐SLOT+ 異世界かるてっと,1.0,72,XXS
ARROW,BIRDIE WING ‐Golf Girls' Story‐,1.0,11,XXS
ARROW,Sister Quest,1.0,224,XXS
ARROW,ToLOVEるダークネス TRANCE ver.8.7,1.0,1,XXS
ARROW,うみねこのなく頃に2,1.0,136,XXS
ARROW,とある魔術の禁書目録,1.0,5,XXS
ARROW,わたしの幸せな結婚,1.0,167,XXS
ARROW,アクダマドライブ,1.0,73,XXS
ARROW,アズールレーン THE ANIMATION,1.0,317,XXS
ARROW,ウルトラミラクルジャグラー,1.0,532,XXS
ARROW,ガールズ&パンツァー 最終章,1.0,1,XXS
ARROW,キン肉マン～7人の悪魔超人編～,1.0,17,XXS
ARROW,ゴジラ,1.0,211,XXS
ARROW,ゴジラ対エヴァンゲリオン,1.0,150,XXS
ARROW,ジャグラーガールズ,1.0,532,XXS
ARROW,スマスロ ドルアーガの塔,1.0,105,XXS
ARROW,スマスロ炎炎ノ消防隊,1.0,445,XXS
ARROW,スマスロ真・北斗無双,1.0,365,XXS
ARROW,ゾンビランドサガ,1.0,69,XXS
ARROW,タクトオーパス デスティニー,1.0,38,XXS
ARROW,ディスクアップ ULTRAREMIX,1.0,472,XXS
ARROW,ディスクアップ2,1.0,396,XXS
ARROW,ニューパルサーDX3,1.0,532,XXS
ARROW,バイオハザード RE:2,1.0,146,XXS
ARROW,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,1.0,287,XXS
ARROW,バベル,1.0,29,XXS
ARROW,バンドリ！,1.0,57,XXS
ARROW,バーサスリヴァイズ,1.0,492,XXS
ARROW,プリズムナナ,1.0,188,XXS
ARROW,ミスタージャグラー,1.0,532,XXS
ARROW,主役は銭形4,1.0,105,XXS
ARROW,今日から俺は!! パチスロ編,1.0,136,XXS
ARROW,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,1.0,392,XXS
ARROW,甲鉄城のカバネリ,1.0,528,XXS
ARROW,範馬刃牙,1.0,136,XXS
ARROW,聖闘士星矢 海皇覚醒 CUSTOM EDITION,1.0,18,XXS
ARROW,鬼武者3,1.0,19,XXS
ARROW, ULTRAMAN,2.0,5,XXS
ARROW,SHAKE BONUS TRIGGER,2.0,241,XXS
ARROW,ULTRAMAN,2.0,29,XXS
ARROW,うしおととら 白面決戦,2.0,54,XXS
ARROW,ようこそ実力至上主義の教室へ,2.0,84,XXS
ARROW,アレックス ブライト,2.0,346,XXS
ARROW,スマスロ サンダーV,2.0,108,XXS
ARROW,スーパーリオエース2,2.0,38,XXS
ARROW,ドッチ,2.0,59,XXS
ARROW,一方通行 とある魔術の禁書目録,2.0,91,XXS
ARROW,七つの魔剣が支配する,2.0,282,XXS
ARROW,不二子BT,2.0,178,XXS
ARROW,咲‐Saki‐ 頂上決戦,2.0,125,XXS
ARROW,新ハナビ,2.0,396,XXS
ARROW,新・必殺仕置人 回胴 CRASH SPEC,2.0,19,XXS
ARROW,無職転生 ～異世界行ったら本気だす～,2.0,177,XXS
ARROW,犬夜叉2,2.0,68,XXS
ARROW,痛いのは嫌なので防御力に極振りしたいと思います。,2.0,457,XXS
ARROW,真・一騎当千,2.0,124,XXS
ARROW,絶対衝激IV,2.0,90,XXS
ARROW,絶対衝激～PLATONIC HEART～,2.0,48,XXS
ARROW,聖戦士ダンバイン,2.0,95,XXS
ARROW,荒野のコトブキ飛行隊,2.0,30,XXS
ARROW,転生したら剣でした,2.0,205,XXS
ARROW,麻雀物語,2.0,182,XXS
ARROW,ToLOVEるダークネス,3.0,368,XXS
ARROW,ギルティクラウン2,3.0,125,XXS
ARROW,スマート沖スロ スターハナハナ,3.0,349,XXS
ARROW,スマート沖スロ ドラゴンハナハナ～閃光～,3.0,396,XXS
ARROW,バーニングエクスプレス,3.0,91,XXS
ARROW,ラブ嬢3～Wご指名はいかがですか?～,3.0,532,XXS
ARROW,仮面ライダー電王,3.0,49,XXS
ARROW,戦国乙女4 戦乱に閃く炯眼の軍師,3.0,532,XXS
ARROW,超華祭,3.0,18,XXS
ARROW,頭文字D 2nd,3.0,108,XXS
ARROW,Re:ゼロから始める異世界生活 season2,4.0,73,XS
ARROW, サラリーマン金太郎,5.0,131,XS
ARROW,LBニューパルサー,5.0,5,XS
ARROW,ありふれた職業で世界最強,5.0,179,XS
ARROW,いざ!番長,5.0,5,XS
ARROW,とある科学の超電磁砲2,5.0,188,XS
ARROW,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,5.0,245,XS
ARROW,ゴッドイーター リザレクション,5.0,532,XS
ARROW,サラリーマン金太郎～MAX～,5.0,14,XS
ARROW,シャーマンキング,5.0,129,XS
ARROW,スマスロ ハナビ,5.0,136,XS
ARROW,スマスロ炎炎ノ消防隊2,5.0,136,XS
ARROW,スマスロ秘宝伝,5.0,140,XS
ARROW,スマート沖スロ ニューキングハナハナV,5.0,164,XS
ARROW,スーパービンゴネオ,5.0,529,XS
ARROW,ダンベル何キロ持てる？,5.0,150,XS
ARROW,ダークハイビ,5.0,1,XS
ARROW,チバリヨ2,5.0,287,XS
ARROW,ニューパルサーBT,5.0,57,XS
ARROW,ネオプラネット,5.0,140,XS
ARROW,ハッピージャグラーVIII,5.0,532,XS
ARROW,マギアレコード 魔法少女まどか☆マギカ外伝,5.0,437,XS
ARROW,マタドールIII,5.0,63,XS
ARROW,ルパン三世 大航海者の秘宝,5.0,305,XS
ARROW,主役は銭形5,5.0,244,XS
