hall,count_group,n,n_machines,avg_diff,plus_rate,avg_games,median_count_range,note
みとや,XXS,21197,87,-75.3,37.4,2947.1,1.0-3.0,
みとや,XS,18038,27,-44.7,37.8,3613.1,4.0-5.0,
みとや,S,32963,21,-47.1,35.6,2931.4,6.0-9.0,
みとや,M,22551,8,85.0,38.6,3516.8,10.0-14.0,
みとや,L,22494,5,122.1,40.3,3768.4,17.0-23.0,
みとや,XL,18161,1,68.6,43.8,5757.5,34.0-34.0,
蒲田7,XXS,12021,33,255.4,42.5,3863.0,1.0-3.0,
蒲田7,XS,58561,51,219.7,41.5,4301.1,4.0-10.0,
蒲田7,S,41150,15,172.1,38.5,4020.4,12.0-18.0,
蒲田7,M,47135,10,114.4,38.6,4733.3,21.0-30.0,
蒲田7,L,66338,7,212.4,42.1,3984.7,34.0-42.0,
蒲田7,XL,19804,1,216.3,44.6,5569.6,57.0-57.0,
蒲田1,XXS,22750,83,-51.5,36.7,3102.5,1.0-3.0,
蒲田1,XS,37625,41,72.0,39.0,3609.2,4.0-7.0,
蒲田1,S,41994,16,19.0,37.9,3861.4,8.0-12.0,
蒲田1,M,41370,7,93.3,38.8,4073.8,14.0-19.0,
蒲田1,L,27966,3,113.2,41.5,4492.8,20.0-25.0,
蒲田1,XL,8487,1,83.2,42.4,4762.6,33.0-33.0,
楽園,XXS,51067,156,10.6,38.2,2523.4,1.0-3.0,
楽園,XS,65440,58,22.6,37.2,3009.3,3.5-6.0,
楽園,S,37074,15,57.7,39.7,3317.9,8.0-10.0,
楽園,M,42430,12,44.0,36.6,3701.7,11.0-14.0,
楽園,L,26679,6,60.0,40.5,4563.4,16.0-22.0,
楽園,XL,28228,3,138.7,41.9,3531.3,27.0-33.0,
レイトギャップ,XXS,24143,103,-91.4,36.8,3093.6,1.0-3.0,
レイトギャップ,XS,39957,42,-119.1,36.5,3834.2,4.0-6.0,
レイトギャップ,S,25310,13,-43.7,37.1,3913.5,7.0-11.0,
レイトギャップ,M,38263,9,-10.5,39.4,4489.7,12.0-17.0,
レイトギャップ,L,19576,2,3.4,44.1,2826.9,21.0-28.0,
レイトギャップ,XL,20418,2,11.0,43.0,4511.1,40.0-45.0,
ARROW,XXS,21687,73,22.8,40.0,4096.7,1.0-3.0,
ARROW,XS,26844,33,-34.1,35.9,4091.1,4.0-6.0,
ARROW,S,50425,27,-50.5,37.4,4337.3,8.0-10.0,
ARROW,M,18153,5,-36.2,39.2,4996.4,15.0-16.0,
ARROW,L,27568,5,24.1,38.3,4253.6,19.0-24.0,
ARROW,XL,21236,1,-41.7,41.4,5395.5,40.0-40.0,
ヒロキ,XXS,37345,136,-82.1,36.4,2706.8,1.0-3.0,
ヒロキ,XS,31020,27,-30.4,35.0,3085.6,4.0-5.0,
ヒロキ,S,5075,4,-99.7,35.5,3037.9,6.0-7.0,
ヒロキ,M,9271,5,-51.5,34.8,3852.2,8.0-10.0,
ヒロキ,L,18380,4,10.5,36.4,2977.9,12.0-13.0,
ヒロキ,XL,17766,1,-1.1,39.6,3688.3,35.0-35.0,
ザシティ,XXS,31686,146,-158.1,34.2,2511.5,1.0-3.0,
ザシティ,XS,6640,7,-132.9,32.2,2687.7,4.0-4.0,
ザシティ,S,1485,3,-125.9,32.7,2540.8,5.0-5.0,
ザシティ,M,5556,2,-13.5,34.1,1837.9,6.0-7.0,
ザシティ,L,966,1,-180.2,33.0,3256.2,8.0-8.0,
ザシティ,XL,13914,2,-61.0,34.8,3488.4,14.0-15.0,
金時,XXS,33573,102,-45.4,37.5,2424.5,1.0-3.0,
金時,XS,5639,7,2.9,35.3,2081.4,4.0-4.0,
金時,S,4775,5,-118.4,35.1,3112.8,5.0-5.0,
金時,M,9344,3,43.3,37.8,2522.7,6.0-7.0,
金時,L,4585,1,77.1,40.6,3357.0,9.0-9.0,
金時,XL,11030,3,62.2,41.4,3935.4,10.0-11.0,
