hall,test_name,H,p_value,epsilon_sq,n_groups,n_total,significant
みとや,debut_phase,163.00036521278324,4.1266254438867436e-35,0.002967090685447997,4,53929,True
みとや,games_tier,8.584811560625864,0.013671993886647433,0.00012499879573693245,3,52682,True
みとや,count_group,1198.2047179145316,7.192065977465007e-257,0.008812572696158965,6,135404,True
みとや,debut_x_count,356.79894824925304,4.0123644623053686e-64,0.006266095610181102,20,53929,True
蒲田7,debut_phase,510.1986400671584,2.940569305559089e-110,0.008004397381317106,4,63369,True
蒲田7,games_tier,334.1948941108093,2.694640319119353e-73,0.005363085744673307,3,61944,True
蒲田7,count_group,1201.983237641507,1.092461630926917e-257,0.004885586044421934,6,245009,True
蒲田7,debut_x_count,1093.3618463769978,6.031286112859763e-220,0.01695941287750395,20,63369,True
蒲田1,debut_phase,316.98575339977293,2.095278768439912e-68,0.005031661699941876,4,62406,True
蒲田1,games_tier,11.499284398616995,0.0031839198014357827,0.00015517142668197253,3,61221,True
蒲田1,count_group,969.6291370021623,2.2582834136603286e-207,0.005353518791705029,6,180192,True
蒲田1,debut_x_count,802.6621419737452,5.842036582049816e-158,0.012561506459361799,20,62406,True
楽園,debut_phase,391.35366717972573,1.6518142272357036e-84,0.00436538822395771,4,88966,True
楽園,games_tier,117.42138570370442,3.1788502219689437e-26,0.0013237004645133311,3,87199,True
楽園,count_group,605.9828778700197,1.0307363613112125e-128,0.0023951938443359413,6,250918,True
楽園,debut_x_count,1046.8567150346228,2.065965603846189e-207,0.011522623646994398,23,88966,True
レイトギャップ,debut_phase,172.01776215606424,4.667102223280725e-37,0.003481671895273751,4,48549,True
レイトギャップ,games_tier,36.52676160968222,1.170346593979216e-08,0.0007231795574153744,3,47746,True
レイトギャップ,count_group,905.0344912965833,2.1652724490894842e-193,0.005368180383610877,6,167667,True
レイトギャップ,debut_x_count,819.6686672368177,1.415296753502805e-161,0.01649876707199443,20,48549,True
ARROW,debut_phase,113.3557490209113,2.0799624210447695e-24,0.0015907134994005232,4,69379,True
ARROW,games_tier,116.64647537276198,4.683167660314855e-26,0.0016897048691637728,3,67853,True
ARROW,count_group,856.6774340875714,6.315730164027218e-183,0.0051334629285537765,6,165913,True
ARROW,debut_x_count,394.0296641747468,7.64229997518527e-72,0.0054070800353919,20,69379,True
ヒロキ,debut_phase,147.44029496816836,9.395308912445601e-32,0.003378009190303056,4,42763,True
ヒロキ,games_tier,184.57165103133642,8.332498049261269e-41,0.004350673220649519,3,41967,True
ヒロキ,count_group,1129.7652650340247,4.78678180163101e-242,0.00946365840450669,6,118857,True
ヒロキ,debut_x_count,339.95404011903565,2.7436290197402163e-61,0.007532145801025539,19,42763,True
ザシティ,debut_phase,31.54214186315948,6.535265320783719e-07,0.0013743988955149747,4,20771,True
ザシティ,games_tier,22.47273512416511,1.3185833002880917e-05,0.0010159662113128434,3,20154,True
ザシティ,count_group,596.7234134889416,1.0323266392161142e-126,0.009822602770354768,6,60247,True
ザシティ,debut_x_count,55.51615050731015,1.4623406709055522e-07,0.0020963556463681546,13,20771,True
金時,debut_phase,56.99872936910471,2.5714857166530314e-12,0.002499825441836244,4,21605,True
金時,games_tier,6.8068675654042226,0.03325886992805563,0.00022689957825840088,3,21188,True
金時,count_group,859.1957815643852,1.8008565558423726e-183,0.012390423289300628,6,68946,True
金時,debut_x_count,299.5012438470628,7.096285660461638e-55,0.013178064933394915,16,21605,True
