hall,machine_name,median_count,n_days,count_group
ザシティ,SHAKE BONUS TRIGGER,1.0,145,XXS
ザシティ,ありふれた職業で世界最強,1.0,111,XXS
ザシティ,いざ!番長(スマスロ),1.0,5,XXS
ザシティ,いざ！番長,1.0,353,XXS
ザシティ,うしおととら 白面決戦,1.0,14,XXS
ザシティ,うまい棒,1.0,5,XXS
ザシティ,うみねこのなく頃に2,1.0,140,XXS
ザシティ,うる星やつら,1.0,22,XXS
ザシティ,にゃんこ大戦争 BIGBANG,1.0,42,XXS
ザシティ,にゃんこ大戦争 超神速,1.0,60,XXS
ザシティ,アレックス ブライト,1.0,347,XXS
ザシティ,ギルティクラウン2,1.0,121,XXS
ザシティ,クランキークレスト,1.0,54,XXS
ザシティ,グランベルム,1.0,24,XXS
ザシティ,ケロット4,1.0,79,XXS
ザシティ,ゲゲゲの鬼太郎 覚醒,1.0,15,XXS
ザシティ,ゴジラ対エヴァンゲリオン,1.0,78,XXS
ザシティ,ゴブリンスレイヤーII,1.0,81,XXS
ザシティ,スマスロ ギルティクラウン2,1.0,5,XXS
ザシティ,スマスロ サンダーV,1.0,112,XXS
ザシティ,スマスロキングパルサー,1.0,26,XXS
ザシティ,スマスロ炎炎ノ消防隊,1.0,48,XXS
ザシティ,スマスロ炎炎ノ消防隊2,1.0,35,XXS
ザシティ,スーパービンゴネオクラシック,1.0,84,XXS
ザシティ,スーパーリオエース2,1.0,42,XXS
ザシティ,ゾンビランドサガ,1.0,136,XXS
ザシティ,ダーリン・イン・ザ・フランキス,1.0,183,XXS
ザシティ,チバリヨ2プラス,1.0,225,XXS
ザシティ,ディスクアップ ULTRAREMIX,1.0,472,XXS
ザシティ,ニューゲッターマウス,1.0,55,XXS
ザシティ,ニューパルサーDX3,1.0,14,XXS
ザシティ,ニューパルサーSPⅢ,1.0,52,XXS
ザシティ,バイオハザード7 レジデント イービル,1.0,14,XXS
ザシティ,バイオハザード:ヴェンデッタ,1.0,29,XXS
ザシティ,バキ 強くなりたくば喰らえ!!!,1.0,17,XXS
ザシティ,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,1.0,297,XXS
ザシティ,バベル,1.0,14,XXS
ザシティ,バーサスリヴァイズ,1.0,290,XXS
ザシティ,バーニングエクスプレス,1.0,28,XXS
ザシティ,ファミスタ回胴版!!,1.0,45,XXS
ザシティ,プレミアムうまい棒,1.0,30,XXS
