hall,debut_phase,games_tier,n,n_machines,avg_diff,plus_rate,avg_games,note
蒲田7,1-14日,低稼働,346,5,-111.8,33.5,2765.3,
蒲田7,1-14日,中稼働,544,9,-427.0,31.6,3840.8,
蒲田7,1-14日,高稼働,4799,49,-380.0,37.6,6068.1,
蒲田7,15-60日,低稼働,3765,27,-142.8,32.9,2691.3,
蒲田7,15-60日,中稼働,4557,39,-29.1,36.4,3979.9,
蒲田7,15-60日,高稼働,10698,43,-205.4,37.7,5428.6,
蒲田7,61-180日,低稼働,8408,34,131.5,36.7,3151.9,
蒲田7,61-180日,中稼働,12514,30,112.1,37.9,4035.3,
蒲田7,61-180日,高稼働,7614,14,70.1,37.7,5157.7,
蒲田7,181日+,低稼働,2471,14,125.2,35.0,3126.5,
蒲田7,181日+,中稼働,5004,10,93.0,38.9,4152.0,
蒲田7,181日+,高稼働,1224,6,149.3,37.0,4489.6,
