hall,debut_phase,games_tier,n,n_machines,avg_diff,plus_rate,avg_games,note
ザシティ,1-14日,低稼働,244,22,-294.2,29.5,1756.2,
ザシティ,1-14日,中稼働,290,31,-27.0,36.2,2387.1,
ザシティ,1-14日,高稼働,1706,86,-403.2,35.2,4017.3,
ザシティ,15-60日,低稼働,1469,58,-94.3,32.4,1610.2,
ザシティ,15-60日,中稼働,1508,62,-117.6,33.0,2324.2,
ザシティ,15-60日,高稼働,2948,59,-305.1,35.2,3454.5,
ザシティ,61-180日,低稼働,2007,47,-106.8,32.0,1909.5,
ザシティ,61-180日,中稼働,3052,38,-178.8,32.7,2440.9,
ザシティ,61-180日,高稼働,1946,29,-122.3,35.9,3078.0,
ザシティ,181日+,低稼働,2053,28,-127.1,30.6,1865.6,
ザシティ,181日+,中稼働,2197,22,-159.8,34.2,2369.2,
ザシティ,181日+,高稼働,734,11,-84.3,39.6,3093.4,
