hall,debut_phase,games_tier,n,n_machines,avg_diff,plus_rate,avg_games,note
レイトギャップ,1-14日,低稼働,91,7,-57.9,40.7,2525.2,
レイトギャップ,1-14日,中稼働,254,16,-92.0,33.5,3476.3,
レイトギャップ,1-14日,高稼働,2696,71,-300.0,38.8,6647.1,
レイトギャップ,15-60日,低稼働,927,23,-111.4,35.3,2193.5,
レイトギャップ,15-60日,中稼働,2843,45,-80.6,35.2,3292.2,
レイトギャップ,15-60日,高稼働,7136,59,-231.8,37.1,5782.5,
レイトギャップ,61-180日,低稼働,5604,39,-95.0,33.9,2315.4,
レイトギャップ,61-180日,中稼働,7349,49,-9.9,36.6,3507.8,
レイトギャップ,61-180日,高稼働,9853,27,-64.7,38.9,4876.8,
レイトギャップ,181日+,低稼働,3211,28,-153.7,33.9,2416.6,
レイトギャップ,181日+,中稼働,5989,25,-53.2,37.2,3768.7,
レイトギャップ,181日+,高稼働,1793,8,0.3,41.0,4524.4,
