machine_name,machine_count,avg_diff,avg_games,diff_above_mean,games_above_mean,diff_percentile,games_percentile,is_outlier_diff,is_outlier_games,is_outlier_either,is_hit_candidate,is_unfired_high_setting,category
戦国乙女4 戦乱に閃く炯眼の軍師,10.0,428.0193236714976,5586.822866344605,-2028.0193236714977,1306.1771336553948,30.68,73.91,False,True,True,False,False,6-15台
戦国乙女4 戦乱に閃く炯眼の軍師,10.0,428.0193236714976,5586.822866344605,-5328.019323671498,1601.1771336553948,0.4,81.48,False,True,True,False,False,6-15台
戦国乙女4 戦乱に閃く炯眼の軍師,10.0,428.0193236714976,5586.822866344605,-2328.0193236714977,387.17713365539475,27.46,50.72,False,False,False,False,False,6-15台
戦国乙女4 戦乱に閃く炯眼の軍師,10.0,428.0193236714976,5586.822866344605,3171.9806763285023,159.17713365539475,84.78,45.73,True,False,True,False,False,6-15台
戦国乙女4 戦乱に閃く炯眼の軍師,10.0,428.0193236714976,5586.822866344605,-3028.0193236714977,-774.8228663446052,15.54,30.92,False,False,False,False,False,6-15台
戦国乙女4 戦乱に閃く炯眼の軍師,10.0,428.0193236714976,5586.822866344605,-828.0193236714977,564.1771336553948,50.89,55.56,False,False,False,False,False,6-15台
戦国乙女4 戦乱に閃く炯眼の軍師,10.0,428.0193236714976,5586.822866344605,-28.019323671497602,805.1771336553948,62.64,62.0,False,False,False,False,False,6-15台
戦国乙女4 戦乱に閃く炯眼の軍師,10.0,428.0193236714976,5586.822866344605,5871.980676328502,1772.1771336553948,93.4,85.83,True,True,True,True,False,6-15台
戦国乙女4 戦乱に閃く炯眼の軍師,10.0,428.0193236714976,5586.822866344605,171.9806763285024,826.1771336553948,64.49,62.8,False,False,False,False,False,6-15台
戦国乙女4 戦乱に閃く炯眼の軍師,10.0,428.0193236714976,5586.822866344605,-1828.0193236714977,2065.1771336553948,34.46,90.98,False,True,True,False,False,6-15台
戦国乙女4 戦乱に閃く炯眼の軍師,10.0,428.0193236714976,5586.822866344605,271.9806763285024,1702.1771336553948,65.78,83.66,False,True,True,True,False,6-15台
戦国乙女4 戦乱に閃く炯眼の軍師,10.0,428.0193236714976,5586.822866344605,-828.0193236714977,2743.1771336553948,50.89,97.26,False,True,True,False,True,6-15台
戦国乙女4 戦乱に閃く炯眼の軍師,10.0,428.0193236714976,5586.822866344605,-2528.0193236714977,-1049.8228663446052,24.07,26.25,False,False,False,False,False,6-15台
戦国乙女4 戦乱に閃く炯眼の軍師,10.0,428.0193236714976,5586.822866344605,-2528.0193236714977,-939.8228663446052,24.07,28.5,False,False,False,False,False,6-15台
戦国乙女4 戦乱に閃く炯眼の軍師,10.0,428.0193236714976,5586.822866344605,1171.9806763285023,1914.1771336553948,72.95,87.92,True,True,True,True,False,6-15台
戦国乙女4 戦乱に閃く炯眼の軍師,10.0,428.0193236714976,5586.822866344605,-2728.0193236714977,-383.82286634460525,19.89,37.2,False,False,False,False,False,6-15台
戦国乙女4 戦乱に閃く炯眼の軍師,10.0,428.0193236714976,5586.822866344605,-1928.0193236714977,-412.82286634460525,32.53,36.47,False,False,False,False,False,6-15台
戦国乙女4 戦乱に閃く炯眼の軍師,10.0,428.0193236714976,5586.822866344605,-528.0193236714977,121.17713365539475,55.88,44.61,False,False,False,False,False,6-15台
