category,outlier_diff_count,total_machines,outlier_games_count,outlier_either_count,outlier_diff_rate,outlier_games_rate,outlier_either_rate
2-5台,1733,5514,1645,2534,31.43,29.83,45.96
6-15台,1973,6242,1762,2880,31.61,28.23,46.14
16-50台,5904,17737,4576,8579,33.29,25.8,48.37
50台超,819,2565,922,1107,31.93,35.95,43.16
unknown,38,117,39,59,32.48,33.33,50.43
