category,outlier_diff_count,total_machines,outlier_games_count,outlier_either_count,hit_candidate_count,unfired_high_setting_count,outlier_diff_rate,outlier_games_rate,outlier_either_rate,hit_candidate_rate,unfired_high_setting_rate,outlier_avg_diff_above_mean,hit_candidate_avg_diff_above_mean
2-5台,1733,5514,1645,2534,998,204,31.43,29.83,45.96,18.1,3.7,1483.41,2051.51
6-15台,1973,6242,1762,2880,1074,242,31.61,28.23,46.14,17.21,3.88,1765.25,2468.45
16-50台,5904,17737,4576,8579,2519,638,33.29,25.8,48.37,14.2,3.6,1725.92,2265.89
50台超,819,2565,922,1107,625,52,31.93,35.95,43.16,24.37,2.03,1277.37,1943.63
unknown,38,117,39,59,21,6,32.48,33.33,50.43,17.95,5.13,1042.93,2137.5
