model,machine_number,rows,dates,games_sum,rb_sum,pooled_rb_rate,rank
ウルトラミラクルジャグラー,738,550,550,2304067.0,6422.0,0.00278724533618163,1
ウルトラミラクルジャグラー,734,550,550,2891913.0,8020.0,0.0027732507858984692,2
ウルトラミラクルジャグラー,735,550,550,2269056.0,6247.0,0.0027531272917019236,3
ウルトラミラクルジャグラー,736,550,550,2255219.0,6105.0,0.002707054170792282,4
ウルトラミラクルジャグラー,737,550,550,2226797.0,6021.0,0.002703883649924084,5
ミスタージャグラー,725,363,363,1316298.0,4071.0,0.003092764708295538,1
ミスタージャグラー,807,187,187,675526.0,2040.0,0.003019868961372323,2
ミスタージャグラー,727,363,363,1322643.0,3988.0,0.0030151749187044426,3
ミスタージャグラー,724,363,363,1309420.0,3916.0,0.0029906370759572943,4
ミスタージャグラー,723,363,363,1542264.0,4598.0,0.0029813313414564563,5
ミスタージャグラー,805,187,187,774813.0,2308.0,0.0029787832677045946,6
ミスタージャグラー,809,187,187,663581.0,1971.0,0.0029702477919048317,7
ミスタージャグラー,726,363,363,1272987.0,3774.0,0.0029646807076584443,8
ミスタージャグラー,808,187,187,672538.0,1971.0,0.0029306894182930926,9
ミスタージャグラー,806,187,187,650496.0,1886.0,0.0028993260527351438,10
