model,dd,target_rows,target_dates,target_games_sum,target_rb_sum,target_pooled_rb_rate,rest_rows,rest_dates,rest_games_sum,rest_rb_sum,rest_pooled_rb_rate,rate_diff_pp,dd_vs_rest_chi2,dd_vs_rest_p,dd_vs_rest_cramers_v,weekday_weekend_chi2,weekday_weekend_p,weekday_weekend_cramers_v,date_games_pearson_r,date_games_pearson_p,date_games_pearson_n,year_chi2,year_p,year_cramers_v,top_date,top_date_rb_sum,top_date_share,weekday_verdict,concentration_verdict,games_verdict,period_verdict,overall_verdict,weekday_mon_rate,weekday_tue_rate,weekday_wed_rate,weekday_thu_rate,weekday_fri_rate,weekday_sat_rate,weekday_sun_rate,weekday_weekday_rate,weekday_weekend_rate,tier_100_500_rate,tier_500_1k_rate,tier_1k_2k_rate,tier_2kplus_rate,year_2025_rate,year_2026_rate,year_rate_diff_pp,year_rate_rel_change
マイジャグラーV,19,612,18,3267330.0,9229.0,0.0028246305087028245,18074,532,104296828.0,300911.0,0.002885140476180158,-0.006050996747733331,4.034727127173214,0.04457288303863543,0.00019367487892812713,1.4797498168987808,0.22381366986987025,0.0006729730105178356,0.1594560070413611,0.5273795947718283,18,0.6365548349293028,0.42496110167993384,0.000441388903060677,2025-09-19,663.0,0.07183876909741034,否定,否定,否定,否定,否定,0.0028474963608571056,0.0028315270477696636,0.002782159815069349,0.0028176091984632003,0.00275636834124014,0.002862862533198149,0.0028864922223718562,0.0028002005470117415,0.002876846760858752,0.0,0.0014527342533983605,0.0020593992000680792,0.00284320686471569,0.0028409271550851006,0.0027909578221895224,-0.004996933289557826,-0.017589093337411328
マイジャグラーV,29,543,16,2937976.0,8355.0,0.002843794503426849,18143,534,104626182.0,301785.0,0.0028844118578273265,-0.004061735440047745,1.6398650666471115,0.20034398252746682,0.00012347250700197308,0.4262849937707253,0.5138174983148502,0.0003809130927422239,0.5999132966846414,0.014024603991934998,16,0.09856136296503873,0.7535629328961377,0.00018315940683572877,2026-04-29,670.0,0.08019150209455415,否定,否定,支持,否定,否定,0.0028010995805800363,0.0028285786835003514,0.0028422745831590893,0.0028263892963015366,0.0028639756504094498,0.0028170219442443605,0.0029327215563161486,0.0028308383585067243,0.0028755513529069732,0.0,0.0006221914967162116,0.001586827035853092,0.002874782837022007,0.002837004155953363,0.002857804172123012,0.0020800016169649025,0.007331683362536094
アイムジャグラーEX-TP,19,254,16,939339.0,2697.0,0.0028711679170139856,7359,458,31594598.0,90317.0,0.0028586215909441226,0.0012546326069862949,0.05036901134413366,0.8224224061961682,3.9347161020427936e-05,3.9302674876015695,0.04742440047994993,0.002045501853587786,0.426560388841287,0.09942016709688511,16,0.8270503604212954,0.3631268370795969,0.0009383282692618756,2025-04-19,400.0,0.14831294030404152,支持,否定,否定,否定,否定,0.0029068117044590037,0.002713605758068261,0.0026900179902047024,0.002431878113096982,0.003001390552503683,0.003014714141300685,0.002981476036459865,0.002778417966249264,0.003000318369945877,0.0006738544474393531,0.001474382602285293,0.0018610514940941632,0.002985092140078734,0.0028812793279008866,0.0026218762802130272,-0.025940304768785935,-0.09003051011955984
アイムジャグラーEX-TP,29,214,13,793062.0,2170.0,0.00273622995427848,7399,461,31740875.0,90844.0,0.0028620509043937826,-0.012582095011530242,4.296621074868394,0.03818817380358851,0.0003634086132981869,7.655841594873191,0.005658878698971369,0.003107011774126977,0.21060983454635102,0.48977912777981847,13,0.47820593781391757,0.48923607880861053,0.0007765222633715319,2025-04-29,285.0,0.1313364055299539,支持,否定,否定,否定,否定,0.002797661842393173,0.0028376689640871164,0.003078320944331738,0.002571462743690946,0.0028282335730830184,0.0024509958749992103,0.002579042888528035,0.0028471633816678937,0.0024987723939110737,0.0,0.0016768737241178186,0.0017212093760616012,0.0028206151419773178,0.002743898059159017,0.0025216533274860214,-0.022224473167299554,-0.08099598705248977
ネオアイムジャグラーEX,19,143,10,530141.0,1453.0,0.00274078028298132,4319,297,19618050.0,54861.0,0.0027964553051908828,-0.005567502220956257,0.5740731036163038,0.44864489791041773,0.00016879732904788837,0.31017987786402246,0.5775698260805724,0.0007649113652674118,0.5074549593753113,0.13433586207266457,10,0.014760026799553322,0.903302261122864,0.00016685832381418134,2026-04-19,198.0,0.13626978664831382,否定,否定,否定,否定,否定,0.0028059616518574244,0.002867837389895529,0.0025481850958280245,0.0027160985061458216,0.0027962784076465503,,0.002665803616294618,0.00276210967029133,0.002665803616294618,0.0008453085376162299,0.0013761839229337004,0.0017665843770525219,0.0028722494560293956,0.0027531078460747015,0.002734607218683652,-0.0018500627391049556,-0.006719906529425353
ネオアイムジャグラーEX,29,136,9,578868.0,1644.0,0.0028400257053421505,4326,298,19569323.0,54670.0,0.0027936582169960605,0.004636748834608998,0.43369224724307365,0.5101827580779139,0.00014671441954548995,9.54590941567952,0.0020039551341057447,0.00406086809794153,0.7656263487789186,0.016176356270292094,9,13.164931679595576,0.0002852371869844081,0.004768914472159943,2025-11-29,304.0,0.18491484184914841,支持,否定,支持,支持,否定,0.0027883142003064633,,0.0027277340776452677,0.002995082700044703,0.0022628700735432775,0.0037243947858473,0.0025584279009904097,0.0027149029024318796,0.0032132659029139574,0.0,0.0010252904989747095,0.001564945226917058,0.0029266340220287044,0.0031219248654176393,0.002611554015381584,-0.05103708500360554,-0.16347954292224132
ファンキージャグラー2,19,89,18,312320.0,799.0,0.0025582735655737703,2602,532,10630220.0,27588.0,0.0025952426196259345,-0.0036969054052164198,0.16026080962117975,0.6889165092104187,0.00012101928836249428,0.4191925535997834,0.517340219500638,0.0011585289260697335,0.2183488119407004,0.38405865711109843,18,2.0339045150707036,0.15382497863569067,0.0025519101672345744,2026-04-19,70.0,0.08760951188986232,否定,否定,否定,否定,否定,0.0025123246113007204,0.002577608427658859,0.0026440692659456884,0.0027505835942165362,0.0024677728350163976,0.0022453689265889104,0.0025795109016759615,0.0025988684488833878,0.002473905715609261,0.001402524544179523,0.0013114092605669323,0.0016660258874791746,0.002680705032610453,0.002457924750479501,0.0027238707816066594,0.026594603112715855,0.10819941947989939
ファンキージャグラー2,29,79,16,247435.0,565.0,0.0022834279709822783,2612,534,10695105.0,27822.0,0.0026013769850786878,-0.03179490140964095,9.448649880764131,0.002113045851198556,0.0009292355296457808,1.5367682102643043,0.2150994923268197,0.0024921467861973505,0.4568528708474185,0.07524449223039921,16,4.028658845798313,0.04473348887407195,0.0040350570598417625,2026-03-29,81.0,0.1433628318584071,否定,否定,否定,支持,否定,0.0021816562778272483,0.0019312822816079048,0.002309228592826829,0.002212552548123018,0.0022558814050918467,0.0023374238250271307,0.002550617339683543,0.0022010227578575913,0.0024551345962113657,,0.0015971606033717836,0.0019142857142857143,0.002364603481624758,0.002117660301960067,0.0025071939371492063,0.03895336351891392,0.18394528850004604
ゴーゴージャグラー3,19,198,18,752905.0,2329.0,0.0030933517508849057,5852,532,26150501.0,84929.0,0.0032477006845872667,-0.015434893370236099,5.3930330195554035,0.020217300439425868,0.00044772661001559085,0.5595125006051143,0.4544567301726181,0.0008620546649352051,0.20917087493521613,0.40484461591361665,18,0.48601787925161144,0.4857090352005544,0.0008034447779832176,2025-09-19,208.0,0.0893087161872048,否定,否定,否定,否定,否定,0.0031274324474591347,0.003079831676526194,0.0030771833726352745,0.003377825759806327,0.0029678214490618427,0.002933430801960619,0.003093139337298216,0.0031278503797815753,0.0030269236896606658,0.0009791122715404699,0.0022964509394572024,0.0022530723714155668,0.003166642970698859,0.0031238490185111927,0.0030280785465222975,-0.009577047198889525,-0.03065784275148447
ゴーゴージャグラー3,29,176,16,720330.0,2329.0,0.0032332403204087014,5874,534,26183076.0,84929.0,0.00324366014138293,-0.0010419820974228496,0.023543894371784477,0.8780511467529971,2.958254388921549e-05,1.893013082486628,0.1688624669362976,0.0016211046683651121,0.1831331847266935,0.49720856511770334,16,0.22870758124293492,0.6324837977335436,0.0005634748404091071,2026-04-29,226.0,0.09703735508802061,否定,否定,否定,否定,否定,0.0034030250784879124,0.003428607377272632,0.0033103657988762724,0.003048780487804878,0.0030996971018421395,0.002968390119926932,0.003202681129961429,0.0032906087529807285,0.003085608266652115,0.0014191106906338694,0.0019117135905457074,0.002215207398792712,0.003304511878500417,0.0032558052504537546,0.0031878935251918794,-0.006791172526187522,-0.02085865708718619
