model,machines,rows,chi2_stat,chi2_p,chi2_dof,chi2_expected_sparse_share,spearman_rho,spearman_p,spearman_n_common,top_machine_number,top_machine_rate,bottom_machine_number,bottom_machine_rate,overall_verdict
ウルトラミラクルジャグラー,5,2750,4.945705908600871,0.29291391426269625,4.0,0.0,0.3,0.623837664781073,5,738,0.00278724533618163,737,0.002703883649924084,否定
ミスタージャグラー,10,2750,8.142398521360368,0.5198621215967401,9.0,0.0,0.9999999999999999,1.4042654220543608e-24,5,725,0.003092764708295538,806,0.0028993260527351438,否定
