condition,difficulty,n_pairs,n_days,hit_at_2_mean,hit_at_3_mean,loss_mean,loss_p50,loss_p75,loss_p95,rank2_rescue_rate,rank3_rescue_rate,critical_miss_rate
anomaly_direction,anomaly,57,19,0.9824561403508771,0.9824561403508771,1154.3859649122808,0.0,0.0,5539.9999999999845,0.8,0.0,0.017543859649122806
anomaly_direction,normal,375,125,0.9946666666666667,0.9973333333333333,790.6666666666666,0.0,0.0,3880.000000000007,0.8,0.0,0.008
difficulty_failure,hit_day,423,141,1.0,1.0,809.692671394799,0.0,0.0,4149.999999999989,0.9411764705882353,0.0,0.002364066193853428
difficulty_failure,miss_day,9,3,0.6666666666666666,0.7777777777777778,2200.0,0.0,3600.0,7739.999999999998,0.0,0.0,0.3333333333333333
pred_span_quartile,Q1,108,84,0.9722222222222222,0.9814814814814815,2819.4444444444443,0.0,2475.0,13239.999999999969,0.6666666666666666,0.0,0.037037037037037035
pred_span_quartile,Q2,108,89,1.0,1.0,475.0,0.0,0.0,2529.999999999998,1.0,,0.0
pred_span_quartile,Q3,108,79,1.0,1.0,48.148148148148145,0.0,0.0,200.0,1.0,,0.0
pred_span_quartile,Q4,108,86,1.0,1.0,12.037037037037036,0.0,0.0,0.0,,,0.0
weekday,fri_sat,126,42,1.0,1.0,285.7142857142857,0.0,0.0,1700.0,1.0,,0.0
weekday,mon_thu,183,61,0.9890710382513661,0.994535519125683,907.6502732240438,0.0,0.0,5850.000000000003,0.6666666666666666,0.0,0.01092896174863388
weekday,sunday,63,21,0.9841269841269841,0.9841269841269841,1568.2539682539682,0.0,0.0,8129.9999999999945,0.6666666666666666,0.0,0.031746031746031744
weekday,wednesday,60,20,1.0,1.0,1023.3333333333334,0.0,0.0,5504.999999999994,1.0,,0.0
