scope,n_pairs,hit_at_2_rate,loss_mean,loss_p50,loss_p90,loss_p95,rank2_rescue_on_miss1,rank3_rescue_on_miss12,critical_miss_rate,catastrophic_rate,catastrophic_on_critical_rate,hit_at_2_rate_delta,hit_at_2_rate_direction,loss_mean_delta,loss_mean_direction,rank2_rescue_on_miss1_delta,rank2_rescue_on_miss1_direction,critical_miss_rate_delta,critical_miss_rate_direction,catastrophic_rate_delta,catastrophic_rate_direction
current_overall,432.0,0.9930555555555556,838.6574074074074,0.0,1700.0,4389.999999999998,0.8,0.0,0.009259259259259259,0.011574074074074073,0.25,,,,,,,,,,
baseline_overall,432.0,0.9930555555555556,908.1018518518518,0.0,2380.000000000007,5400.0,0.782608695652174,0.0,0.011574074074074073,0.016203703703703703,0.4,,,,,,,,,,
overall_delta,,,,,,,,,,,,0.0,flat,-69.44444444444446,improved,0.017391304347826098,improved,-0.0023148148148148147,improved,-0.004629629629629629,improved
