condition,difficulty,n_pairs,n_miss1,rank2_rescue_rate,rank3_rescue_rate,critical_miss_rate,loss_when_miss1_p50,loss_when_miss1_p75
anomaly_direction,anomaly,57,10,0.9,0.0,0.017543859649122806,500.0,2075.0
anomaly_direction,normal,378,17,0.8235294117647058,0.0,0.007936507936507936,0.0,3600.0
difficulty_failure,hit_day,423,22,1.0,,0.0,0.0,850.0
difficulty_failure,miss_day,12,5,0.2,0.0,0.3333333333333333,9600.0,17100.0
pred_span_quartile,Q1,107,15,0.8,0.0,0.028037383177570093,0.0,3700.0
pred_span_quartile,Q2,109,10,1.0,,0.0,0.0,850.0
pred_span_quartile,Q3,109,2,0.5,0.0,0.009174311926605505,4900.0,7250.0
pred_span_quartile,Q4,110,0,,,0.0,,
weekday,fri_sat,126,8,1.0,,0.0,0.0,250.0
weekday,mon_thu,186,10,0.9,0.0,0.005376344086021506,300.0,1350.0
weekday,sunday,63,3,0.3333333333333333,0.0,0.031746031746031744,9600.0,13350.0
weekday,wednesday,60,6,0.8333333333333334,0.0,0.016666666666666666,0.0,4050.0
