component,c1,c2,c3,c4,c5,c6,hist_diff,hist_payout,hist_winrate,hist_hit_an
c1,1.0,0.2557,0.1845,0.3988,0.0017,0.0202,0.5134,0.258,0.3247,0.2206
c2,0.2557,1.0,0.0358,0.0811,-0.0246,-0.0009,0.1311,0.0637,0.0864,0.0836
c3,0.1845,0.0358,1.0,0.0824,0.0015,0.0082,0.0989,0.0432,0.0676,0.0344
c4,0.3988,0.0811,0.0824,1.0,-0.0051,0.0177,0.2085,0.1072,0.1415,0.0778
c5,0.0017,-0.0246,0.0015,-0.0051,1.0,0.0357,0.0449,-0.0271,0.0445,-0.0329
c6,0.0202,-0.0009,0.0082,0.0177,0.0357,1.0,0.0078,0.0071,-0.0028,0.0157
hist_diff,0.5134,0.1311,0.0989,0.2085,0.0449,0.0078,1.0,0.6211,0.5881,0.5466
hist_payout,0.258,0.0637,0.0432,0.1072,-0.0271,0.0071,0.6211,1.0,0.4681,0.7076
hist_winrate,0.3247,0.0864,0.0676,0.1415,0.0445,-0.0028,0.5881,0.4681,1.0,0.5286
hist_hit_an,0.2206,0.0836,0.0344,0.0778,-0.0329,0.0157,0.5466,0.7076,0.5286,1.0
