variant,window,event_type,avg_diff,avg_diff_other,avg_diff_vs_other,win_rate,payout_rate,hit@10,hit@20,hit@50,lift@10,lift@20,lift@50,hit_t2500,hit_t3500,hit_t4500,lift_t2500,lift_t3500,lift_t4500,n_test_days
v11_seg_weights,90,all,181.57692307692307,117.7751390176089,63.80178405931418,39.12307692307692,100.39802590926706,0.9423076923076923,1.8076923076923077,4.642307692307693,1.3456153846153849,1.2906923076923078,1.325843076923077,8.0,5.926923076923077,4.226923076923077,1.1759665771780539,1.3052447715985573,1.3270908187461912,260
v11_seg_weights,90,event,229.52941176470588,149.55262225372076,79.97678951098513,41.3235294117647,101.01239075982079,0.8382352941176471,1.6764705882352942,4.617647058823529,1.1970000000000003,1.1970000000000003,1.3188,9.014705882352942,6.544117647058823,4.794117647058823,1.1661340341278772,1.2667795723558175,1.3131659861840967,68
v11_seg_weights,90,non_event,164.59375,106.52061370481927,58.073136295180724,38.34375,100.18043835802928,0.9791666666666666,1.8541666666666667,4.651041666666667,1.3982500000000002,1.3238750000000001,1.3283375,7.640625,5.708333333333333,4.026041666666667,1.1794489361749914,1.3188678629970276,1.3320225302785995,192
v12c_tuned,90,all,220.43846153846152,114.84881835032438,105.58964318813716,39.38461538461539,100.55328036338052,0.9307692307692308,1.8038461538461539,4.611538461538461,1.3291384615384616,1.287946153846154,1.3170553846153845,7.9,5.857692307692307,4.211538461538462,1.160858960319411,1.2885948132360932,1.3151185734381077,260
v12c_tuned,90,event,264.94117647058823,146.88607370659108,118.05510276399717,41.411764705882355,101.03358167357734,0.7941176470588235,1.661764705882353,4.544117647058823,1.1340000000000001,1.1865,1.2978,8.897058823529411,6.514705882352941,4.823529411764706,1.144931693319532,1.2483764726318802,1.2999537395502379,68
v12c_tuned,90,non_event,204.67708333333334,103.50229041164658,101.17479292168674,38.666666666666664,100.38317364935249,0.9791666666666666,1.8541666666666667,4.635416666666667,1.3982500000000002,1.3238750000000001,1.323875,7.546875,5.625,3.9947916666666665,1.1664998673818683,1.302838808866752,1.3204894521067283,192
v12d_tuned_half,90,all,207.0076923076923,115.86017145505096,91.14752085264134,39.19230769230769,100.49223832510879,0.9346153846153846,1.8115384615384615,4.665384615384616,1.3346307692307693,1.2934384615384618,1.332433846153846,7.953846153846154,5.9192307692307695,4.253846153846154,1.1701676823658806,1.304093880433817,1.3337691148872066,260
v12d_tuned_half,90,event,252.73529411764707,147.8051913536499,104.93010276399717,41.294117647058826,101.01014713801096,0.7794117647058824,1.661764705882353,4.617647058823529,1.1130000000000002,1.1865000000000003,1.3188,8.955882352941176,6.588235294117647,4.867647058823529,1.1540184109832654,1.2676941515101043,1.3189011220846503,68
v12d_tuned_half,90,non_event,190.8125,104.54631024096386,86.26618975903614,38.447916666666664,100.30881228720592,0.9895833333333334,1.8645833333333333,4.682291666666667,1.4131250000000002,1.3313125000000001,1.3372625000000002,7.598958333333333,5.682291666666667,4.036458333333333,1.175887215980557,1.3169854510942982,1.3390348623381119,192
