date,month,weekday,expert,model,window,lambda,top1_tail,top1_pred,top1_actual_raw_diff,top1_prob_positive,top1_final_score,top2_tail,top2_pred,top2_actual_raw_diff,top2_prob_positive,top2_final_score,pred_span_top12,hit_at_2,hit_at_3,pred_span_quartile,rolling_median,zscore,is_anomaly,anomaly_direction,is_hit_rate_miss_day,difficulty_failure,actual_top1_tail,actual_top2_tail,actual_top3_tail,actual_top1_diff,actual_top2_diff,actual_top3_diff,loss_scenario,loss_value,chosen_tail,top1_match,top2_match,top3_match,rescue_source
2026-01-05,2026-01,Monday,3F_A,xgb_ranker_ndcg,full_2025,1.25,6,0.9959234439083816,13000.0,0.5,0.9959234439083816,4,0.3785454613941205,8700.0,0.5,0.3785454613941205,0.6173779825142609,1.0,1.0,Q4,137.5,1.8916976825315492,1,high_anomaly,0,hit_day,6,4,1,13000.0,8700.0,5100.0,hit1,0.0,6,1,1,0,rank1
2026-01-05,2026-01,Monday,3F_N,xgb_ranker_ndcg,full_2025,1.0,1,0.9950631321659092,26800.0,0.5,0.9950631321659092,6,0.9932843910508122,25400.0,0.5,0.9932843910508122,0.0017787411150969,1.0,1.0,Q1,137.5,1.8916976825315492,1,high_anomaly,0,hit_day,1,6,5,26800.0,25400.0,22300.0,hit1,0.0,1,1,1,0,rank1
2026-01-06,2026-01,Tuesday,2F_N,xgb_ranker_ndcg,recent_60d,0.75,6,0.998097057715284,38300.0,0.5,0.998097057715284,2,0.997366983992862,44400.0,0.5,0.997366983992862,0.0007300737224218,1.0,1.0,Q1,144.0,0.49532808618907526,0,normal,0,hit_day,2,6,7,44400.0,38300.0,27100.0,hit1,6100.0,6,1,1,0,rank1
2026-01-06,2026-01,Tuesday,3F_A,xgb_ranker_ndcg,full_2025,1.25,5,0.7727220937433928,6300.0,0.5,0.7727220937433928,9,0.5624521887708835,9200.0,0.5,0.5624521887708835,0.2102699049725093,1.0,1.0,Q3,144.0,0.49532808618907526,0,normal,0,hit_day,9,5,2,9200.0,6300.0,5000.0,hit1,2900.0,5,1,1,0,rank1
2026-01-06,2026-01,Tuesday,3F_N,xgb_ranker_ndcg,full_2025,1.0,3,0.9927720930992912,20300.0,0.5,0.9927720930992912,1,0.9593115508275836,17300.0,0.5,0.9593115508275836,0.0334605422717075,1.0,1.0,Q2,144.0,0.49532808618907526,0,normal,0,hit_day,3,1,2,20300.0,17300.0,15300.0,hit1,0.0,3,1,1,0,rank1
2026-01-07,2026-01,Wednesday,2F_N,xgb_ranker_ndcg,full_2025,0.75,4,0.9543087473171984,32300.0,0.5,0.9543087473171984,0,0.7944038664634137,39400.0,0.5,0.7944038664634137,0.1599048808537848,1.0,1.0,Q3,160.5,1.114012351764974,0,normal,0,hit_day,0,5,4,39400.0,35900.0,32300.0,miss1_hit2,0.0,0,0,1,0,rank2
2026-01-07,2026-01,Wednesday,3F_A,xgb_ranker_ndcg,full_2025,0.75,7,0.930508900817574,11200.0,0.5,0.930508900817574,0,0.1768445128908411,8500.0,0.5,0.1768445128908411,0.7536643879267328,1.0,1.0,Q4,160.5,1.114012351764974,0,normal,0,hit_day,7,3,0,11200.0,9000.0,8500.0,hit1,0.0,7,1,0,0,rank1
2026-01-07,2026-01,Wednesday,3F_N,xgb_ranker_ndcg,full_2025,0.75,7,0.9951985870293444,22100.0,0.5,0.9951985870293444,0,0.9869131016689004,20600.0,0.5,0.9869131016689004,0.0082854853604438,1.0,1.0,Q1,160.5,1.114012351764974,0,normal,0,hit_day,7,3,0,22100.0,21600.0,20600.0,hit1,0.0,7,1,0,0,rank1
2026-01-08,2026-01,Thursday,2F_N,xgb_ranker_ndcg,recent_60d,0.75,1,0.9922362981071178,54400.0,0.5,0.9922362981071178,5,0.9490255813759392,30700.0,0.5,0.9490255813759392,0.0432107167311787,1.0,1.0,Q2,160.5,-0.1450688381597167,0,normal,0,hit_day,1,5,7,54400.0,30700.0,22000.0,hit1,0.0,1,1,1,0,rank1
2026-01-08,2026-01,Thursday,3F_A,xgb_ranker_ndcg,full_2025,1.25,6,0.9722410713385208,9800.0,0.5,0.9722410713385208,9,0.8178548713639353,9500.0,0.5,0.8178548713639353,0.1543861999745854,1.0,1.0,Q3,160.5,-0.1450688381597167,0,normal,0,hit_day,6,9,2,9800.0,9500.0,6600.0,hit1,0.0,6,1,1,0,rank1
2026-01-08,2026-01,Thursday,3F_N,xgb_ranker_ndcg,recent_60d,1.0,0,0.862437638610319,9900.0,0.5,0.862437638610319,8,0.0648496909284083,5400.0,0.5,0.0648496909284083,0.7975879476819105,1.0,1.0,Q4,160.5,-0.1450688381597167,0,normal,0,hit_day,0,8,1,9900.0,5400.0,2400.0,hit1,0.0,0,1,1,0,rank1
2026-01-09,2026-01,Friday,2F_N,xgb_ranker_ndcg,recent_60d,1.0,6,0.5710441329110261,12000.0,0.5,0.5710441329110261,2,0.5356450440331831,13600.0,0.5,0.5356450440331831,0.0353990888778429,1.0,1.0,Q2,144.0,-0.39190587870800436,0,normal,0,hit_day,2,6,4,13600.0,12000.0,10900.0,hit1,1600.0,6,1,1,0,rank1
2026-01-09,2026-01,Friday,3F_A,xgb_ranker_ndcg,full_2025,1.25,3,0.9052854256509248,10700.0,0.5,0.9052854256509248,0,0.2215708990201223,5100.0,0.5,0.2215708990201223,0.6837145266308023,1.0,1.0,Q4,144.0,-0.39190587870800436,0,normal,0,hit_day,3,0,9,10700.0,5100.0,2900.0,hit1,0.0,3,1,1,0,rank1
2026-01-09,2026-01,Friday,3F_N,xgb_ranker_ndcg,recent_60d,1.25,2,0.9982887089583156,35600.0,0.5,0.9982887089583156,1,0.9165562918183612,11600.0,0.5,0.9165562918183612,0.0817324171399545,1.0,1.0,Q2,144.0,-0.39190587870800436,0,normal,0,hit_day,2,1,6,35600.0,11600.0,9500.0,hit1,0.0,2,1,1,0,rank1
2026-01-10,2026-01,Saturday,2F_N,xgb_ranker_ndcg,recent_60d,0.75,6,0.9951308847538636,54500.0,0.5,0.9951308847538636,2,0.9126470862722412,22300.0,0.5,0.9126470862722412,0.0824837984816221,1.0,1.0,Q2,160.5,0.511101799948491,0,normal,0,hit_day,6,3,2,54500.0,28400.0,22300.0,hit1,0.0,6,1,0,0,rank1
2026-01-10,2026-01,Saturday,3F_A,xgb_ranker_ndcg,full_2025,1.25,2,0.9100445058115356,11600.0,0.5,0.9100445058115356,1,0.8526449109432971,9900.0,0.5,0.8526449109432971,0.0573995948682386,1.0,1.0,Q2,160.5,0.511101799948491,0,normal,0,hit_day,2,1,0,11600.0,9900.0,7500.0,hit1,0.0,2,1,1,0,rank1
2026-01-10,2026-01,Saturday,3F_N,xgb_ranker_ndcg,full_2025,1.0,2,0.9977062855328837,35200.0,0.5,0.9977062855328837,4,0.4739852646438652,10300.0,0.5,0.4739852646438652,0.5237210208890184,1.0,1.0,Q4,160.5,0.511101799948491,0,normal,0,hit_day,2,4,3,35200.0,10300.0,7500.0,hit1,0.0,2,1,1,0,rank1
2026-01-11,2026-01,Sunday,2F_N,xgb_ranker_ndcg,recent_60d,1.0,3,0.991591579844408,61200.0,0.5,0.991591579844408,1,0.9905348424591756,39900.0,0.5,0.9905348424591756,0.0010567373852323,1.0,1.0,Q1,166.5,-0.039879540233992275,0,normal,0,hit_day,3,6,1,61200.0,40200.0,39900.0,hit1,0.0,3,1,0,0,rank1
2026-01-11,2026-01,Sunday,3F_A,xgb_ranker_ndcg,full_2025,1.25,4,0.9982203366082204,27300.0,0.5,0.9982203366082204,7,0.4957302379860172,9400.0,0.5,0.4957302379860172,0.5024900986222032,1.0,1.0,Q4,166.5,-0.039879540233992275,0,normal,0,hit_day,4,7,1,27300.0,9400.0,9200.0,hit1,0.0,4,1,1,0,rank1
2026-01-11,2026-01,Sunday,3F_N,xgb_ranker_ndcg,full_2025,1.0,5,0.0016777383984916,-1700.0,0.5,0.0016777383984916,2,0.0010542620423227,-21500.0,0.5,0.0010542620423227,0.0006234763561688,1.0,1.0,Q1,166.5,-0.039879540233992275,0,normal,0,hit_day,6,5,4,-300.0,-1700.0,-5600.0,hit1,1400.0,5,1,0,0,rank1
2026-01-12,2026-01,Monday,2F_N,xgb_ranker_ndcg,recent_60d,0.75,2,0.9688272941231192,34900.0,0.5,0.9688272941231192,3,0.1804740403157329,12100.0,0.5,0.1804740403157329,0.7883532538073863,1.0,1.0,Q4,166.5,-1.1977139647714377,0,normal,0,hit_day,2,3,0,34900.0,12100.0,9300.0,hit1,0.0,2,1,1,0,rank1
2026-01-12,2026-01,Monday,3F_A,xgb_ranker_ndcg,full_2025,1.25,1,0.4995924556599081,8500.0,0.5,0.4995924556599081,6,0.2540304175642578,5600.0,0.5,0.2540304175642578,0.2455620380956502,1.0,1.0,Q3,166.5,-1.1977139647714377,0,normal,0,hit_day,1,6,0,8500.0,5600.0,4700.0,hit1,0.0,1,1,1,0,rank1
2026-01-12,2026-01,Monday,3F_N,xgb_ranker_ndcg,full_2025,1.0,5,0.1526817953611546,8100.0,0.5,0.1526817953611546,4,0.0178761432744256,5800.0,0.5,0.0178761432744256,0.1348056520867289,1.0,1.0,Q3,166.5,-1.1977139647714377,0,normal,0,hit_day,5,4,9,8100.0,5800.0,-300.0,hit1,0.0,5,1,1,0,rank1
2026-01-13,2026-01,Tuesday,2F_N,xgb_ranker_ndcg,recent_60d,1.0,0,0.8794009149302846,28000.0,0.5,0.8794009149302846,3,0.6182471064660007,17400.0,0.5,0.6182471064660007,0.2611538084642839,1.0,1.0,Q3,150.0,-1.7764517316235837,1,low_anomaly,0,hit_day,0,3,5,28000.0,17400.0,-400.0,hit1,0.0,0,1,1,0,rank1
2026-01-13,2026-01,Tuesday,3F_A,xgb_ranker_ndcg,recent_60d,0.75,1,0.4684071438349977,6500.0,0.5,0.4684071438349977,7,0.4404264385765599,4500.0,0.5,0.4404264385765599,0.0279807052584377,1.0,1.0,Q2,150.0,-1.7764517316235837,1,low_anomaly,0,hit_day,1,5,2,6500.0,5700.0,4600.0,hit1,0.0,1,1,0,0,rank1
2026-01-13,2026-01,Tuesday,3F_N,xgb_ranker_ndcg,full_2025,1.0,9,0.9335982888401182,16600.0,0.5,0.9335982888401182,5,0.3409904060874894,7700.0,0.5,0.3409904060874894,0.5926078827526289,1.0,1.0,Q4,150.0,-1.7764517316235837,1,low_anomaly,0,hit_day,9,5,7,16600.0,7700.0,1900.0,hit1,0.0,9,1,1,0,rank1
2026-01-14,2026-01,Wednesday,2F_N,xgb_ranker_ndcg,full_2025,0.75,5,0.995056798799512,38300.0,0.5,0.995056798799512,1,0.994108962137971,41300.0,0.5,0.994108962137971,0.000947836661541,1.0,1.0,Q1,150.0,0.23429723868982233,0,normal,0,hit_day,1,5,0,41300.0,38300.0,29100.0,hit1,3000.0,5,1,1,0,rank1
2026-01-14,2026-01,Wednesday,3F_A,xgb_ranker_ndcg,full_2025,0.75,5,0.994886103375934,11900.0,0.5,0.994886103375934,7,0.9594155686215572,6900.0,0.5,0.9594155686215572,0.0354705347543767,1.0,1.0,Q2,150.0,0.23429723868982233,0,normal,0,hit_day,5,6,9,11900.0,7700.0,7300.0,hit1,0.0,5,1,0,0,rank1
2026-01-14,2026-01,Wednesday,3F_N,xgb_ranker_ndcg,full_2025,0.75,6,0.9870599973276324,17800.0,0.5,0.9870599973276324,2,0.7577440657873974,11900.0,0.5,0.7577440657873974,0.2293159315402348,1.0,1.0,Q3,150.0,0.23429723868982233,0,normal,0,hit_day,6,2,3,17800.0,11900.0,8600.0,hit1,0.0,6,1,1,0,rank1
2026-01-15,2026-01,Thursday,2F_N,xgb_ranker_ndcg,recent_60d,0.75,7,0.4874321511580408,13100.0,0.5,0.4874321511580408,9,0.3586078629278312,14200.0,0.5,0.3586078629278312,0.1288242882302096,1.0,1.0,Q2,150.0,0.09380824539869312,0,normal,0,hit_day,9,7,4,14200.0,13100.0,13000.0,hit1,1100.0,7,1,1,0,rank1
2026-01-15,2026-01,Thursday,3F_A,xgb_ranker_ndcg,recent_60d,0.75,4,0.9919237496223277,9300.0,0.5,0.9919237496223277,7,0.9807552723304508,9300.0,0.5,0.9807552723304508,0.0111684772918768,1.0,1.0,Q1,150.0,0.09380824539869312,0,normal,0,hit_day,4,7,0,9300.0,9300.0,8200.0,hit1,0.0,4,1,1,0,rank1
2026-01-15,2026-01,Thursday,3F_N,xgb_ranker_ndcg,full_2025,1.0,2,0.9993028218740784,32000.0,0.5,0.9993028218740784,7,0.9979985715562,31800.0,0.5,0.9979985715562,0.0013042503178783,1.0,1.0,Q1,150.0,0.09380824539869312,0,normal,0,hit_day,2,7,4,32000.0,31800.0,24000.0,hit1,0.0,2,1,1,0,rank1
2026-01-16,2026-01,Friday,2F_N,xgb_ranker_ndcg,recent_60d,0.75,2,0.9959924141490748,45600.0,0.5,0.9959924141490748,1,0.76203718726896,18000.0,0.5,0.76203718726896,0.2339552268801149,1.0,1.0,Q3,163.0,1.5173277622137509,1,high_anomaly,0,hit_day,2,4,8,45600.0,19800.0,18200.0,hit1,0.0,2,1,0,0,rank1
2026-01-16,2026-01,Friday,3F_A,xgb_ranker_ndcg,recent_60d,0.75,7,0.9948652604891934,15500.0,0.5,0.9948652604891934,8,0.9943953052051804,20400.0,0.5,0.9943953052051804,0.0004699552840129,1.0,1.0,Q1,163.0,1.5173277622137509,1,high_anomaly,0,hit_day,8,3,7,20400.0,16200.0,15500.0,miss1_hit2,0.0,8,0,1,0,rank2
2026-01-16,2026-01,Friday,3F_N,xgb_ranker_ndcg,recent_60d,1.25,3,0.9973845191054408,29700.0,0.5,0.9973845191054408,5,0.9966255708535128,39600.0,0.5,0.9966255708535128,0.000758948251928,1.0,1.0,Q1,163.0,1.5173277622137509,1,high_anomaly,0,hit_day,5,3,8,39600.0,29700.0,15600.0,hit1,9900.0,3,1,1,0,rank1
