dd,n,n_machines,avg_diff,plus_rate,avg_games,note
1,752,52,-124,39.5,4977.6,
2,705,52,-188,34.8,4437.5,
3,708,52,4,38.6,4520.6,
4,647,53,-206,35.5,4210.4,
5,651,53,-152,34.6,4210.2,
6,658,53,-390,33.0,4249.4,
7,603,53,-274,38.3,5391.4,
8,518,52,-78,36.7,3946.0,
9,514,51,-318,31.1,4153.3,
10,519,52,-123,36.2,4377.2,
11,517,52,-309,33.7,4564.1,
12,396,44,-60,35.6,3731.6,
13,503,51,-331,33.2,4398.6,
14,509,52,-54,37.1,4460.8,
15,502,51,-254,35.1,4150.4,
16,503,52,24,35.6,3807.2,
17,590,52,-326,36.1,5088.4,
18,576,52,-236,35.8,3737.2,
19,603,52,-242,32.8,3833.8,
20,681,51,-64,36.6,4439.7,
21,678,51,-131,37.2,4694.4,
22,689,51,250,40.1,4845.8,
23,684,48,-300,33.3,4637.8,
24,698,47,9,40.3,4678.4,
25,705,47,-42,37.3,4947.6,
26,731,52,-173,36.0,4447.8,
27,755,52,-225,39.1,5527.8,
28,750,52,-16,37.9,4507.9,
29,655,52,-191,35.7,4612.8,
30,664,52,3,41.1,5224.0,
31,356,37,-384,36.0,4935.3,
