dd,n,n_machines,avg_diff,plus_rate,avg_games,note
1,88,11,124,35.2,5084.0,
2,161,19,-705,32.9,5481.4,
3,161,19,-691,35.4,5487.2,
4,187,22,-420,34.8,5457.4,
5,240,25,-37,43.8,5712.1,
6,237,26,51,40.9,5799.8,
7,260,28,-278,39.6,6032.0,
8,329,35,-87,36.8,6154.7,
9,343,40,-693,32.7,6005.5,
10,343,40,-191,39.4,6060.1,
11,378,44,-532,39.2,6164.4,
12,328,39,127,38.7,5796.7,
13,390,45,-595,35.6,5951.6,
14,390,45,-167,41.0,5836.3,
15,395,45,-674,35.2,5876.6,
16,394,44,-210,36.3,5663.5,
17,323,38,-555,35.0,6063.7,
18,323,38,-353,36.2,5416.7,
19,287,33,-240,36.6,5697.0,
20,237,31,-314,40.5,5780.2,
21,207,26,-795,30.4,5902.1,
22,222,28,-305,42.3,5926.9,
23,144,21,-18,35.4,4984.6,
24,130,16,-161,36.9,5059.1,
25,129,16,-753,34.1,4807.7,
26,95,12,175,40.0,4993.4,
27,89,11,-644,32.6,5663.8,
28,88,11,-580,29.5,4644.5,
29,88,11,-1127,33.0,5065.6,
30,88,11,-1224,31.8,5372.1,
31,40,6,-668,32.5,3589.6,
