rank,last_digit,combined_score
1,4,2.8
2,0,2.8
3,7,2.8
4,9,2.4000000000000004
5,1,2.1
6,8,2.1
7,5,1.9
8,3,1.8
9,2,1.7000000000000002
10,6,1.6
