condition,difficulty,n_pairs,n_miss1,rank2_rescue_rate,rank3_rescue_rate,critical_miss_rate,loss_when_miss1_p50,loss_when_miss1_p75
anomaly_direction,high_anomaly,33,3,1.0,,0.0,0.0,2100.0
anomaly_direction,low_anomaly,24,1,0.0,0.0,0.041666666666666664,4800.0,4800.0
anomaly_direction,normal,375,18,0.6666666666666666,0.0,0.016,1300.0,8900.0
difficulty_failure,hit_day,420,18,0.8333333333333334,0.0,0.007142857142857143,100.0,3550.0
difficulty_failure,miss_day,12,4,0.0,0.0,0.3333333333333333,7250.0,9925.0
pred_span_quartile,Q1,108,12,0.4166666666666667,0.0,0.06481481481481481,5650.0,10000.0
pred_span_quartile,Q2,108,8,1.0,,0.0,0.0,0.0
pred_span_quartile,Q3,108,2,1.0,,0.0,800.0,1200.0
pred_span_quartile,Q4,108,0,,,0.0,,
weekday,Friday,63,4,1.0,,0.0,800.0,2250.0
weekday,Monday,60,1,1.0,,0.0,0.0,0.0
weekday,Saturday,63,3,1.0,,0.0,0.0,0.0
weekday,Sunday,63,6,0.3333333333333333,0.0,0.06349206349206349,8150.0,18200.0
weekday,Thursday,63,4,0.5,0.0,0.031746031746031744,2400.0,5125.0
weekday,Tuesday,60,0,,,0.0,,
weekday,Wednesday,60,4,0.75,0.0,0.016666666666666666,100.0,2800.0
