rank,last_digit,combined_score
1,0,3.6
2,7,3.2
3,2,2.5
4,9,2.1
5,3,2.1
6,8,1.9000000000000004
7,4,1.9000000000000001
8,1,1.7
9,5,1.6
10,6,1.4
