hall,n_source_rows,n_days,all_high_days,focused_machine_days,focused_category_days,balanced_days,recovery_days,decoy_heavy_days,top_axis,top_axis_level,top_axis_share_of_total_diff,n_offset_pairs,best_offset_days,best_offset_gap,note
みとや,138418,547,125,19,250,27,126,0,kakuban_bin,0-2,261.6185567010309,10908,299,213.53922848312328,
蒲田7,252601,359,74,12,82,116,75,0,machine_name,ソードアート・オンライン,118.0,10783,175,201.8583418141275,
蒲田1,183997,535,118,25,250,24,118,0,kakuban_bin,3-5,159.33333333333334,12400,269,221.94228238133724,
楽園,257362,548,125,9,242,43,129,0,kakuban_bin,3-5,145.77142857142857,42065,364,162.8628574599041,
レイトギャップ,172310,469,110,6,218,41,94,0,machine_category,juggler,731.46,19499,298,242.37653431730809,
ARROW,167779,538,120,11,245,34,128,0,kakuban_bin,6-9,184.55555555555554,11789,272,249.02861616433626,
ヒロキ,121335,547,124,9,223,73,118,0,machine_name,マギアレコード 魔法少女まどか☆マギカ外伝,734.3023255813954,22461,307,207.44567668418694,
ザシティ,61711,548,136,3,153,129,127,0,kakuban_bin,0-2,152.07692307692307,11221,299,284.83558818426616,
金時,70550,547,121,20,265,18,123,0,machine_category,at_smart,287.32,8880,354,278.91379108397075,
