hall,segment,contrast,estimator,window_days,calendar_days,base_rate,n_days,n_days_in_group,n_per_day,mean_effect,daily_sd,mde,bootstrap_ci_halfwidth,detectability,reference_effect,reference_class,rb0_rate,gate
楽園蒲田店,all,last_digit,bonus_rate,365.0,365,1.0,0,,,,,,,,0.245,position,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,section,bonus_rate,28.0,28,1.0,0,,,,,,,,0.245,position,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,section,bonus_rate,56.0,56,1.0,0,,,,,,,,0.245,position,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,section,bonus_rate,180.0,180,1.0,0,,,,,,,,0.245,position,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,section,bonus_rate,365.0,365,1.0,0,,,,,,,,0.245,position,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,machine_name,bonus_rate,28.0,28,1.0,0,,,,,,,,0.245,position,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,machine_name,bonus_rate,56.0,56,1.0,0,,,,,,,,0.245,position,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,machine_name,bonus_rate,180.0,180,1.0,0,,,,,,,,0.245,position,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,machine_name,bonus_rate,365.0,365,1.0,0,,,,,,,,0.245,position,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,corner1,bonus_rate,28.0,28,1.0,0,,,,,,,,0.245,position,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,corner1,bonus_rate,56.0,56,1.0,0,,,,,,,,0.245,position,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,corner1,bonus_rate,180.0,180,1.0,0,,,,,,,,0.245,position,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,corner1,bonus_rate,365.0,365,1.0,0,,,,,,,,0.245,position,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,dd_event,bonus_rate,,28,,0,,,,,,,,0.424,calendar,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,dd_event,bonus_rate,,56,,0,,,,,,,,0.424,calendar,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,dd_event,bonus_rate,,180,,0,,,,,,,,0.424,calendar,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,dd_event,bonus_rate,,365,,0,,,,,,,,0.424,calendar,0.16476342493239834,NOT_APPLICABLE
